configuration,case_id,root,mach,density_ratio,reduced_frequency,inverse_reduced_frequency,velocity_mps,damping_g,frequency_Hz,eigenvalue_real,eigenvalue_imaginary,positive
coarse_edge_length_2p5_mm,64,2,0.2941,1,4.6824,0.21356527,37.0588,-0.022875018,86.37417,-6.2071923,542.70491,0
coarse_edge_length_2p5_mm,64,2,0.2941,1,4.2713,0.23412165,40.5882,-0.022261967,86.294154,-6.0352433,542.20216,0
coarse_edge_length_2p5_mm,64,2,0.2941,1,3.9277,0.25460149,44.1176,-0.021494922,86.252978,-5.8245161,541.94345,0
coarse_edge_length_2p5_mm,64,2,0.2941,1,3.636,0.27502682,47.6471,-0.02079635,86.235202,-5.6340615,541.83176,0
coarse_edge_length_2p5_mm,64,2,0.2941,1,3.385,0.29541822,51.1765,-0.020278275,86.229619,-5.4933511,541.79667,0
coarse_edge_length_2p5_mm,64,2,0.2941,1,3.1666,0.31579738,54.7059,-0.019992366,86.228098,-5.4158031,541.78712,0
coarse_edge_length_2p5_mm,64,2,0.2941,1,2.9746,0.33617944,58.2353,-0.019935849,86.226018,-5.4003628,541.77405,0
coarse_edge_length_2p5_mm,64,2,0.2941,1,2.8871,0.34637186,60,-0.019974218,86.224723,-5.4106751,541.76591,0
coarse_edge_length_2p5_mm,64,2,0.2941,1,2.8045,0.35656492,61.7647,-0.020047432,86.223349,-5.430421,541.75728,0
coarse_edge_length_2p5_mm,64,2,0.2941,1,2.6529,0.37695207,65.2941,-0.020276395,86.220585,-5.4922663,541.73992,0
coarse_edge_length_2p5_mm,64,2,0.2941,1,2.5167,0.39733917,68.8235,-0.020586967,86.218118,-5.5762312,541.72441,0
coarse_edge_length_2p5_mm,64,2,0.2941,1,2.3939,0.4177245,72.3529,-0.020953618,86.216256,-5.6754206,541.71271,0
coarse_edge_length_2p5_mm,64,2,0.2941,1,2.2825,0.43810693,75.8824,-0.021357969,86.215252,-5.7848742,541.7064,0
coarse_edge_length_2p5_mm,64,2,0.2941,1,2.1811,0.45848361,79.4118,-0.021786652,86.215308,-5.9009882,541.70676,0
coarse_edge_length_2p5_mm,64,2,0.2941,1,2.0883,0.47885416,82.9412,-0.022233244,86.216465,-6.0220299,541.71402,0
coarse_edge_length_2p5_mm,64,2,0.2941,1,2.0031,0.49921927,86.4706,-0.022700092,86.218467,-6.1486219,541.7266,0
coarse_edge_length_2p5_mm,64,2,0.2941,1,1.9246,0.51957987,90,-0.023189479,86.221059,-6.2813678,541.74289,0
coarse_edge_length_2p5_mm,64,2,0.2941,1,1.8521,0.5399369,93.5294,-0.023702691,86.224027,-6.4206032,541.76154,0
coarse_edge_length_2p5_mm,64,2,0.2941,1,1.7848,0.5602913,97.0588,-0.024240322,86.227183,-6.5664775,541.78137,0
coarse_edge_length_2p5_mm,64,2,0.2941,1,1.7222,0.58064398,100.5882,-0.024802432,86.230374,-6.7189964,541.80142,0
coarse_edge_length_2p5_mm,64,2,0.2941,1,1.6639,0.60099544,104.1176,-0.025387316,86.233524,-6.8776932,541.82121,0
coarse_edge_length_2p5_mm,64,2,0.2941,1,1.6094,0.62134622,107.6471,-0.025991824,86.236641,-7.0417152,541.8408,0
coarse_edge_length_2p5_mm,64,2,0.2941,1,1.5584,0.64169514,111.1765,-0.026613189,86.239734,-7.2103144,541.86023,0
coarse_edge_length_2p5_mm,64,2,0.2941,1,1.5105,0.66204272,114.7059,-0.027249145,86.242811,-7.3828774,541.87957,0
coarse_edge_length_2p5_mm,64,2,0.2941,1,1.4654,0.68238892,118.2353,-0.02789781,86.245879,-7.5588955,541.89884,0
coarse_edge_length_2p5_mm,64,2,0.2941,1,1.4439,0.69256152,120,-0.0282265,86.247407,-7.6480892,541.90844,0
coarse_edge_length_2p5_mm,64,2,0.2941,1,1.423,0.70273381,121.7647,-0.028557932,86.24893,-7.7380289,541.91801,0
coarse_edge_length_2p5_mm,64,2,0.2941,1,1.383,0.72307747,125.2941,-0.029228588,86.251956,-7.920027,541.93703,0
coarse_edge_length_2p5_mm,64,2,0.2941,1,1.3451,0.74342,128.8235,-0.029908965,86.254947,-8.1046687,541.95582,0
coarse_edge_length_2p5_mm,64,2,0.2941,1,1.3093,0.7637615,132.3529,-0.03059834,86.257895,-8.2917577,541.97434,0
coarse_edge_length_2p5_mm,64,2,0.2941,1,1.2753,0.78410265,135.8824,-0.031296094,86.260793,-8.4811249,541.99255,0
coarse_edge_length_2p5_mm,64,2,0.2941,1,1.2431,0.80444239,139.4118,-0.032001614,86.263634,-8.6726038,542.0104,0
coarse_edge_length_2p5_mm,64,2,0.2941,1,1.2124,0.82478137,142.9412,-0.032714397,86.266414,-8.8660573,542.02786,0
coarse_edge_length_2p5_mm,64,2,0.2941,1,1.1833,0.8451196,146.4706,-0.033433946,86.269136,-9.0613511,542.04497,0
coarse_edge_length_2p5_mm,64,2,0.2941,1,1.1555,0.86545712,150,-0.034159817,86.271801,-9.2583646,542.06171,0
coarse_edge_length_2p5_mm,64,3,0.2941,1,11.0125,0.090805578,30,-0.011610963,164.44925,-5.9986016,1033.2651,0
coarse_edge_length_2p5_mm,64,3,0.2941,1,9.8467,0.10155681,33.5294,-0.011912088,164.33872,-6.1500361,1032.5706,0
coarse_edge_length_2p5_mm,64,3,0.2941,1,8.9034,0.11231606,37.0588,-0.012106171,164.23762,-6.2463931,1031.9354,0
coarse_edge_length_2p5_mm,64,3,0.2941,1,8.1248,0.12308024,40.5882,-0.012216664,164.14763,-6.2999503,1031.37,0
coarse_edge_length_2p5_mm,64,3,0.2941,1,7.4713,0.13384552,44.1176,-0.012251073,164.07076,-6.314736,1030.887,0
coarse_edge_length_2p5_mm,64,3,0.2941,1,6.915,0.14461298,47.6471,-0.012254653,164.00321,-6.3139807,1030.4626,0
coarse_edge_length_2p5_mm,64,3,0.2941,1,6.4357,0.15538269,51.1765,-0.012254988,163.94233,-6.3118092,1030.08,0
coarse_edge_length_2p5_mm,64,3,0.2941,1,6.0184,0.16615639,54.7059,-0.012276263,163.88541,-6.3205712,1029.7224,0
coarse_edge_length_2p5_mm,64,3,0.2941,1,5.6518,0.17693565,58.2353,-0.012333193,163.83027,-6.3477459,1029.3759,0
coarse_edge_length_2p5_mm,64,3,0.2941,1,5.4846,0.18232755,60,-0.012374638,163.8031,-6.3680211,1029.2052,0
coarse_edge_length_2p5_mm,64,3,0.2941,1,5.3271,0.187721,61.7647,-0.012423628,163.77614,-6.3921796,1029.0359,0
coarse_edge_length_2p5_mm,64,3,0.2941,1,5.0375,0.19851265,65.2941,-0.012540913,163.7227,-6.4504191,1028.7001,0
coarse_edge_length_2p5_mm,64,3,0.2941,1,4.7776,0.20931075,68.8235,-0.012678673,163.66974,-6.5191664,1028.3673,0
coarse_edge_length_2p5_mm,64,3,0.2941,1,4.5431,0.22011532,72.3529,-0.012831307,163.61715,-6.5955283,1028.0369,0
coarse_edge_length_2p5_mm,64,3,0.2941,1,4.3304,0.23092667,75.8824,-0.012994776,163.5649,-6.6774216,1027.7086,0
coarse_edge_length_2p5_mm,64,3,0.2941,1,4.1366,0.24174462,79.4118,-0.013169696,163.51266,-6.7651432,1027.3804,0
coarse_edge_length_2p5_mm,64,3,0.2941,1,3.9593,0.25257012,82.9412,-0.013357903,163.46,-6.8596136,1027.0495,0
coarse_edge_length_2p5_mm,64,3,0.2941,1,3.7965,0.26340387,86.4706,-0.013560466,163.40656,-6.961358,1026.7137,0
coarse_edge_length_2p5_mm,64,3,0.2941,1,3.6464,0.27424654,90,-0.013777861,163.35202,-7.0705986,1026.371,0
coarse_edge_length_2p5_mm,64,3,0.2941,1,3.5076,0.28509885,93.5294,-0.01401012,163.29611,-7.1873298,1026.0197,0
coarse_edge_length_2p5_mm,64,3,0.2941,1,3.3788,0.29596151,97.0588,-0.014256945,163.23859,-7.3113773,1025.6583,0
coarse_edge_length_2p5_mm,64,3,0.2941,1,3.2591,0.30683525,100.5882,-0.014517796,163.17925,-7.442443,1025.2855,0
coarse_edge_length_2p5_mm,64,3,0.2941,1,3.1474,0.31772081,104.1176,-0.01479194,163.11791,-7.5801299,1024.9001,0
coarse_edge_length_2p5_mm,64,3,0.2941,1,3.043,0.3286191,107.6471,-0.015078071,163.05447,-7.7237526,1024.5014,0
coarse_edge_length_2p5_mm,64,3,0.2941,1,2.9452,0.33952996,111.1765,-0.015374482,162.98891,-7.872423,1024.0895,0
coarse_edge_length_2p5_mm,64,3,0.2941,1,2.8534,0.35045416,114.7059,-0.015679715,162.92124,-8.0253822,1023.6643,0
coarse_edge_length_2p5_mm,64,3,0.2941,1,2.7671,0.36139213,118.2353,-0.015992525,162.85145,-8.1819823,1023.2258,0
coarse_edge_length_2p5_mm,64,3,0.2941,1,2.7258,0.36686643,120,-0.016151436,162.81576,-8.2614723,1023.0016,0
coarse_edge_length_2p5_mm,64,3,0.2941,1,2.6857,0.37234433,121.7647,-0.01631186,162.77954,-8.341673,1022.774,0
coarse_edge_length_2p5_mm,64,3,0.2941,1,2.6088,0.3833112,125.2941,-0.016636827,162.70551,-8.5039883,1022.3089,0
coarse_edge_length_2p5_mm,64,3,0.2941,1,2.5362,0.39429319,128.8235,-0.016966676,162.62937,-8.6685331,1021.8305,0
coarse_edge_length_2p5_mm,64,3,0.2941,1,2.4674,0.40529075,132.3529,-0.01730077,162.55111,-8.8349733,1021.3387,0
coarse_edge_length_2p5_mm,64,3,0.2941,1,2.4021,0.41630466,135.8824,-0.017638586,162.47072,-9.0030306,1020.8336,0
coarse_edge_length_2p5_mm,64,3,0.2941,1,2.3401,0.42733475,139.4118,-0.017979652,162.38821,-9.1724561,1020.3152,0
coarse_edge_length_2p5_mm,64,3,0.2941,1,2.2811,0.43838179,142.9412,-0.0183236,162.30357,-9.3430518,1019.7834,0
coarse_edge_length_2p5_mm,64,3,0.2941,1,2.225,0.44944628,146.4706,-0.018670111,162.2168,-9.5146455,1019.2382,0
coarse_edge_length_2p5_mm,64,3,0.2941,1,2.1714,0.46052869,150,-0.01901893,162.12789,-9.6870979,1018.6796,0
coarse_edge_length_2p5_mm,64,4,0.2941,1,11.6614,0.085753184,30,-0.013668056,174.13824,-7.477403,1094.1429,0
coarse_edge_length_2p5_mm,64,4,0.2941,1,10.4291,0.095885349,33.5294,-0.014908808,174.05908,-8.1524754,1093.6455,0
coarse_edge_length_2p5_mm,64,4,0.2941,1,9.4309,0.10603477,37.0588,-0.016144353,173.96673,-8.8234152,1093.0652,0
coarse_edge_length_2p5_mm,64,4,0.2941,1,8.6052,0.11620881,40.5882,-0.017425368,173.85369,-9.5173434,1092.3549,0
coarse_edge_length_2p5_mm,64,4,0.2941,1,7.9104,0.1264154,44.1176,-0.018782858,173.7141,-10.250537,1091.4779,0
coarse_edge_length_2p5_mm,64,4,0.2941,1,7.3175,0.13665805,47.6471,-0.020125958,173.54991,-10.973138,1090.4463,0
coarse_edge_length_2p5_mm,64,4,0.2941,1,6.8062,0.14692521,51.1765,-0.021152575,173.37938,-11.52154,1089.3747,0
coarse_edge_length_2p5_mm,64,4,0.2941,1,6.3612,0.15720338,54.7059,-0.021666514,173.21897,-11.790558,1088.3669,0
coarse_edge_length_2p5_mm,64,4,0.2941,1,5.9709,0.16747834,58.2353,-0.021571736,173.08158,-11.72967,1087.5036,0
coarse_edge_length_2p5_mm,64,4,0.2941,1,5.7934,0.17261056,60,-0.021296517,173.02428,-11.576186,1087.1436,0
coarse_edge_length_2p5_mm,64,4,0.2941,1,5.6262,0.1777389,61.7647,-0.020915754,172.97407,-11.365915,1086.8281,0
coarse_edge_length_2p5_mm,64,4,0.2941,1,5.3196,0.18798511,65.2941,-0.019990274,172.89151,-10.857811,1086.3094,0
coarse_edge_length_2p5_mm,64,4,0.2941,1,5.0449,0.19821935,68.8235,-0.019033655,172.82791,-10.334416,1085.9098,0
coarse_edge_length_2p5_mm,64,4,0.2941,1,4.7974,0.20844417,72.3529,-0.018202308,172.77836,-9.8801989,1085.5985,0
coarse_edge_length_2p5_mm,64,4,0.2941,1,4.5733,0.21866254,75.8824,-0.017597416,172.73877,-9.5496753,1085.3497,0
coarse_edge_length_2p5_mm,64,4,0.2941,1,4.3692,0.22887451,79.4118,-0.017265962,172.70733,-9.3680981,1085.1522,0
coarse_edge_length_2p5_mm,64,4,0.2941,1,4.1826,0.23908618,82.9412,-0.017192046,172.67879,-9.3264517,1084.9728,0
coarse_edge_length_2p5_mm,64,4,0.2941,1,4.0113,0.24929655,86.4706,-0.017281017,172.65349,-9.3733437,1084.8139,0
coarse_edge_length_2p5_mm,64,4,0.2941,1,3.8535,0.25950643,90,-0.01747096,172.63051,-9.4751088,1084.6695,0
coarse_edge_length_2p5_mm,64,4,0.2941,1,3.7076,0.2697166,93.5294,-0.017715205,172.60908,-9.6063784,1084.5348,0
coarse_edge_length_2p5_mm,64,4,0.2941,1,3.5723,0.27992782,97.0588,-0.017978514,172.58856,-9.7480035,1084.4059,0
coarse_edge_length_2p5_mm,64,4,0.2941,1,3.4466,0.29014079,100.5882,-0.018234298,172.56845,-9.8855384,1084.2796,0
coarse_edge_length_2p5_mm,64,4,0.2941,1,3.3294,0.3003562,104.1176,-0.018462568,172.54831,-10.008124,1084.153,0
coarse_edge_length_2p5_mm,64,4,0.2941,1,3.2198,0.31057499,107.6471,-0.018648415,172.52777,-10.107664,1084.024,0
coarse_edge_length_2p5_mm,64,4,0.2941,1,3.1172,0.32079714,111.1765,-0.01878288,172.50658,-10.179296,1083.8908,0
coarse_edge_length_2p5_mm,64,4,0.2941,1,3.0209,0.33102279,114.7059,-0.018873953,172.48488,-10.227365,1083.7545,0
coarse_edge_length_2p5_mm,64,4,0.2941,1,2.9304,0.34125148,118.2353,-0.018934507,172.46294,-10.258873,1083.6166,0
coarse_edge_length_2p5_mm,64,4,0.2941,1,2.8871,0.34636683,120,-0.018956696,172.45195,-10.270241,1083.5476,0
coarse_edge_length_2p5_mm,64,4,0.2941,1,2.8451,0.35148277,121.7647,-0.018975021,172.441,-10.279516,1083.4787,0
coarse_edge_length_2p5_mm,64,4,0.2941,1,2.7646,0.36171621,125.2941,-0.019003997,172.41927,-10.293916,1083.3422,0
coarse_edge_length_2p5_mm,64,4,0.2941,1,2.6885,0.37195139,128.8235,-0.019028321,172.39794,-10.305817,1083.2082,0
coarse_edge_length_2p5_mm,64,4,0.2941,1,2.6165,0.38218786,132.3529,-0.019053553,172.37717,-10.318239,1083.0777,0
coarse_edge_length_2p5_mm,64,4,0.2941,1,2.5483,0.39242551,135.8824,-0.01908417,172.35708,-10.333615,1082.9515,0
coarse_edge_length_2p5_mm,64,4,0.2941,1,2.4835,0.40266335,139.4118,-0.019123757,172.33782,-10.353893,1082.8305,0
coarse_edge_length_2p5_mm,64,4,0.2941,1,2.4219,0.41290125,142.9412,-0.019175163,172.31948,-10.38062,1082.7152,0
coarse_edge_length_2p5_mm,64,4,0.2941,1,2.3633,0.42313881,146.4706,-0.019240635,172.30217,-10.415018,1082.6065,0
coarse_edge_length_2p5_mm,64,4,0.2941,1,2.3075,0.43337563,150,-0.019321922,172.28598,-10.458036,1082.5047,0
coarse_edge_length_2p5_mm,64,5,0.2941,1,13.0026,0.076907651,30,-2.5398914e-05,194.16675,-0.015493156,1219.9857,0
coarse_edge_length_2p5_mm,64,5,0.2941,1,11.6339,0.085955705,33.5294,-2.6327347e-05,194.16647,-0.01605947,1219.9839,0
coarse_edge_length_2p5_mm,64,5,0.2941,1,10.5259,0.095003775,37.0588,-2.6894193e-05,194.16621,-0.016405219,1219.9823,0
coarse_edge_length_2p5_mm,64,5,0.2941,1,9.6106,0.10405186,40.5882,-2.7290326e-05,194.16597,-0.016646836,1219.9807,0
coarse_edge_length_2p5_mm,64,5,0.2941,1,8.8417,0.11309996,44.1176,-2.7623846e-05,194.16574,-0.01685026,1219.9793,0
coarse_edge_length_2p5_mm,64,5,0.2941,1,8.1868,0.12214832,47.6471,-2.7948921e-05,194.16553,-0.017048534,1219.978,0
coarse_edge_length_2p5_mm,64,5,0.2941,1,7.6222,0.13119644,51.1765,-2.8280997e-05,194.16533,-0.017251079,1219.9767,0
coarse_edge_length_2p5_mm,64,5,0.2941,1,7.1304,0.14024458,54.7059,-2.8551186e-05,194.16514,-0.017415874,1219.9755,0
coarse_edge_length_2p5_mm,64,5,0.2941,1,6.6983,0.14929272,58.2353,-2.8685035e-05,194.16496,-0.017497504,1219.9744,0
coarse_edge_length_2p5_mm,64,5,0.2941,1,6.5012,0.1538168,60,-2.8688861e-05,194.16487,-0.01749983,1219.9738,0
coarse_edge_length_2p5_mm,64,5,0.2941,1,6.3155,0.15834087,61.7647,-2.864779e-05,194.16478,-0.01747477,1219.9733,0
coarse_edge_length_2p5_mm,64,5,0.2941,1,5.9741,0.16738904,65.2941,-2.8429493e-05,194.16461,-0.017341596,1219.9722,0
coarse_edge_length_2p5_mm,64,5,0.2941,1,5.6677,0.17643722,68.8235,-2.8054463e-05,194.16445,-0.017112819,1219.9712,0
coarse_edge_length_2p5_mm,64,5,0.2941,1,5.3913,0.18548541,72.3529,-2.7601905e-05,194.16429,-0.016836751,1219.9702,0
coarse_edge_length_2p5_mm,64,5,0.2941,1,5.1405,0.19453386,75.8824,-2.7135793e-05,194.16413,-0.016552416,1219.9692,0
coarse_edge_length_2p5_mm,64,5,0.2941,1,4.912,0.20358207,79.4118,-2.6698616e-05,194.16399,-0.016285733,1219.9683,0
coarse_edge_length_2p5_mm,64,5,0.2941,1,4.703,0.21263028,82.9412,-2.6317828e-05,194.16385,-0.016053447,1219.9674,0
coarse_edge_length_2p5_mm,64,5,0.2941,1,4.511,0.22167849,86.4706,-2.6010534e-05,194.16372,-0.015865992,1219.9666,0
coarse_edge_length_2p5_mm,64,5,0.2941,1,4.3341,0.2307267,90,-2.5783869e-05,194.1636,-0.015727721,1219.9659,0
coarse_edge_length_2p5_mm,64,5,0.2941,1,4.1706,0.23977491,93.5294,-2.5628293e-05,194.16349,-0.015632813,1219.9652,0
coarse_edge_length_2p5_mm,64,5,0.2941,1,4.0189,0.24882313,97.0588,-2.5531943e-05,194.16338,-0.015574032,1219.9645,0
coarse_edge_length_2p5_mm,64,5,0.2941,1,3.8779,0.25787135,100.5882,-2.5484955e-05,194.16328,-0.015545362,1219.9639,0
coarse_edge_length_2p5_mm,64,5,0.2941,1,3.7464,0.26691958,104.1176,-2.5479017e-05,194.16318,-0.015541732,1219.9633,0
coarse_edge_length_2p5_mm,64,5,0.2941,1,3.6236,0.27596807,107.6471,-2.5507047e-05,194.16308,-0.015558822,1219.9626,0
coarse_edge_length_2p5_mm,64,5,0.2941,1,3.5086,0.28501632,111.1765,-2.5562959e-05,194.16298,-0.015592919,1219.962,0
coarse_edge_length_2p5_mm,64,5,0.2941,1,3.4006,0.29406458,114.7059,-2.5641487e-05,194.16288,-0.015640811,1219.9613,0
coarse_edge_length_2p5_mm,64,5,0.2941,1,3.2991,0.30311285,118.2353,-2.5738059e-05,194.16277,-0.01569971,1219.9607,0
coarse_edge_length_2p5_mm,64,5,0.2941,1,3.2506,0.30763699,120,-2.5791846e-05,194.16272,-0.015732515,1219.9604,0
coarse_edge_length_2p5_mm,64,5,0.2941,1,3.2035,0.31216114,121.7647,-2.5848692e-05,194.16267,-0.015767185,1219.96,0
coarse_edge_length_2p5_mm,64,5,0.2941,1,3.1132,0.32120944,125.2941,-2.597028e-05,194.16256,-0.015841343,1219.9593,0
