eta,y_m,t_m,t_mm,t_over_t1,a_m,t1_m,t2_m,s_m
0,0,0.0043562217841657831,4.3562217841657827,1,0.0227337878346443,0.0043562217841657831,0.0021437276537758176,1.8710498572914949
0.02,0.037420997145829901,0.004311971901557984,4.3119719015579836,0.98984214192935704,0.0227337878346443,0.0043562217841657831,0.0021437276537758176,1.8710498572914949
0.040000000000000001,0.074841994291659802,0.0042677220189501841,4.2677220189501845,0.97968428385871387,0.0227337878346443,0.0043562217841657831,0.0021437276537758176,1.8710498572914949
0.059999999999999998,0.11226299143748969,0.0042234721363423851,4.2234721363423855,0.96952642578807091,0.0227337878346443,0.0043562217841657831,0.0021437276537758176,1.8710498572914949
0.080000000000000002,0.1496839885833196,0.0041792222537345861,4.1792222537345864,0.95936856771742796,0.0227337878346443,0.0043562217841657831,0.0021437276537758176,1.8710498572914949
0.10000000000000001,0.18710498572914949,0.0041349723711267862,4.1349723711267865,0.94921070964678489,0.0227337878346443,0.0043562217841657831,0.0021437276537758176,1.8710498572914949
0.12,0.22452598287497938,0.0040907224885189872,4.0907224885189875,0.93905285157614193,0.0227337878346443,0.0043562217841657831,0.0021437276537758176,1.8710498572914949
0.14000000000000001,0.26194698002080929,0.0040464726059111882,4.0464726059111884,0.92889499350549898,0.0227337878346443,0.0043562217841657831,0.0021437276537758176,1.8710498572914949
0.16,0.29936797716663921,0.0040022227233033883,4.0022227233033885,0.9187371354348558,0.0227337878346443,0.0043562217841657831,0.0021437276537758176,1.8710498572914949
0.17999999999999999,0.33678897431246907,0.0039579728406955892,3.9579728406955894,0.90857927736421285,0.0227337878346443,0.0043562217841657831,0.0021437276537758176,1.8710498572914949
0.20000000000000001,0.37420997145829898,0.0039137229580877902,3.9137229580877904,0.89842141929356989,0.0227337878346443,0.0043562217841657831,0.0021437276537758176,1.8710498572914949
0.22,0.4116309686041289,0.0038694730754799908,3.8694730754799909,0.88826356122292682,0.0227337878346443,0.0043562217841657831,0.0021437276537758176,1.8710498572914949
0.23999999999999999,0.44905196574995876,0.0038252231928721913,3.8252231928721914,0.87810570315228387,0.0227337878346443,0.0043562217841657831,0.0021437276537758176,1.8710498572914949
