case,rank_descending,element_id,x_m,span_y_mm,z_m,shell_von_mises_stress_mpa,is_critical_element,stress_limit_mpa
2,1,39934,0.23548666633333334,0.6885550295666667,0.041926010203333336,228.35560000000001,1,220
2,2,40563,0.19617325563333332,0.69522524910000005,0.03957743322,198.61070000000001,0,220
2,3,40457,0.21362433336666664,0.71394330976666676,0.040740342190000001,196.47319999999999,0,220
2,4,40644,0.21497284866666666,0.70879183476666663,0.04081974054666667,196.1232,0,220
2,5,39936,0.23575946686666668,0.7261678111333334,0.041940701506666671,195.86750000000001,0,220
2,6,15190,0.19485365349999997,0.61535434603333328,0.039482172576666669,195.3466,0,220
2,7,41029,0.17766457796666668,0.68858401693333338,0.038156123209999997,194.98330000000001,0,220
2,8,39875,0.23619885246666669,0.6400476074,0.041963871569999998,193.9974,0,220
2,9,42794,0.15044135849999998,0.71054048019999994,0.03566147883666667,190.40039999999999,0,220
2,10,40646,0.23853679496666666,0.62958749673333347,0.042073609930000005,190.25649999999999,0,220
2,11,39983,0.21221451459999999,0.56451718170000009,0.040645370880000004,183.51730000000001,0,220
2,12,39901,0.19435957073333335,0.57142966153333341,0.039445477226666664,180.6729,0,220
2,13,27808,0.21519030629999999,0.63286460743333328,-0.02705830087333333,177.98099999999999,0,220
2,14,39747,0.26619972786666668,0.61114693139999998,0.043174810706666657,177.74469999999999,0,220
2,15,27917,0.23639293016666665,0.57668149626666665,0.041974289963333335,177.7124,0,220
2,16,27919,0.23660813273333334,0.71061461736666665,0.041983502606666667,176.15280000000001,0,220
2,17,40455,0.21339312196666663,0.57520823126666676,0.040727594246666665,173.62739999999999,0,220
2,18,39900,0.19462823866666668,0.5277935997333334,0.039466520149999997,171.01070000000001,0,220
2,19,39786,0.17872323096666665,0.60980856260000005,0.038247969,167.38210000000001,0,220
2,20,42848,0.17820976676666667,0.65406929933333335,0.038205052413333329,165.0103,0,220
2,21,39980,0.21276277799999999,0.54036263223333336,0.040685866026666663,163.68170000000001,0,220
2,22,40157,0.27770328523333337,0.54880257809999999,-0.028341422476666666,163.61709999999999,0,220
2,23,40615,0.23713242513333332,0.66943694643333329,0.0420096914,162.8186,0,220
2,24,43637,0.23778551816666668,0.65101421206666676,0.042040384066666665,162.28579999999999,0,220
2,25,40556,0.17921152709999999,0.56935310323333332,0.038288628060000003,161.97569999999999,0,220
2,26,37086,0.21250548459999999,0.38694933756666666,0.040667188663333333,161.8837,0,220
2,27,43669,0.26347431540000005,0.68417406873333331,-0.02820752126333333,161.23779999999999,0,220
2,28,42431,0.25874704123333331,0.79918526646666677,-0.028133368116666668,160.81880000000001,0,220
2,29,37305,0.26027236380000002,0.67546974360000001,-0.028157533453333331,160.36670000000001,0,220
2,30,39979,0.21319622793333334,0.66129284096666663,0.040714288750000001,160.18790000000001,0,220
2,31,39907,0.17797484996666668,0.62614097260000001,0.038184414306666664,158.9785,0,220
2,32,40684,0.26961644489999997,0.79069030456666667,0.043274946510000002,158.1574,0,220
2,33,43079,0.23615763583333335,1.1065765479999998,0.041957539816666667,157.97450000000001,0,220
2,34,36998,0.21293082336666666,0.42590299079999994,0.040700101603333337,157.19829999999999,0,220
2,35,43035,0.1945701936666667,1.1743583210333333,0.039456778513333339,156.8416,0,220
2,36,40019,0.27712626256666667,0.57649585260000002,-0.028337848063333334,156.76859999999999,0,220
2,37,40496,0.15200814106666669,0.67242082633333333,0.035817711303333333,156.46420000000001,0,220
2,38,43636,0.2365582635,1.0389263820666665,0.041977946956666672,156.2816,0,220
2,39,27897,0.26672431826666665,0.58187617103333322,0.043190709003333327,156.18039999999999,0,220
2,40,42269,0.21266753969999999,0.98130543489999988,0.040675352016666673,156.07740000000001,0,220
2,41,41436,0.33907394610000002,0.82340132219999995,-0.028136659413333331,155.90029999999999,0,220
2,42,409493,0.21228885153333332,1.0084034487666667,0.040649549413333326,155.85579999999999,0,220
2,43,43301,0.26595270633333329,0.6127306745333333,-0.028234535830000001,155.8031,0,220
2,44,37170,0.23691787323333333,0.53497038120000007,0.042000448953333332,154.8828,0,220
2,45,43538,0.21329493323333334,1.5055795860333332,0.040711309760000002,154.8338,0,220
2,46,37394,0.21425116063333335,0.67020886733333329,0.040778484196666666,154.7561,0,220
2,47,40557,0.17893673480000002,0.53635477279999999,0.038266414153333338,154.4675,0,220
2,48,43659,0.26895993946666669,0.75953688536666675,0.043256250520000004,154.07830000000001,0,220
2,49,40456,0.21296391883333332,1.0909473058333334,0.040695214023333336,154.0703,0,220
2,50,40851,0.2682278255333333,0.71824526336666661,-0.028253538533333334,153.98859999999999,0,220
8,1,39934,0.23548666633333334,0.6885550295666667,0.041926010203333336,234.5181,1,220
8,2,27808,0.21519030629999999,0.63286460743333328,-0.02705830087333333,232.56299999999999,0,220
8,3,39747,0.26619972786666668,0.61114693139999998,0.043174810706666657,225.16849999999999,0,220
8,4,40646,0.23853679496666666,0.62958749673333347,0.042073609930000005,210.53559999999999,0,220
8,5,27691,0.21245220799999998,0.66667709809999998,-0.026963006083333334,209.15110000000001,0,220
8,6,39936,0.23575946686666668,0.7261678111333334,0.041940701506666671,202.84309999999999,0,220
8,7,39875,0.23619885246666669,0.6400476074,0.041963871569999998,201.63589999999999,0,220
8,8,40563,0.19617325563333332,0.69522524910000005,0.03957743322,200.31469999999999,0,220
