example,entity,state,role,element_id,grid_id,vertex_index,x_m,y_m,z_m,classification,evidence_kind,receiving_for,selected_pair,projection_distance_m,coordinate_correction_m,ordinary_tolerance_m,snap_tolerance_m,weight_1,weight_2,weight_3,original_length_m,proposal_length_m,length_ratio,fractional_length_change,metric,value,text
single_B_A_ordinary_C_beyond,beam_endpoint,final,,859112,514210,1,0.2789873481,0.9964986444,0.02910641953,,retained,,0,,,1e-05,0.0030639880082520532,,,,0.0023464714872979864,0.003766760213981906,1.605287016855855,0.6052870168558551,,,
single_B_A_ordinary_C_beyond,beam_endpoint,final,,859112,514200,2,0.2789752414,0.9981541945,0.03248983344,,retained,,0,,,1e-05,0.0030639880082520532,,,,0.0023464714872979864,0.003766760213981906,1.605287016855855,0.6052870168558551,,,
single_B_A_ordinary_C_beyond,beam_endpoint,all_proposals,,859112,514210,1,0.2789873481,0.9964986444,0.02910641953,,reconstructed,,0,,,1e-05,0.0030639880082520532,,,,0.0023464714872979864,0.003766760213981906,1.605287016855855,0.6052870168558551,,,
single_B_A_ordinary_C_beyond,beam_endpoint,all_proposals,,859112,514200,2,0.27897524143260477,0.9981541945382968,0.03248983343873584,,reconstructed,,0,,,1e-05,0.0030639880082520532,,,,0.0023464714872979864,0.003766760213981906,1.605287016855855,0.6052870168558551,,,
single_B_A_ordinary_C_beyond,beam_endpoint,original,,859117,514215,1,0.2790014148,0.9948271513,0.03082705475,,retained,,1,,,1e-05,0.0030639880082520532,,,,0.0023988898715241293,0.003799595764302556,1.5838975391931982,0.5838975391931983,,,
single_B_A_ordinary_C_beyond,beam_endpoint,original,,859117,514210,2,0.2789873481,0.9964986444,0.02910641953,,retained,,1,,,1e-05,0.0030639880082520532,,,,0.0023988898715241293,0.003799595764302556,1.5838975391931982,0.5838975391931983,,,
single_B_A_ordinary_C_beyond,beam_endpoint,final,,859117,514215,1,0.2790026045,0.994846746,0.03252810434,,retained,,1,,,1e-05,0.0030639880082520532,,,,0.0023988898715241293,0.003799595764302556,1.5838975391931982,0.5838975391931983,,,
single_B_A_ordinary_C_beyond,beam_endpoint,final,,859117,514210,2,0.2789873481,0.9964986444,0.02910641953,,retained,,1,,,1e-05,0.0030639880082520532,,,,0.0023988898715241293,0.003799595764302556,1.5838975391931982,0.5838975391931983,,,
single_B_A_ordinary_C_beyond,beam_endpoint,all_proposals,,859117,514215,1,0.2790026045467738,0.9948467460249979,0.03252810434476642,,reconstructed,,1,,,1e-05,0.0030639880082520532,,,,0.0023988898715241293,0.003799595764302556,1.5838975391931982,0.5838975391931983,,,
single_B_A_ordinary_C_beyond,beam_endpoint,all_proposals,,859117,514210,2,0.2789873481,0.9964986444,0.02910641953,,reconstructed,,1,,,1e-05,0.0030639880082520532,,,,0.0023988898715241293,0.003799595764302556,1.5838975391931982,0.5838975391931983,,,
