Case,AspectRatio,TaperRatio,CellSize_m,R1_m,R2_m,OptimizationMassHalf_kg,Ctrim_Nm,InterpolatedCDi,ExactTrimCDi,LLTTrimAoA_deg,Sol144TrimAoA_deg,ExactTrimCL,PeakLiftPerSpan_N_m,RootBendingMoment_Nm,MaxAbsTrimTwist_deg,MaxAbsTrimVerticalDisplacement_m,MaxTrimSkinVM_MPa,MaxTrimCbeamNormalStress_MPa,Mode1Frequency_Hz,MinimumModalFrequency_Hz,MaximumFilteredFlutterDamping
4,6,0.2,0.0227337878346443,0.00909351513385772,0.00454675756692886,52.692967929248,9.3272810223876,0.013097431856977,0.0127906655180787,4.91426825667544,5.09645445296601,0.48628756042943,2607.77010258584,2624.5285384372,0.0569091917468957,0.00579897439093787,30.940487990325,13.507793867937,28.54969,28.54969,-5.5916975e-06
37,6.68676975911999,0.20006094029522,0.0227337878346443,0.00113706467575157,0.000170561396578381,17.8115050583162,14.6581713219758,0.00940848702001345,0.0093384724480757,4.12740994857684,4.25434498531723,0.438193543746007,2237.08065909325,2491.54340174005,0.0600341790069718,0.0089555437516888,39.4999959779275,71.4998582034653,31.34843,31.34843,-2.9661421e-07
64,7.48669384144739,0.200010195282354,0.0227337878346443,0.00137936684955164,0.000206939539609554,18.2177709321256,19.5828072921725,0.00838278869492467,0.00838167961169626,3.99798967372878,4.06805322747125,0.438753696793063,2128.44717551186,2634.16466292847,0.071522210329633,0.0124121947229321,40.8955260734999,65.4188872202663,26.62973,26.62973,-4.3677947e-06
65,10.6320151933208,0.200019836147385,0.0227337878346443,0.0018605417890226,0.000930269190445907,18.9648322259345,53.9161801689085,0.00610188148552854,0.00597449255466736,3.65774451328536,3.60123551928464,0.439783733247122,1817.94625923204,3128.92995625663,0.125814090147032,0.0346073899180272,76.1495015048605,70.1345183690037,15.56842,15.56842,-3.7427949e-07
99,10.8721005082398,0.200067065957924,0.0227337878346443,0.00236888198450063,0.0005988351231762,20.2725052591517,57.5984416018583,0.00601826763685388,0.00589325589708318,3.65970804205347,3.59566685580451,0.441586732419167,1806.67047515826,3176.12448844009,0.128951880620048,0.0369933441663067,71.9623432557925,59.7450561179848,15.21548,15.21548,-6.6222155e-07
