Case,StoredSkinMassHalf_kg,NtopLatticeMassHalf_kg,StoredOptimizationMassHalf_kg,DeckShellMassHalf_kg,DeckCbeamMassHalf_kg,DeckTotalMassHalf_kg,DeckVsOptimizationMassDifference_pct,ReconstructedIntendedMassHalf_kg,IntendedMinusStoredMassHalf_kg,TrimStrainEnergyHalf_Nm,StoredTwoWingCompliance_Nm,ComplianceArithmeticResidual_Nm,RecomputedTrimAoA_deg,RecomputedTwoWingCompliance_Nm,ComplianceChange_pct,StoredPareto,ComplianceAdjustedPareto
4,16.4184933008972,36.2744746283508,52.692967929248,16.4184933008971,48.1967328419317,64.6152261428289,22.6258999675044,52.692967929248,-8.5265128291212e-14,2.3318202555969,9.3272810223876,0,5.096454452966,9.3272810223876,-5.71342334964473e-14,1,1
37,16.3634128605992,1.44809219771698,17.8115050583162,16.3634128605991,1.53937204511885,17.9027849057179,0.512476891216725,17.8115050583161,-1.06581410364015e-13,3.66454283049395,14.6581713219758,0,4.25434498531723,14.6581713219758,-1.09066889746567e-13,1,1
64,16.3122610913237,1.90550984080192,18.2177709321256,16.3122610913236,2.05248625244731,18.3647473437709,0.806774946248276,18.2177709321255,-1.03028696685215e-13,4.89570182304313,19.5828072921725,0,4.06805322747125,19.5828072921725,-9.07100199117151e-14,1,1
65,15.6766041306,3.28822809533448,18.9648322259345,16.1867312022937,3.65266779269249,19.8393989949862,4.61151861842317,19.4749592976282,0.510127071693681,13.4790450422271,53.9161801689085,0,3.60877669763543,54.0703936011696,0.286024402652355,1,1
99,16.1801146864181,4.09239057273352,20.2725052591517,16.1801146864179,4.57683004852909,20.756944734947,2.38963793375583,20.2725052591514,-2.34479102800833e-13,14.3996104004646,57.5984416018583,0,3.5956668558045,57.5984416018582,-1.72706032038208e-13,1,1
