Study,Case,AspectRatio,TaperRatio,LLTTrimAoA_deg,RequiredCL,ExactTrimCL,CLResidual,InterpolatedCDi,ExactTrimCDi,CDiDifference,InterpolationOverestimate_pct,MaxCLGridReproductionError,MaxCDiGridReproductionError,Ctrim_Nm,OptimizerFeasible,TorsionIncluded,StoredPareto,ExactPareto
Planform,1,6.3746277940289,0.679008578577434,4.2832980195629,0.4420085137423,0.4420085137423,-1.11022302462516e-16,0.0101735642943544,0.0100278020205359,0.000145762273818522,1.45358148794737,2.22044604925031e-16,1.38777878078145e-17,28.0301951938808,NaN,1,NaN,NaN
Planform,2,7.10993161279688,0.295933262901292,4.10024718271728,0.443373089532957,0.443373089532957,0,0.00896990593626184,0.00891597128989177,5.39346463700741e-05,0.604921714263716,1.11022302462516e-16,6.93889390390723e-18,19.9823869483244,NaN,1,NaN,NaN
Planform,3,8.7844346636451,0.587455528672493,3.87088888518788,0.441321670780092,0.441321670780092,5.55111512312578e-17,0.00733493924772248,0.00727371699657658,6.12222511458971e-05,0.841691409972532,4.44089209850063e-16,6.93889390390723e-18,63.7594576498004,NaN,1,NaN,NaN
Planform,4,11.0667479864722,0.4737287796842,3.62825054872326,0.440991736440541,0.440991736440541,5.55111512312578e-17,0.00587688901207949,0.00574346228921889,0.000133426722860592,2.32310610119351,0,0,108.578102998121,NaN,1,NaN,NaN
Planform,5,9.78164942299678,0.512190459845546,3.74876375807325,0.441202822024868,0.441202822024867,-1.66533453693773e-16,0.00660749654314368,0.00650312121707243,0.000104375326071251,1.60500354502447,4.44089209850063e-16,1.38777878078145e-17,78.9435629144713,NaN,1,NaN,NaN
Planform,6,11.8753545273848,0.768360116090147,3.60583559738412,0.440014636482774,0.440014636482774,2.22044604925031e-16,0.00571042109422764,0.00557180945096218,0.000138611643265462,2.48773122062754,4.44089209850063e-16,2.08166817117217e-17,219.434025596378,NaN,1,NaN,NaN
Planform,7,9.16954176635944,0.342391401755701,3.80537851932032,0.44211809414814,0.44211809414814,0,0.00697979756664231,0.00689369235953339,8.61052071089181e-05,1.24904336628602,3.33066907387547e-16,6.93889390390723e-18,47.0709759134151,NaN,1,NaN,NaN
Planform,8,10.7996060117371,0.729508456013336,3.68881572575571,0.440352419874737,0.440352419874737,0,0.00617967540602397,0.00605936200271772,0.000120313403306251,1.98557873340936,0,0,152.69863884876,NaN,1,NaN,NaN
Planform,9,7.80254120831389,0.228510964110416,4.0025458099112,0.443453479460131,0.443453479460131,-1.11022302462516e-16,0.00818742857086035,0.00818605905159277,1.36951926758139e-06,0.0167298972429831,1.11022302462516e-16,6.93889390390723e-18,22.4898585451418,NaN,1,NaN,NaN
Planform,10,7.45751427255456,0.424625003289057,4.0362495950443,0.442425696797913,0.442425696797913,-1.66533453693773e-16,0.00849160728872153,0.00847195769649463,1.96495922268961e-05,0.231936854866807,2.22044604925031e-16,6.93889390390723e-18,29.2978491374767,NaN,1,NaN,NaN
Planform,11,8.95222532526214,0.298846608964398,3.83479319923595,0.442477652536841,0.442477652536842,3.88578058618805e-16,0.00715212917199392,0.00707681802511012,7.53111468837992e-05,1.06419504665202,4.44089209850063e-16,1.38777878078145e-17,39.8937940016089,NaN,1,NaN,NaN
Planform,12,8.6408175216767,0.225941674473364,3.88842654359802,0.44307788282756,0.44307788282756,1.66533453693773e-16,0.00744961340176801,0.00739609363134402,5.35197704239843e-05,0.723622132055927,2.22044604925031e-16,6.93889390390723e-18,30.3328712093311,NaN,1,NaN,NaN
Planform,13,10.8384159534924,0.290505099399162,3.6488769724056,0.441815853223474,0.441815853223474,-1.11022302462516e-16,0.00597768652199274,0.00584960185125614,0.000128084670736601,2.18963057646559,0,0,70.4950599554259,NaN,1,NaN,NaN
Planform,14,12,0.219963899850845,3.57467284826776,0.441881217318692,0.441881217318692,-1.11022302462516e-16,0.00547521709867083,0.00533609350365065,0.000139123595020181,2.60721808800765,0,0,81.2146614950496,NaN,1,NaN,NaN
Planform,15,9.26184619828317,0.345563184742736,3.79501819006826,0.442064811899518,0.442064811899517,-1.66533453693773e-16,0.00691414823917738,0.00682451124726362,8.96369919137583e-05,1.31345657829635,1.11022302462516e-16,3.46944695195361e-18,48.8655214311712,NaN,1,NaN,NaN
Planform,16,7.30609738875995,0.35967486972642,4.06040055374561,0.44285321493352,0.44285321493352,-1.11022302462516e-16,0.00868159181832629,0.00864890573905928,3.26860792670067e-05,0.377921557398796,2.22044604925031e-16,6.93889390390723e-18,24.4720873318641,NaN,1,NaN,NaN
Planform,17,7.59168377227489,0.31599977584327,4.01718066588224,0.442998847256117,0.442998847256117,1.11022302462516e-16,0.00834722675749272,0.00833792155422145,9.30520327127246e-06,0.111600993254263,1.11022302462516e-16,6.93889390390723e-18,25.0730130304413,NaN,1,NaN,NaN
Planform,18,7.41182876120306,0.257661616488969,4.05590788447198,0.443456704079039,0.443456704079039,0,0.00861299337610312,0.00858289071520209,3.01026609010289e-05,0.350728698522409,2.22044604925031e-16,6.93889390390723e-18,20.7604625842786,NaN,1,NaN,NaN
Planform,19,9.02673938819886,0.345159606409472,3.82132896009553,0.442141381939038,0.442141381939038,2.77555756156289e-16,0.00708202175531368,0.00700153122389827,8.04905314154081e-05,1.14961326089171,0,0,45.0775220898383,NaN,1,NaN,NaN
Planform,20,10.127528136742,0.208048738558721,3.73206276659207,0.442552037411301,0.442552037411301,5.55111512312578e-17,0.00644157565853256,0.00633430240799691,0.000107273250535654,1.69352903644486,0,0,47.1035637830894,NaN,1,NaN,NaN
Planform,21,6.96496329257454,0.61889095565218,4.15097689897368,0.441970669230265,0.441970669230265,-5.55111512312578e-17,0.0092361157209644,0.00915604006578117,8.00756551832312e-05,0.8745664567644,0,0,33.2487689708691,NaN,1,NaN,NaN
Planform,22,7.02771570596623,0.562900365385606,4.1272838867429,0.442047897688262,0.442047897688262,5.55111512312578e-17,0.00910654707456363,0.00903852533112477,6.8021743438864e-05,0.752575679625818,0,0,31.2406367529981,NaN,1,NaN,NaN
Planform,23,9.63016376500788,0.270639134496506,3.76434275666979,0.442324375695447,0.442324375695447,-5.55111512312578e-17,0.00669262103323749,0.00659372247806529,9.88985551721991e-05,1.49988956164284,2.22044604925031e-16,1.38777878078145e-17,46.9137038300064,NaN,1,NaN,NaN
Planform,24,6.91938987700087,0.673459676346615,4.17092007129727,0.441766573373575,0.441766573373575,1.66533453693773e-16,0.00934071906584255,0.00925069537357339,9.0023692269162e-05,0.973155948106713,0,0,35.4002992634088,NaN,1,NaN,NaN
Planform,25,6.44167072780609,0.626548905715014,4.25607078212541,0.442106507969708,0.442106507969708,-5.55111512312578e-17,0.0100215115538145,0.00988834116033994,0.000133170393474574,1.34674149399995,0,0,26.7223661227938,NaN,1,NaN,NaN
Planform,26,8.97526578653001,0.374669960132128,3.82643539673479,0.442025587106524,0.442025587106525,1.11022302462516e-16,0.00711812431673343,0.00703939760913265,7.87267076007864e-05,1.1183727922777,2.22044604925031e-16,6.93889390390723e-18,46.9950149082609,NaN,1,NaN,NaN
Planform,27,8.38759548233562,0.267129262027628,3.9101352423475,0.442906844463311,0.442906844463311,-5.55111512312578e-17,0.00761916818785677,0.00757485153490247,4.43166529542982e-05,0.585049789426254,4.44089209850063e-16,2.08166817117217e-17,30.4270368903815,NaN,1,NaN,NaN
Planform,28,8.72429848273285,0.306596114958846,3.86117554186172,0.442534269351648,0.442534269351648,-5.55111512312578e-17,0.00732341533611664,0.00725823776223695,6.51775738796951e-05,0.897980694691486,0,0,37.4627049924197,NaN,1,NaN,NaN
Planform,29,8.37576415644839,0.43022589014228,3.90224864634739,0.442002934718824,0.442002934718824,-5.55111512312578e-17,0.00759541042548259,0.00754728769025569,4.81227352268987e-05,0.637616282853906,2.22044604925031e-16,6.93889390390723e-18,42.0631998967444,NaN,1,NaN,NaN
Planform,30,8.73128610331681,0.354351022400234,3.85614522862769,0.442232077283363,0.442232077283363,-1.11022302462516e-16,0.00730476763216352,0.00723740959080694,6.73580413565822e-05,0.930692681013126,0,0,41.4318442648647,NaN,1,NaN,NaN
Planform,31,9.04599138574513,0.281014887789985,3.82632229189349,0.442523034303793,0.442523034303793,2.22044604925031e-16,0.00709134354545484,0.00701301556996484,7.83279754899956e-05,1.11689436175583,4.44089209850063e-16,6.93889390390723e-18,39.6304073960954,NaN,1,NaN,NaN
Planform,32,8.53643282364385,0.332830846492949,3.88126279046883,0.442396220003682,0.442396220003682,1.11022302462516e-16,0.00746298246966837,0.0074059049519094,5.70775177589694e-05,0.770702812547622,4.44089209850063e-16,1.38777878078145e-17,36.9656098772145,NaN,1,NaN,NaN
Planform,33,6.64655931597592,0.586609478967796,4.20582437775574,0.442193059697416,0.442193059697416,-5.55111512312578e-17,0.00967443212972251,0.0095660147255176,0.000108417404204903,1.13336020606049,0,0,27.5492103133897,NaN,1,NaN,NaN
Planform,34,6.73511043709973,0.644445825533102,4.20008774883762,0.44194618170528,0.44194618170528,-1.11022302462516e-16,0.00958308803931894,0.0094780124440877,0.000105075595231239,1.10862478658998,4.44089209850063e-16,2.08166817117217e-17,31.317049353867,NaN,1,NaN,NaN
Planform,35,8.97396023879836,0.287424325474311,3.83355378505847,0.442508985217065,0.442508985217065,-5.55111512312578e-17,0.00714087935521433,0.00706516022866686,7.5719126547468e-05,1.0717255390789,4.44089209850063e-16,1.38777878078145e-17,39.2086321824781,NaN,1,NaN,NaN
Planform,36,9.39332204360386,0.271309002940798,3.78944001800869,0.442440448532256,0.442440448532256,1.66533453693773e-16,0.00685128821460015,0.00676030787572867,9.09803388714709e-05,1.34580170820496,2.22044604925031e-16,6.93889390390723e-18,43.5356856348569,NaN,1,NaN,NaN
Planform,37,8.34480495872869,0.35179651929685,3.9057031263935,0.442432665471552,0.442432665471552,5.55111512312578e-17,0.00762014491373295,0.0075736105502672,4.65343634657462e-05,0.614427731091935,0,0,35.7987523248865,NaN,1,NaN,NaN
Planform,38,9.49044385433887,0.245073327781906,3.78533476574915,0.442598342848304,0.442598342848304,0,0.00680630560929109,0.00671429362909547,9.20119801956117e-05,1.3703895789855,0,0,42.2845448566173,NaN,1,NaN,NaN
Planform,39,9.57792006398733,0.262213284572663,3.77182968576566,0.442439640623145,0.442439640623145,5.55111512312578e-17,0.00673382765855486,0.00663733289637639,9.64947621784756e-05,1.45381832861143,0,0,45.2672657238205,NaN,1,NaN,NaN
Planform,40,9.68468182261068,0.242726471278162,3.7653500532238,0.442509582301771,0.442509582301771,0,0.00667956677742375,0.00658131719087271,9.82495865510394e-05,1.4928559694296,0,0,44.7495003937102,NaN,1,NaN,NaN
Planform,41,6.92701940912586,0.200539170797553,4.16143062835667,0.444243707041735,0.444243707041735,0,0.00935636278368925,0.00927095973984648,8.5403043842764e-05,0.921188811506781,0,0,15.1433784727457,1,1,NaN,NaN
Planform,42,9.12379612964282,0.202602438647591,3.83887895773947,0.443024318693467,0.443024318693467,1.11022302462516e-16,0.00711103147732479,0.00703806661059463,7.29648667301625e-05,1.03671747892136,0,0,33.8083054715854,1,1,NaN,NaN
Planform,43,8.89646007378252,0.201812319383769,3.86584366324853,0.443140666719439,0.443140666719439,5.55111512312578e-17,0.00728152106343863,0.00721894620739052,6.25748560481093e-05,0.866814272477155,0,0,31.2400454306745,1,1,NaN,NaN
Planform,44,8.05033077947444,0.208671812481845,3.97371954909234,0.443512873815676,0.443512873815676,1.11022302462516e-16,0.00797831930595441,0.0079645844092475,1.37348967069097e-05,0.172449634546687,2.22044604925031e-16,1.38777878078145e-17,23.4592504132643,1,1,NaN,NaN
Planform,45,6.52218344478104,0.208471495333613,4.23933478816949,0.444495169962789,0.444495169962789,-5.55111512312578e-17,0.00995879173347664,0.00983368386042229,0.000125107873054347,1.27223810354398,0,0,13.023569374114,1,1,NaN,NaN
Planform,46,7.26181356706726,0.20205971518308,4.10026495083997,0.444015045801153,0.444015045801153,-5.55111512312578e-17,0.00889412847838583,0.00884069681884492,5.34316595409059e-05,0.604382896911592,0,0,17.3390856921619,1,1,NaN,NaN
Planform,47,8.30494448134839,0.203959379723835,3.93988277931571,0.443387624225035,0.443387624225035,5.55111512312578e-17,0.00775772882514068,0.00772738745787017,3.03413672705123e-05,0.392647158382234,0,0,25.4561193569683,1,1,NaN,NaN
Planform,48,9.35592267891063,0.204521740768349,3.81271722209467,0.442946915885879,0.442946915885879,-1.66533453693773e-16,0.00694454370891052,0.0068621929075065,8.2350801404024e-05,1.20006538017812,0,0,36.6715243416041,1,1,NaN,NaN
Planform,49,6.29268342897985,0.319204613320906,4.26032157113473,0.443755866733544,0.443755866733544,0,0.0102032501008259,0.0100664884507794,0.000136761650046509,1.35858348931915,2.22044604925031e-16,6.93889390390723e-18,14.7771375543385,1,1,NaN,NaN
Planform,50,8.5146927399645,0.200064886896863,3.91365559460647,0.443306581569538,0.443306581569539,2.22044604925031e-16,0.00758609086492533,0.00754370764825803,4.23832166673022e-05,0.561835355285662,0,0,27.2171557972065,1,1,NaN,NaN
