Case,GridCount,ShellElementCount,BeamElementCount,Density_kg_m3,SkinThickness_m,ShellArea_m2,CbeamLength_m,CbeamVolume_m3,DeckShellMassHalf_kg,DeckCbeamMassHalf_kg,DeckTotalMassHalf_kg,NtopLatticeMassHalf_kg,IntendedOptimizationMassHalf_kg
4,329311,601406,34304,2700.0,0.0025,2.4323693779106863,383.3959821446984,0.017850641793308055,16.418493300897133,48.19673284193175,64.61522614282887,36.27447462835082,52.692967929247956
37,409078,614202,131290,2700.0,0.0025,2.4242093126813447,974.7027693145172,0.0005701377944884639,16.363412860599077,1.5393720451188526,17.90278490571793,1.4480921977169763,17.811505058316055
64,395762,606158,117954,2700.0,0.0025,2.4166312727886847,884.818791243359,0.0007601800934990051,16.31226109132362,2.0524862524473138,18.364747343770933,1.9055098408019193,18.21777093212554
65,540688,934016,90924,2700.0,0.0025,2.398034252191656,692.7865181454438,0.0013528399232194395,16.18673120229368,3.6526677926924864,19.839398994986166,3.2882280953344805,19.47495929762816
99,529416,927306,80466,2700.0,0.0025,2.3970540276174677,632.5491963224645,0.0016951222401959596,16.180114686417905,4.576830048529091,20.756944734946998,4.092390572733523,20.27250525915143
