point,velocity_mps,four_point_reduced_frequency,four_point_frequency_Hz,four_point_damping_g,eighteen_point_reduced_frequency,eighteen_point_frequency_Hz,eighteen_point_damping_g
1,30,0.77459999999999996,13.721333,-0.029060829,0.77329999999999999,13.697611,-0.030263081000000001
1,33.529400000000003,0.69289999999999996,13.718223,-0.033335861000000001,0.69199999999999995,13.701228,-0.034152401999999998
1,37.058799999999998,0.62680000000000002,13.715712,-0.037614533999999998,0.62629999999999997,13.704526,-0.038134336999999997
1,40.588200000000001,0.57220000000000004,13.713717000000001,-0.041890947999999997,0.57199999999999995,13.707514,-0.042190712999999998
1,44.117600000000003,0.52639999999999998,13.712396,-0.046176638999999998,0.52629999999999999,13.71006,-0.046303403
1,47.647100000000002,0.4874,13.711672999999999,-0.050465858000000002,0.4874,13.712469,-0.050471080000000001
1,51.176499999999997,0.45369999999999999,13.711473,-0.054762788,0.45390000000000003,13.714586000000001,-0.054681635999999999
1,54.7059,0.42449999999999999,13.711631000000001,-0.059076307000000002,0.42459999999999998,13.716414,-0.058929408000000003
1,58.235300000000002,0.39879999999999999,13.712011,-0.063411756,0.39889999999999998,13.717795000000001,-0.063201929000000004
1,60,0.38700000000000001,13.712092,-0.065579518000000003,0.38719999999999999,13.718470999999999,-0.065353887999999999
1,61.764699999999998,0.376,13.712358999999999,-0.067763162000000002,0.37619999999999998,13.719074000000001,-0.067513763000000004
1,65.2941,0.35570000000000002,13.712911999999999,-0.072150341000000007,0.35589999999999999,13.720063,-0.071858722999999999
1,68.823499999999996,0.33750000000000002,13.713438,-0.076564499999999994,0.33760000000000001,13.72076,-0.076238740999999999
1,72.352900000000005,0.32100000000000001,13.713884,-0.081005819000000007,0.32119999999999999,13.721162,-0.080654630000000005
1,75.882400000000004,0.30609999999999998,13.714205,-0.085474372000000007,0.30620000000000003,13.721268999999999,-0.085106672999999994
1,79.411799999999999,0.29249999999999998,13.714366999999999,-0.089969751000000001,0.29260000000000003,13.721078,-0.089594410999999999
1,82.941199999999995,0.28000000000000003,13.714339000000001,-0.094491909999999998,0.2802,13.720589,-0.094117581000000006
1,86.470600000000005,0.26860000000000001,13.714095,-0.099040703999999993,0.26869999999999999,13.719799,-0.098675725000000006
1,90,0.2581,13.713614,-0.10361604000000001,0.25819999999999999,13.718707999999999,-0.10326839
1,93.529399999999995,0.24829999999999999,13.712878,-0.10821791,0.24840000000000001,13.717313000000001,-0.10789516
1,97.058800000000005,0.23930000000000001,13.711869,-0.11284636000000001,0.23930000000000001,13.715614,-0.11255569
1,100.5882,0.23080000000000001,13.710575,-0.11750153000000001,0.23089999999999999,13.713609,-0.11724972
1,104.1176,0.223,13.708982000000001,-0.12218363,0.223,13.711296000000001,-0.12197709
1,107.64709999999999,0.21560000000000001,13.707079999999999,-0.12689308999999999,0.2157,13.708674,-0.12673785000000001
1,111.1765,0.20880000000000001,13.704858,-0.13163,0.20880000000000001,13.705741,-0.13153173000000001
1,114.7059,0.20230000000000001,13.702309,-0.13639492,0.20230000000000001,13.702495000000001,-0.13635897
1,118.2353,0.19620000000000001,13.699422999999999,-0.14118833,0.19620000000000001,13.698935000000001,-0.14121961999999999
1,120,0.1933,13.697856,-0.14359583000000001,0.1933,13.697039999999999,-0.14366214999999999
1,121.7647,0.1905,13.696206999999999,-0.14601059,0.1905,13.695069999999999,-0.14611250000000001
1,125.2941,0.18509999999999999,13.692667999999999,-0.15086202000000001,0.18509999999999999,13.690911,-0.15103589000000001
1,128.8235,0.17999999999999999,13.688817,-0.15574300999999999,0.1799,13.68647,-0.15598851999999999
1,132.35290000000001,0.17510000000000001,13.684661,-0.16065402000000001,0.17510000000000001,13.681756,-0.16096952
1,135.88239999999999,0.17050000000000001,13.680205000000001,-0.16559571000000001,0.17050000000000001,13.676779,-0.16597844
1,139.4118,0.1661,13.675454999999999,-0.17056835000000001,0.1661,13.671545999999999,-0.17101468
1,142.94120000000001,0.16200000000000001,13.670417,-0.17557270999999999,0.16189999999999999,13.666064,-0.17607827000000001
1,146.47059999999999,0.158,13.665094,-0.18060945,0.15790000000000001,13.660337999999999,-0.18116930000000001
1,150,0.1542,13.65949,-0.18567927000000001,0.1542,13.654374000000001,-0.18628797999999999
2,30,3.0577999999999999,54.166122999999999,-0.0038995522000000002,3.0411999999999999,53.871431999999999,-0.0095328058000000004
2,33.529400000000003,2.7355,54.158074999999997,-0.0045598082000000003,2.7210000000000001,53.870829000000001,-0.0092352457999999998
2,37.058799999999998,2.4746000000000001,54.150246000000003,-0.0052203116999999999,2.4621,53.875400999999997,-0.0091746529999999996
2,40.588200000000001,2.2591000000000001,54.142634999999999,-0.0058810681999999998,2.2482000000000002,53.881416000000002,-0.0092885714000000008
2,44.117600000000003,2.0781000000000001,54.135241999999998,-0.0065420822999999999,2.0686,53.886527000000001,-0.0095335568000000006
2,47.647100000000002,1.9238999999999999,54.128067000000001,-0.0072033779000000003,1.9155,53.890566999999997,-0.0098686966000000008
2,51.176499999999997,1.7909999999999999,54.121110999999999,-0.0078649232000000003,1.7835000000000001,53.894151999999998,-0.01026232
2,54.7059,1.6753,54.114455,-0.0085276274999999992,1.6686000000000001,53.897714999999998,-0.010694471000000001
2,58.235300000000002,1.5734999999999999,54.107947000000003,-0.0091897799000000002,1.5674999999999999,53.901311,-0.011155941000000001
2,60,1.5271999999999999,54.104774999999997,-0.0095209626000000002,1.5215000000000001,53.903086000000002,-0.011396191999999999
2,61.764699999999998,1.4835,54.101657000000003,-0.0098522165999999998,1.4781,53.904833000000004,-0.011642125999999999
2,65.2941,1.4031,54.095587000000002,-0.010514941999999999,1.3982000000000001,53.908233000000003,-0.012149112
2,68.823499999999996,1.331,54.089737,-0.011177962,1.3266,53.911543000000002,-0.012673332000000001
2,72.352900000000005,1.266,54.084105999999998,-0.011841282,1.262,53.914796000000003,-0.013211937999999999
2,75.882400000000004,1.2069000000000001,54.078693999999999,-0.012504925,1.2034,53.918016999999999,-0.013762714000000001
2,79.411799999999999,1.1532,54.073501999999998,-0.013168861,1.1498999999999999,53.921216000000001,-0.014323979000000001
2,82.941199999999995,1.1040000000000001,54.068530000000003,-0.013833112,1.1011,53.924399000000001,-0.014894451
2,86.470600000000005,1.0589,54.063777000000002,-0.014497684,1.0562,53.927570000000003,-0.015473046000000001
2,90,1.0173000000000001,54.059244,-0.015162583,1.0147999999999999,53.930731999999999,-0.01605885
2,93.529399999999995,0.9788,54.054929999999999,-0.015827814999999999,0.97660000000000002,53.933886999999999,-0.016651089000000001
2,97.058800000000005,0.94310000000000005,54.050837000000001,-0.016493384,0.94110000000000005,53.937040000000003,-0.017249132
2,100.5882,0.91000000000000003,54.046962999999998,-0.017159296000000001,0.90820000000000001,53.940195000000003,-0.017852455
