node_order,node_id,x_m,y_m,z_m,ux_mode3,uy_mode3,uz_mode3,displacement_magnitude,mode_index,frequency_hz
332303,432303,0.1177286208,1.5473011729999999,0.0088404677810000002,0.31651374697685242,0.068610623478889465,-0.014713224023580551,0.32419877951753145,3,102.01404571533203
332304,432304,0.1174346236,1.8139008539999999,0.011956275840000001,0.41710096597671509,0.07362636923789978,-0.015217850916087627,0.42382265283060161,3,102.01404571533203
332305,432305,0.1176342908,1.54826196,-0.01065714108,0.31843262910842896,0.068523027002811432,-0.014534619636833668,0.32604600853027127,3,102.01404571533203
332306,432306,0.11773753169999999,1.5492094759999999,-0.010661456729999999,0.31877803802490234,0.068508058786392212,-0.014537550508975983,0.32638034870452431,3,102.01404571533203
332307,432307,0.11773836610000001,0.75167983770000002,-0.0088401073589999997,0.084744811058044434,0.039365064352750778,-0.0044460929930210114,0.093547095281801509,3,102.01404571533203
332308,432308,0.11773836610000001,0.75167983770000002,0.0088404677810000002,0.084153898060321808,0.039554521441459656,-0.0047233812510967255,0.093106117176333464,3,102.01404571533203
332309,432309,0.1175569051,1.0877401980000001,0.020315289890000001,0.16578702628612518,0.054134327918291092,-0.0089697288349270821,0.1746319546341206,3,102.01404571533203
332310,432310,0.1177402884,1.8124420640000001,-0.008568602614,0.41862165927886963,0.073593229055404663,-0.015058441087603569,0.42530790449765227,3,102.01404571533203
332311,432311,0.117742531,1.8121427299999999,0.0088404677810000002,0.41673102974891663,0.073507435619831085,-0.015194947831332684,0.42343710357807918,3,102.01404571533203
332312,432312,0.11774393919999999,1.55058217,0.01197215915,0.31741723418235779,0.068685621023178101,-0.014757737517356873,0.32509876331347159,3,102.01404571533203
332313,432313,0.11774518339999999,1.8118510249999999,-0.0085738217460000002,0.41839069128036499,0.073582857847213745,-0.015061683021485806,0.42507888893058976,3,102.01404571533203
332314,432314,0.11774685980000001,0.74928796289999999,0.024027604609999999,0.082909204065799713,0.039505902677774429,-0.0049662552773952484,0.091974540807173696,3,102.01404571533203
332315,432315,0.1177502424,1.551932216,-0.0044199624099999996,0.31929197907447815,0.068695977330207825,-0.014640945009887218,0.3269263869335603,3,102.01404571533203
332316,432316,0.1177502424,1.551932216,0.0044203251600000004,0.31858193874359131,0.06869884580373764,-0.014697249978780746,0.32623609896105898,3,102.01404571533203
332317,432317,0.11775161319999999,0.74794793130000004,-0.012730522080000001,0.084056511521339417,0.039140786975622177,-0.0043529924005270004,0.092824818217151092,3,102.01404571533203
332318,432318,0.1177534163,0.74743980170000002,-0.0044199624099999996,0.083753436803817749,0.03922966867685318,-0.004476271104067564,0.092593963539443963,3,102.01404571533203
332319,432319,0.1177534163,0.74743980170000002,0.0044203251600000004,0.083458453416824341,0.039324406534433365,-0.0046191979199647903,0.092374560271957076,3,102.01404571533203
332320,432320,0.1177534163,0.74743980170000002,0.01326060947,0.083087228238582611,0.039389744400978088,-0.004747368860989809,0.092073758321505481,3,102.01404571533203
332321,432321,0.11775766310000001,0.74624383449999998,0.020854178819999999,0.082477249205112457,0.039352696388959885,-0.004858839325606823,0.091513603738001395,3,102.01404571533203
332322,432322,0.1174552842,1.8103863280000001,0.012001777389999999,0.41572436690330505,0.073573827743530273,-0.015230525285005569,0.42245925988957284,3,102.01404571533203
332323,432323,0.11775925750000001,1.553863287,0.01510384958,0.31829521059989929,0.068769864737987518,-0.014811757020652294,0.32597626222311676,3,102.01404571533203
332324,432324,0.1177628636,0.48616677520000001,-0.0088401073589999997,0.038575813174247742,0.026479512453079224,-0.0024488181807100773,0.046853544714241413,3,102.01404571533203
332325,432325,0.1177628636,0.48616677520000001,0.0088404677810000002,0.038273490965366364,0.026616111397743225,-0.0026989879552274942,0.046696488439662363,3,102.01404571533203
332326,432326,0.1177195431,0.48617034819999999,0.026843258389999999,0.037648174911737442,0.026653582230210304,-0.0030324126128107309,0.046227632928170705,3,102.01404571533203
332327,432327,0.1177648604,0.74421608449999999,-0.016620935869999999,0.083339221775531769,0.038912758231163025,-0.0042562875896692276,0.092074668738769766,3,102.01404571533203
332328,432328,0.1177684739,0.74319976570000001,1.8253560080000001e-07,0.082754760980606079,0.039089873433113098,-0.0045107132755219936,0.091633592116799681,3,102.01404571533203
332329,432329,0.1177684739,0.74319976570000001,0.017680751160000001,0.082025766372680664,0.03922266885638237,-0.0047736819833517075,0.091046318656611225,3,102.01404571533203
332330,432330,0.11777185649999999,1.5565632579999999,1.8253560080000001e-07,0.32064101099967957,0.06878264993429184,-0.01468617282807827,0.32826421452728616,3,102.01404571533203
332331,432331,0.1177729964,0.74220329519999995,-0.016636429349999999,0.082924522459506989,0.03881126269698143,-0.0042345034889876842,0.091655450231121718,3,102.01404571533203
332332,432332,0.1177749038,1.8085860010000001,0.012086756529999999,0.41501092910766602,0.073427937924861908,-0.015203770250082016,0.42173082407683082,3,102.01404571533203
332333,432333,0.1177814454,1.5593246220000001,0.01504415925,0.32029351592063904,0.06889362633228302,-0.0148507384583354,0.32795550387632583,3,102.01404571533203
332334,432334,0.1177825257,0.74010360239999995,0.02092457935,0.081237532198429108,0.039088528603315353,-0.0048111327923834324,0.090280655208128363,3,102.01404571533203
332335,432335,0.11778487260000001,1.193678617,0.019179720430000002,0.19691723585128784,0.058015994727611542,-0.010521305724978447,0.20555522687030955,3,102.01404571533203
332336,432336,0.1177866086,1.8072998520000001,0.0044203251600000004,0.41530224680900574,0.073455408215522766,-0.015179231762886047,0.42202140026025792,3,102.01404571533203
332337,432337,0.1177876145,0.73898088930000005,-0.0044199624099999996,0.082027994096279144,0.038829747587442398,-0.0044022491201758385,0.090860997740943736,3,102.01404571533203
