aspect_ratio_index,taper_ratio_index,aspect_ratio,taper_ratio,binary_feasibility_score,raw_score
1,1,6,0.20000000000000001,0.86530975865762205,0.86530975865762205
2,1,6.0250000000000004,0.20000000000000001,0.88147355287995754,0.88147355287995754
3,1,6.0499999999999998,0.20000000000000001,0.89808460901371423,0.89808460901371423
4,1,6.0750000000000002,0.20000000000000001,0.91512376057800404,0.91512376057800404
5,1,6.0999999999999996,0.20000000000000001,0.93256636889395683,0.93256636889395683
6,1,6.125,0.20000000000000001,0.950381550252825,0.950381550252825
7,1,6.1500000000000004,0.20000000000000001,0.96853131221806499,0.96853131221806499
8,1,6.1749999999999998,0.20000000000000001,0.9869695907435313,0.9869695907435313
9,1,6.2000000000000002,0.20000000000000001,1,1.0056411798706106
10,1,6.2249999999999996,0.20000000000000001,1,1.0244805464561106
11,1,6.25,0.20000000000000001,1,1.0434105242275513
12,1,6.2750000000000004,0.20000000000000001,1,1.0623408855365233
13,1,6.2999999999999998,0.20000000000000001,1,1.081166797662374
14,1,6.3250000000000002,0.20000000000000001,1,1.0997671879982049
15,1,6.3499999999999996,0.20000000000000001,1,1.1180030789982742
16,1,6.375,0.20000000000000001,1,1.1357160323544422
17,1,6.4000000000000004,0.20000000000000001,1,1.1527270166729169
18,1,6.4249999999999998,0.20000000000000001,1,1.1688364132568552
19,1,6.4500000000000002,0.20000000000000001,1,1.1838267952022825
20,1,6.4749999999999996,0.20000000000000001,1,1.197472086205992
21,1,6.5,0.20000000000000001,1,1.2095597988388684
22,1,6.5250000000000004,0.20000000000000001,1,1.2199327872886592
23,1,6.5499999999999998,0.20000000000000001,1,1.2285397946642449
24,1,6.5750000000000002,0.20000000000000001,1,1.2354557780161952
25,1,6.5999999999999996,0.20000000000000001,1,1.2408502604813016
26,1,6.625,0.20000000000000001,1,1.2449352946281711
27,1,6.6500000000000004,0.20000000000000001,1,1.2479273252981926
28,1,6.6749999999999998,0.20000000000000001,1,1.2500277413726901
29,1,6.7000000000000002,0.20000000000000001,1,1.2514147148118666
30,1,6.7249999999999996,0.20000000000000001,1,1.252240322055413
31,1,6.75,0.20000000000000001,1,1.2526298975578616
32,1,6.7750000000000004,0.20000000000000001,1,1.252682252223944
33,1,6.7999999999999998,0.20000000000000001,1,1.2524701537216822
34,1,6.8250000000000002,0.20000000000000001,1,1.2520407965165377
35,1,6.8499999999999996,0.20000000000000001,1,1.2514161342528145
36,1,6.875,0.20000000000000001,1,1.250593012326559
37,1,6.9000000000000004,0.20000000000000001,1,1.2495430700552894
38,1,6.9249999999999998,0.20000000000000001,1,1.24821249586815
39,1,6.9500000000000002,0.20000000000000001,1,1.2465615930843406
40,1,6.9749999999999996,0.20000000000000001,1,1.244711150407348
41,1,7,0.20000000000000001,1,1.2428200940758591
42,1,7.0250000000000004,0.20000000000000001,1,1.2410246500889528
43,1,7.0499999999999998,0.20000000000000001,1,1.2394396841059943
44,1,7.0750000000000002,0.20000000000000001,1,1.238160195827271
45,1,7.0999999999999996,0.20000000000000001,1,1.237262593390402
46,1,7.125,0.20000000000000001,1,1.2368057570090174
47,1,7.1500000000000004,0.20000000000000001,1,1.2368319025284304
48,1,7.1749999999999998,0.20000000000000001,1,1.2373672556376203
