Case,AR,TaperRatio,CDitrim,Feasible,Pareto,LLTTrimRequiredCL,TorsionCorrectedE,InterpolatedRigidE,LLTTrimCDiRigid,CDiTorsionDeltaPct,DirectRigidE,OptimumTaperAtSameAR,MaximumEAtSameAR,EfficiencyGap,AbsoluteTaperDistance,TaperOnlyCDiPenaltyPct
1,6.3746277940289,0.679008578577434,0.0101735642943544,1,0,0.4420085137423,0.958922326640777,0.958372090836578,0.0101794053026482,-0.0573806437615065,0.97348644004893,0.365,0.989613242547134,0.0161268024982041,0.314008578577434,1.65660268440857
2,7.10993161279688,0.295933262901292,0.00896990593626184,1,1,0.443373089532957,0.981150151642645,0.978736555823984,0.00899202601273463,-0.245996580097341,0.986492843135991,0.363,0.988048907026224,0.00155606389023377,0.067066737098708,0.157736966979627
3,8.7844346636451,0.587455528672493,0.00733493924772248,0,0,0.441321670780092,0.962166643263626,0.966896554460117,0.00729905783816181,0.491589604524978,0.971185765305461,0.358,0.984546004715991,0.0133602394105296,0.229455528672493,1.37566260624995
4,11.0667479864722,0.4737287796842,0.00587688901207949,0,0,0.440991736440541,0.951795223711363,0.957235081740965,0.0058434913206542,0.571536596747158,0.974516419453428,0.352,0.979996580284131,0.00548016083070224,0.1217287796842,0.562346690246218
5,9.78164942299678,0.512190459845546,0.00660749654314368,0,0,0.441202822024868,0.958688797151073,0.963634505882681,0.00657358456391504,0.515882604063478,0.97480411677592,0.355,0.982521592489473,0.00771747571355308,0.157190459845546,0.791695026799633
6,11.8753545273848,0.768360116090147,0.00571042109422764,0,0,0.440014636482774,0.908802795661718,0.918017441077694,0.0056531024603927,1.01393233603191,0.934567328671618,0.35,0.97845957760958,0.0438922489379622,0.418360116090147,4.6965314955264
7,9.16954176635944,0.342391401755701,0.00697979756664231,1,0,0.44211809414814,0.972156637421167,0.975068274855549,0.00695895529292311,0.299502911599259,0.983674418055664,0.357,0.983757917147409,8.34990917448764e-05,0.014608598244299,0.00848848869221541
8,10.7996060117371,0.729508456013336,0.00617967540602397,0,0,0.440352419874737,0.924862830762105,0.932446188204719,0.00612941761305316,0.819944016602525,0.945583998143013,0.353,0.980513207496564,0.0349292093535518,0.376508456013336,3.69392982771997
9,7.80254120831389,0.228510964110416,0.00818742857086035,1,1,0.443453479460131,0.979856924002232,0.976212067486666,0.00821799775082251,-0.371978441574794,0.978823177346999,0.361,0.986587012176254,0.00776383482925547,0.132489035889584,0.793180526262005
10,7.45751427255456,0.424625003289057,0.00849160728872153,1,0,0.442425696797913,0.98389061965651,0.981435943730694,0.00851284570383793,-0.249486668210386,0.986185381409849,0.362,0.987313393592993,0.00112801218314351,0.062625003289057,0.114381353080995
