group,case,period,a_m,t1_over_a,mass_kg,compliance_nm,label_constraint,label_feasible,pareto_optimal,skin_max_mpa,lattice_max_mpa,skin_margin_mpa,lattice_margin_mpa,stress_state,active_failures,plot_category,simulation_ok,trim_ok,stress_ok,compliance_ok,flutter_ok,max_flutter_damping,light_output_available
BCC,26,initial,0.0148831014633179,0.24540853202343,57.2243366268511,49.1459285923188,-1.0,1,0,198.5346,110.4071,21.46539999999999,109.5929,stress_within_limit,not_available,feasible,,,,,,nan,1
BCC,27,initial,0.01941650390625,0.316394243836403,65.5267701227936,48.5184810196455,1.0,0,0,225.1841,83.88024,-5.184100000000001,136.11975999999999,skin_stress_only,not_available,skin_stress_only,,,,,,nan,1
BCC,28,initial,0.0218752925395966,0.381592853069305,72.4799293692166,48.7816675723491,1.0,0,0,225.5801,78.6782,-5.580099999999987,141.3218,skin_stress_only,not_available,skin_stress_only,,,,,,nan,1
BCC,29,initial,0.0111889749765396,0.216917693018913,53.6908975628656,49.4360081254008,1.0,0,0,220.3642,102.1692,-0.36420000000001096,117.8308,skin_stress_only,not_available,skin_stress_only,,,,,,nan,1
BCC,30,initial,0.0180991393327713,0.0745075567066669,36.6124619119196,51.0316855971047,1.0,0,0,221.9747,164.8854,-1.9747000000000128,55.114599999999996,skin_stress_only,not_available,skin_stress_only,,,,,,nan,1
BCC,31,initial,0.0170422340631485,0.05,34.4644104930036,52.0371330946157,1.0,0,0,234.3186,304.0473,-14.318600000000004,-84.0473,skin_and_lattice_stress,not_available,skin_and_lattice_stress,,,,,,nan,1
BCC,32,initial,0.0202317249178886,0.05,34.4718025815971,52.146856162789,1.0,0,0,240.8264,300.6563,-20.826400000000007,-80.65629999999999,skin_and_lattice_stress,not_available,skin_and_lattice_stress,,,,,,nan,1
BCC,33,initial,0.0182330132722855,0.0572227735817432,35.0638020818596,51.6818069960194,1.0,0,0,234.335,284.9887,-14.335000000000008,-64.9887,skin_and_lattice_stress,not_available,skin_and_lattice_stress,,,,,,nan,1
BCC,34,initial,0.0174593243002892,0.0785253848135471,37.0435628609915,50.9292684287747,1.0,0,0,224.1973,187.1302,-4.197300000000013,32.8698,skin_stress_only,not_available,skin_stress_only,,,,,,nan,1
BCC,35,initial,0.018695173561573,0.0743291532993317,36.6166922834377,51.0530460903779,1.0,0,0,224.4216,162.887,-4.421600000000012,57.113,skin_stress_only,not_available,skin_stress_only,,,,,,nan,1
BCC,36,initial,0.0262831658124924,0.05,34.4906449897612,52.1494410147911,1.0,0,0,251.23,238.0317,-31.22999999999999,-18.0317,skin_and_lattice_stress,not_available,skin_and_lattice_stress,,,,,,nan,1
BCC,37,initial,0.0220334385037422,0.0674896630644798,35.9653677880707,51.3275210121104,1.0,0,0,235.1764,227.031,-15.176400000000001,-7.031000000000006,skin_and_lattice_stress,not_available,skin_and_lattice_stress,,,,,,nan,1
BCC,38,initial,0.0205030094385147,0.0847642636299133,37.6484903491317,50.8084921792357,1.0,0,0,236.1545,167.5298,-16.154500000000013,52.470200000000006,skin_stress_only,not_available,skin_stress_only,,,,,,nan,1
BCC,39,initial,0.0236265570521355,0.0792969906330109,37.0695009613094,50.8827293429543,1.0,0,0,253.2473,156.6297,-33.247299999999996,63.370299999999986,skin_stress_only,not_available,skin_stress_only,,,,,,nan,1
BCC,40,initial,0.0258330078125,0.0765439872443676,36.8061354757305,51.0165019092006,1.0,0,0,239.0268,150.1557,-19.02680000000001,69.8443,skin_stress_only,not_available,skin_stress_only,,,,,,nan,1
BCC,41,initial,0.0224954158067703,0.05,34.5116023099781,52.1509614889725,1.0,0,0,245.154,320.8969,-25.153999999999996,-100.89690000000002,skin_and_lattice_stress,not_available,skin_and_lattice_stress,,,,,,nan,1
