problem_id,display_name,dimension,sequential_evaluations,total_evaluations,seed_1_normalized_hv,seed_2_normalized_hv,seed_3_normalized_hv,seed_4_normalized_hv,seed_5_normalized_hv,median_normalized_hv
WELDEDBEAM,Welded beam D4,4,0,20,1.1602288026958916,1.1710999867114127,1.1542194517354427,1.1616221668564068,1.1605577945562151,1.1605577945562151
WELDEDBEAM,Welded beam D4,4,1,21,1.1694158630470677,1.1710999867114127,1.1542194517354427,1.1616221668564068,1.1605577945562151,1.1616221668564068
WELDEDBEAM,Welded beam D4,4,2,22,1.1694158630470677,1.1710999867114127,1.1547619587267677,1.1616221668564068,1.1605577945562151,1.1616221668564068
WELDEDBEAM,Welded beam D4,4,3,23,1.1694158630470677,1.1710999867114127,1.1547619587267677,1.1616221668564068,1.1605577945562151,1.1616221668564068
WELDEDBEAM,Welded beam D4,4,4,24,1.1694158630470677,1.1731268837127187,1.1553861876411111,1.1616221668564068,1.1605577945562151,1.1616221668564068
WELDEDBEAM,Welded beam D4,4,5,25,1.1701451231098758,1.1744873945156391,1.1553861876411111,1.1616221668564068,1.1605577945562151,1.1616221668564068
WELDEDBEAM,Welded beam D4,4,6,26,1.1701451231098758,1.1744873945156391,1.1620604040322358,1.1616221668564068,1.1658957722522079,1.1658957722522079
WELDEDBEAM,Welded beam D4,4,7,27,1.1701451231098758,1.1753332717211218,1.1698781563943859,1.1616221668564068,1.1658957722522079,1.1698781563943859
WELDEDBEAM,Welded beam D4,4,8,28,1.1730278092148763,1.1753332717211218,1.1702749071937455,1.1616221668564068,1.1658957722522079,1.1702749071937455
WELDEDBEAM,Welded beam D4,4,9,29,1.1730278092148763,1.1753332717211218,1.1702749071937455,1.1616221668564068,1.1663163422929295,1.1702749071937455
WELDEDBEAM,Welded beam D4,4,10,30,1.1733748172483638,1.1753332717211218,1.1702749071937455,1.1616221668564068,1.1693722409914704,1.1702749071937455
WELDEDBEAM,Welded beam D4,4,11,31,1.1735992701770015,1.1753332717211218,1.1702749071937455,1.1616221668564068,1.1693722409914704,1.1702749071937455
WELDEDBEAM,Welded beam D4,4,12,32,1.1735992701770015,1.1753332717211218,1.1732685322023926,1.1616221668564068,1.1693722409914704,1.1732685322023926
