problem_id,total_evaluations,is_final,record_type,normalized_x1,normalized_x2,pof_score,exact_feasible,predicted_feasible_at_half,error_class,observed_feasible,objective_y1,objective_y2
COSSIN1,50,1,grid,0.00248756218905473,0.00248756218905473,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.00746268656716418,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.0124378109452736,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.0174129353233831,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.0223880597014925,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.027363184079602,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.0323383084577114,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.0373134328358209,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.0422885572139304,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.0472636815920398,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.0522388059701493,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.0572139303482587,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.0621890547263682,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.0671641791044776,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.0721393034825871,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.0771144278606965,0.992203246424894,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.082089552238806,0.971833754225003,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.0870646766169154,0.951997094851806,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.0920398009950249,0.932751236429759,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.0970149253731343,0.914141636932099,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.101990049751244,0.896203067407895,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.106965174129353,0.878961219317593,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.111940298507463,0.862434118606175,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.116915422885572,0.846633366925774,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.121890547263682,0.831565228426721,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.126865671641791,0.817231578742536,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.131840796019901,0.80363073117767,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.13681592039801,0.790758153646417,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.141791044776119,0.778607088589224,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.146766169154229,0.767169086892504,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.151741293532338,0.756434465746013,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.156716417910448,0.746392699375652,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.161691542288557,0.737032750678808,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.166666666666667,0.728343350955097,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.171641791044776,0.720313234160177,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.176616915422886,0.712931331407785,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.181592039800995,0.706186930800082,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.186567164179104,0.700069807074252,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.191542288557214,0.694570325010361,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.196517412935323,0.689679520048439,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.201492537313433,0.685389159108835,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.206467661691542,0.681691784196387,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.211442786069652,0.678580740993714,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.216417910447761,0.676050194309539,1,1,3,NaN,,
