solver_id,solver_label,pareto_point_index,retained_evaluations,true_oracle_calls,objective_f1_fabrication_cost,objective_f2_end_deflection
historical_ctsemo,Historical cTSEMO,1,150,150,3.8992753929589501,0.0217507003427642
historical_ctsemo,Historical cTSEMO,2,150,150,5.5266715552458896,0.0211549206925216
historical_ctsemo,Historical cTSEMO,3,150,150,5.5337336134666604,0.010065294364911
historical_ctsemo,Historical cTSEMO,4,150,150,9.1399076331794404,0.0085850617293454605
historical_ctsemo,Historical cTSEMO,5,150,150,10.800470995687901,0.0050294969863613499
historical_ctsemo,Historical cTSEMO,6,150,150,11.7924645841138,0.0046047684343454203
historical_ctsemo,Historical cTSEMO,7,150,150,12.2703286465776,0.0040042966171655496
historical_ctsemo,Historical cTSEMO,8,150,150,13.491783743514601,0.0037579771963501801
historical_ctsemo,Historical cTSEMO,9,150,150,21.1903202301623,0.00339196164683167
historical_ctsemo,Historical cTSEMO,10,150,150,27.453164686924399,0.00236682751230902
historical_ctsemo,Historical cTSEMO,11,150,150,29.2413320852047,0.0010919511640157299
historical_ctsemo,Historical cTSEMO,12,150,150,31.854199324163002,0.00105815061946742
historical_ctsemo,Historical cTSEMO,13,150,150,35.319094789402797,0.00098312998165193391
historical_ctsemo,Historical cTSEMO,14,150,150,40.6571487426367,0.00097844485968732304
historical_ctsemo,Historical cTSEMO,15,150,150,40.773009127700803,0.00091615014050442896
historical_ctsemo,Historical cTSEMO,16,150,150,43.706257829053101,0.00073758077143881598
historical_ctsemo,Historical cTSEMO,17,150,150,48.010123476540102,0.00064510728559011299
historical_ctsemo,Historical cTSEMO,18,150,150,53.5394007908342,0.00053549836679011795
historical_ctsemo,Historical cTSEMO,19,150,150,55.105104101608703,0.00048792910292047798
historical_ctsemo,Historical cTSEMO,20,150,150,58.272628972133496,0.00043904000000000002
usemoc,USeMOC,1,150,150,4.3147529999999996,0.015624000000000001
usemoc,USeMOC,2,150,150,6.9896770000000004,0.0078580000000000004
usemoc,USeMOC,3,150,150,7.9471109999999996,0.006522
usemoc,USeMOC,4,150,150,12.244980999999999,0.0025330000000000001
usemoc,USeMOC,5,150,150,16.632978000000001,0.0025019999999999999
usemoc,USeMOC,6,150,150,16.728183000000001,0.001905
usemoc,USeMOC,7,150,150,18.691603000000001,0.0017110000000000001
usemoc,USeMOC,8,150,150,24.86974,0.001513
usemoc,USeMOC,9,150,150,25.596734000000001,0.0012700000000000001
usemoc,USeMOC,10,150,150,27.905422999999999,0.001175
usemoc,USeMOC,11,150,150,32.346055999999997,0.001085
