case,a_m,t1_over_a,mass_kg,compliance_nm,constraint,max_skin_mpa,max_beam_mpa,exceedance_percent,elements_over_220,elements_over_95pct_max,second_max_mpa,p99_75_mpa,p99_9_mpa,p99_99_mpa,max_to_p99_99,current_outlier_threshold_mpa,current_outlier_count_subcase9,critical_element_id,critical_x_m,critical_span_y_mm,critical_z_m,critical_edge_min_mm,critical_edge_max_mm,critical_aspect_ratio,critical_constrained_nodes,edge_neighbour_max_mpa,edge_neighbour_to_peak,high_load_linearity_r2
2,0.0134898097690815,0.356100123735996,70.2079698143592,48.7267676590895,1.0,228.3556,114.338,3.7980000000000125,1,1,198.6107,113.48068450000024,121.12698290000037,150.17388577999424,1.5206079193724968,228.3556,0,39934,0.23548666633333334,0.6885550295666667,0.041926010203333336,0.44733033304210523,0.755050838258132,2.224961009413911,1,195.8675,0.8577302242642615,0.9999999989922126
8,0.0217227511143426,0.216212064970839,53.4867854819244,49.1508352744547,1.0,234.5181,91.54509,6.59913636363636,3,3,232.563,116.91692775000037,126.65956510000191,164.30701638999793,1.4273164053040168,234.5181,0,39934,0.23548666633333334,0.6885550295666667,0.041926010203333336,0.44733033304210523,0.755050838258132,2.224961009413911,1,202.8431,0.8649357981324256,0.9999999989644216
27,0.01941650390625,0.316394243836403,65.5267701227936,48.5184810196455,1.0,225.1841,83.88024,2.356409090909084,1,3,218.3998,116.75238650000027,126.62526500000071,160.37646538999846,1.4040969131749124,225.1841,0,39934,0.23548666633333334,0.6885550295666667,0.041926010203333336,0.44733033304210523,0.755050838258132,2.224961009413911,1,196.0554,0.8706449522857075,0.9999999989825248
29,0.0111889749765396,0.216917693018913,53.6908975628656,49.4360081254008,1.0,220.3642,102.1692,0.1655454545454571,1,2,210.1877,111.75122600000063,129.6778819000027,163.6846900299853,1.346272519193039,220.3642,0,39934,0.23548666633333334,0.6885550295666667,0.041926010203333336,0.44733033304210523,0.755050838258132,2.224961009413911,1,190.7188,0.8654708886470669,0.9999999989110527
51,0.0172401089072227,0.234869783222675,55.9247083011083,49.3291447057848,1.0,221.6461,90.57595,0.7482272727272754,1,2,218.6744,113.63918450000023,124.11473910000066,159.47952103998875,1.3898091651806708,221.6461,0,39747,0.2661997278666667,0.6111469314,0.04317481070666666,0.3589854370580101,0.6069294037172894,1.829113763355434,1,179.3387,0.8091218388232412,0.9999999990092829
54,0.0195227527343856,0.345804453136632,68.6985689959999,48.5175818071967,1.0,224.66253662109375,93.28656,2.119334827769892,2,2,222.08824157714844,117.30781419754156,128.95539178466836,169.90154199065893,1.3223101685177499,224.66253662109375,0,42431,0.2587470412333333,0.7991852664666668,-0.028133368116666668,0.5887457062142318,1.5358494471275164,3.822140438068988,1,172.8491973876953,0.7693725887160946,0.9999999989947131
