topology,endpoint,case_id,X1_cell_size_m,X2_t1_over_a,Y1_two_wing_mass_kg,Y2_two_wing_trim_compliance_Nm
FCC,minimum_feasible_mass,70,0.015443574890096233,0.093826622786741,39.973074817524164,49.84906427017138
FCC,minimum_feasible_compliance,26,0.01,0.4,83.14358410092515,43.55329566091167
BCC,minimum_feasible_mass,17,0.01,0.12232000783085824,41.884856517298466,50.23086577071996
BCC,minimum_feasible_compliance,58,0.021385774939881884,0.3298705696337293,66.85486053790196,48.5071039699029
SC,minimum_feasible_mass,53,0.019530778130431324,0.3046212460520837,46.924365269563346,49.376863154211314
SC,minimum_feasible_compliance,70,0.010393573031551811,0.38467406823037453,51.506454369279595,46.368237802788364
