x_over_c,z_upper_over_c,z_lower_over_c,z_camber_over_c,dzc_dx_fine,box_j_zero_based,control_x_over_c,control_z_camber_over_c,control_dzc_dx,control_W2GJ
0,0,0,0,1.0340421279887395,-1,nan,nan,nan,nan
0.00025000000000000001,0.0020423248920765796,-0.0015253038280822098,0.0002585105319971849,0.71400582918588684,-1,nan,nan,nan,nan
0.00050000000000000001,0.0028624128552345333,-0.0021484070260486465,0.00035700291459294341,0.34168064798529896,-1,nan,nan,nan,nan
0.00075000000000000002,0.0034813237450126008,-0.0026226220330329321,0.00042935085598983435,0.26264192773908968,-1,nan,nan,nan,nan
0.001,0.0039968760612743223,-0.0030202283043493459,0.00048832387846248822,0.21899328397477713,-1,nan,nan,nan,nan
0.00125,0.0044469718234570492,-0.0033692768275026034,0.00053884749797722289,0.19008673462738179,-1,nan,nan,nan,nan
0.0015,0.0048502464542053919,-0.0036835119626530337,0.00058336724577617914,0.16906735858590105,-1,nan,nan,nan,nan
0.00175,0.0052181105785416865,-0.0039713482240013396,0.00062338117727017348,0.15303441540758977,-1,nan,nan,nan,nan
0.002,0.005558454238097847,-0.0042386853311378991,0.00065988445347997396,0.14024103767780005,-1,nan,nan,nan,nan
0.0022500000000000003,0.0058758595516366294,-0.0044888561594184822,0.00069350169610907361,0.12975221708789775,-1,nan,nan,nan,nan
0.0025000000000000001,0.0061746076528608855,-0.0047250865288130401,0.0007247605620239227,0.12097474193148883,-1,nan,nan,nan,nan
0.0027499999999999998,0.006457050326481425,-0.0049490721923317891,0.00075398906707481797,0.11348067280870522,-1,nan,nan,nan,nan
0.0030000000000000001,0.0067257790157914501,-0.0051627772189348992,0.00078150089842827543,0.10701878119602481,-1,nan,nan,nan,nan
0.0032500000000000003,0.0069822304023192533,-0.0053672334869735924,0.00080749845767283043,0.10134640287235519,-1,nan,nan,nan,nan
0.0035000000000000001,0.0072279829472896755,-0.0055636347475607698,0.00083217409986445284,0.096446915157362367,-1,nan,nan,nan,nan
0.0037499999999999999,0.0074642846883947464,-0.0057528408578917233,0.00085572191525151156,0.092025116690960473,-1,nan,nan,nan,nan
0.0040000000000000001,0.0076918282153105397,-0.0059354548988906734,0.00087818665820993316,0.087794652767968495,-1,nan,nan,nan,nan
0.0042500000000000003,0.0079115077698548447,-0.006112269286583853,0.00089961924163549584,0.084360278820971857,-1,nan,nan,nan,nan
0.0045000000000000005,0.0081243858311489912,-0.0062836522359081531,0.00092036679762041908,0.080483027925329464,-1,nan,nan,nan,nan
0.0047499999999999999,0.0083298014135585255,-0.0064500799023622041,0.00093986075559816069,0.074186134656139435,-1,nan,nan,nan,nan
0.0050000000000000001,0.0085269675544456872,-0.0066120478245487099,0.00095745986494848861,0.067252042475772322,-1,nan,nan,nan,nan
0.0052500000000000003,0.0087167257617805378,-0.0067697522081084441,0.00097348677683604685,0.061757258830658968,-1,nan,nan,nan,nan
0.0054999999999999997,0.0089002383954115312,-0.0069235614066838948,0.00098833849436381817,0.057595255511285748,-1,nan,nan,nan,nan
0.0057499999999999999,0.0090784451812144611,-0.0070738763720310819,0.0010022844045916896,0.053625052032896026,-1,nan,nan,nan,nan
0.0060000000000000001,0.0092512152599603416,-0.0072209132191998092,0.0010151510203802662,0.050172028111573841,-1,nan,nan,nan,nan
0.0062500000000000003,0.0094194487211671785,-0.0073647078838722253,0.0010273704186474766,0.04874139703455338,-1,nan,nan,nan,nan
0.0065000000000000006,0.0095843359297592638,-0.0075052924919641779,0.0010395217188975429,0.04835936616987091,-1,nan,nan,nan,nan
0.0067499999999999999,0.0097461732589436325,-0.0076430730554788084,0.001051550101732412,0.047718378720056798,-1,nan,nan,nan,nan
0.0070000000000000001,0.0099048025168177629,-0.0077780407003026205,0.0010633809082575712,0.047567317656456165,-1,nan,nan,nan,nan
0.0072500000000000004,0.010060451835335851,-0.0079097843142145706,0.00107533376056064,0.048526999856092878,-1,nan,nan,nan,nan
0.0074999999999999997,0.010213340514732142,-0.0080380516983609065,0.0010876444081856177,0.049508552830296093,-1,nan,nan,nan,nan
0.0077499999999999999,0.010363578269646869,-0.0081634021956952935,0.0011000880369757878,0.050155388088962916,-1,nan,nan,nan,nan
0.0080000000000000002,0.010511212717847612,-0.0082857685133874131,0.0011127221022300994,0.051162045024842229,-1,nan,nan,nan,nan
0.0082500000000000004,0.010656292161662011,-0.0084049540426855938,0.0011256690594882088,0.052597083762356167,-1,nan,nan,nan,nan
0.0085000000000000006,0.010798874500947648,-0.008520833212725093,0.0011390206441112775,0.054043683647660767,-1,nan,nan,nan,nan
