group,case,period,a_m,t1_over_a,mass_kg,compliance_nm,label_constraint,label_feasible,pareto_optimal,skin_max_mpa,lattice_max_mpa,skin_margin_mpa,lattice_margin_mpa,stress_state,active_failures,plot_category,simulation_ok,trim_ok,stress_ok,compliance_ok,flutter_ok,max_flutter_damping,light_output_available
SC,1,initial,0.0144974658813887,0.160574896040572,38.7206092950201,52.9551960274814,1.0,0,0,238.7643,218.2989,-18.76429999999999,1.7010999999999967,skin_stress_only,not_available,skin_stress_only,,,,,,nan,1
SC,2,initial,0.0134898097690815,0.356100123735996,49.6852742099205,47.810674604504,-1.0,1,0,205.13,160.0526,14.870000000000005,59.94739999999999,stress_within_limit,not_available,feasible,,,,,,nan,1
SC,3,initial,0.0269880858966697,0.301500031087591,47.0974119843595,52.9471292391916,1.0,0,0,256.932,194.8713,-36.932000000000016,25.12870000000001,skin_stress_only,not_available,skin_stress_only,,,,,,nan,1
SC,4,initial,0.0286018465546866,0.111476626094625,35.9743473427966,54.4858565801134,1.0,0,0,259.9277,244.766,-39.927700000000016,-24.76599999999999,skin_and_lattice_stress,not_available,skin_and_lattice_stress,,,,,,nan,1
SC,5,initial,0.0102181934949284,0.052475773188447,33.3598368799044,55.6004812278848,1.0,0,0,252.6859,196.4842,-32.685900000000004,23.515800000000013,skin_stress_only,not_available,skin_stress_only,,,,,,nan,1
SC,6,initial,0.0180814171495891,0.247750568190532,43.5183408192114,50.9819255399067,1.0,0,0,227.7565,174.2543,-7.756499999999988,45.7457,skin_stress_only,not_available,skin_stress_only,,,,,,nan,1
SC,7,initial,0.0169055689400724,0.393119166234908,51.6611683223044,47.5958396492726,-1.0,1,0,200.3886,164.5856,19.611400000000003,55.4144,stress_within_limit,not_available,feasible,,,,,,nan,1
SC,8,initial,0.0217227511143426,0.216212064970839,41.8678309770366,51.7142740351238,1.0,0,0,233.0709,168.6711,-13.070899999999995,51.328900000000004,skin_stress_only,not_available,skin_stress_only,,,,,,nan,1
SC,9,initial,0.0237014119888819,0.273438436334868,45.2849913445688,50.6180234640983,1.0,0,0,236.2307,205.8735,-16.230700000000013,14.126499999999993,skin_stress_only,not_available,skin_stress_only,,,,,,nan,1
SC,10,initial,0.0254849834917525,0.138434890288404,37.4011050194996,53.8008689759118,1.0,0,0,242.3162,235.4566,-22.31620000000001,-15.456600000000009,skin_and_lattice_stress,not_available,skin_and_lattice_stress,,,,,,nan,1
SC,11,initial,0.0143568448363201,0.320109765075422,47.740336786599,48.6944230226063,1.0,0,0,226.2844,168.9634,-6.284400000000005,51.03659999999999,skin_stress_only,not_available,skin_stress_only,,,,,,nan,1
SC,12,initial,0.0169993559061219,0.319128630226497,47.5891122933085,49.441246078214,-1.0,1,0,208.5124,159.3781,11.487599999999986,60.62190000000001,stress_within_limit,not_available,feasible,,,,,,nan,1
SC,13,initial,0.0182446244068989,0.385892220150707,51.3420532884929,47.6134584333914,-1.0,1,0,211.4155,174.5588,8.584499999999991,45.44120000000001,stress_within_limit,not_available,feasible,,,,,,nan,1
