case_id,a_m,t1_over_a,mass_kg,compliance_Nm,label_constraint,label_feasible,pareto_case071,skin_max_MPa,lattice_max_MPa,stress_state,active_failures,plot_category
36,0.03,0.185858264267445,53.3352533058769,48.9655774767383,1.0,0,0,234.793,105.1843,skin_stress_only,not_available,skin_stress_only
37,0.01,0.18949428327421,53.7027665150797,47.619034057804,1.0,0,0,195.2703,285.3821,lattice_stress_only,not_available,lattice_stress_only
38,0.023313203394413,0.05,34.9587809912558,52.1014929196133,1.0,0,0,242.0072,409.4077,skin_and_lattice_stress,not_available,skin_and_lattice_stress
39,0.0160630493164063,0.05,34.964807738369,51.9480028639105,1.0,0,0,228.865,440.1086,skin_and_lattice_stress,not_available,skin_and_lattice_stress
40,0.0227337878346443,0.102328569591045,40.9379289155463,49.7482706083592,-1.0,1,1,218.2662,216.9856,stress_within_limit,not_available,feasible
41,0.0172516611814499,0.27612957788433,66.4940594464922,46.187758891421,-1.0,1,0,216.3188,97.74105,stress_within_limit,not_available,feasible
42,0.0232885437849483,0.282570270153855,67.3169210959113,46.3563554445279,1.0,0,0,255.3992,113.2308,skin_stress_only,not_available,skin_stress_only
43,0.0294318888303902,0.0939280243306607,39.9033073966046,50.0476549330496,1.0,0,0,255.6802,181.2036,skin_stress_only,not_available,skin_stress_only
44,0.0202001724926524,0.352001470888332,76.9430363940924,45.2084590046599,1.0,0,0,249.8885,96.25558,skin_stress_only,not_available,skin_stress_only
45,0.0261458583478198,0.143959648924425,46.8886677681296,48.4729095225877,1.0,0,0,242.433,125.3647,skin_stress_only,not_available,skin_stress_only
46,0.0277419886811987,0.35683626960036,79.4381777676451,48.9318781204314,1.0,0,0,358.315,65.81228,skin_stress_only,not_available,skin_stress_only
47,0.0149349017620916,0.264655356371772,64.9392886081176,45.7550433908959,-1.0,1,0,190.2942,128.9037,stress_within_limit,not_available,feasible
48,0.0126537872745888,0.387224258184693,81.149745444908,44.2400284781794,-1.0,1,0,214.2895,117.493,stress_within_limit,not_available,feasible
49,0.0135437570778556,0.213367325042047,57.49440995152,46.5847297547918,-1.0,1,1,211.6292,145.7444,stress_within_limit,not_available,feasible
50,0.0182694556631608,0.266450172810763,64.8722693959531,46.3741980439255,-1.0,1,0,185.2887,100.5908,stress_within_limit,not_available,feasible
51,0.0133907068820696,0.260181831333379,64.3369189959036,45.5844464660689,-1.0,1,1,194.3563,132.995,stress_within_limit,not_available,feasible
52,0.0107334526879464,0.322287320940962,73.2797777997022,44.5998266151957,-1.0,1,1,194.2111,138.9659,stress_within_limit,none,feasible
53,0.0140014653160599,0.187974186044101,53.7545269804038,47.2169143343539,-1.0,1,1,211.4001,146.8791,stress_within_limit,none,feasible
54,0.0144687654380884,0.138694420507902,46.2696170832032,48.4534818296999,-1.0,1,1,206.3283,155.7219,stress_within_limit,none,feasible
