record_type,aspect_ratio_index,taper_ratio_index,aspect_ratio,taper_ratio,binary_feasibility_score,raw_score,case,period,AR,CDitrim,Ctrim_Nm,constraint,feasible,final_pareto,selection_source,modeled_half_wing_mass_kg,max_screening_stress_mpa,max_shell_vm_mpa,max_cbeam_normal_stress_mpa
grid,1,1,6,0.20000000000000001,0.86530975865762205,0.86530975865762205,,,,,,,,,,,,,
grid,2,1,6.0250000000000004,0.20000000000000001,0.88147355287995754,0.88147355287995754,,,,,,,,,,,,,
grid,3,1,6.0499999999999998,0.20000000000000001,0.89808460901371423,0.89808460901371423,,,,,,,,,,,,,
grid,4,1,6.0750000000000002,0.20000000000000001,0.91512376057800404,0.91512376057800404,,,,,,,,,,,,,
grid,5,1,6.0999999999999996,0.20000000000000001,0.93256636889395683,0.93256636889395683,,,,,,,,,,,,,
grid,6,1,6.125,0.20000000000000001,0.950381550252825,0.950381550252825,,,,,,,,,,,,,
grid,7,1,6.1500000000000004,0.20000000000000001,0.96853131221806499,0.96853131221806499,,,,,,,,,,,,,
grid,8,1,6.1749999999999998,0.20000000000000001,0.9869695907435313,0.9869695907435313,,,,,,,,,,,,,
grid,9,1,6.2000000000000002,0.20000000000000001,1,1.0056411798706106,,,,,,,,,,,,,
grid,10,1,6.2249999999999996,0.20000000000000001,1,1.0244805464561106,,,,,,,,,,,,,
grid,11,1,6.25,0.20000000000000001,1,1.0434105242275513,,,,,,,,,,,,,
grid,12,1,6.2750000000000004,0.20000000000000001,1,1.0623408855365233,,,,,,,,,,,,,
grid,13,1,6.2999999999999998,0.20000000000000001,1,1.081166797662374,,,,,,,,,,,,,
grid,14,1,6.3250000000000002,0.20000000000000001,1,1.0997671879982049,,,,,,,,,,,,,
grid,15,1,6.3499999999999996,0.20000000000000001,1,1.1180030789982742,,,,,,,,,,,,,
grid,16,1,6.375,0.20000000000000001,1,1.1357160323544422,,,,,,,,,,,,,
grid,17,1,6.4000000000000004,0.20000000000000001,1,1.1527270166729169,,,,,,,,,,,,,
grid,18,1,6.4249999999999998,0.20000000000000001,1,1.1688364132568552,,,,,,,,,,,,,
grid,19,1,6.4500000000000002,0.20000000000000001,1,1.1838267952022825,,,,,,,,,,,,,
