mesh_id,cell_count,iteration,CD_total,CD_pressure_calculated,CD_viscous_calculated,alpha_deg,nominal_mach,speed_m_s,density_kg_m3,reference_area_m2,dynamic_pressure_Pa,surface_cell_m,original_stop_iteration,monitor_window_iterations,monitor_drag_range_tolerance_N,monitor_reported_drag_range_N,monitor_reported_pass,boundary_layer_extrusion_enabled
geom_medium,1507089,30,0.0615991955,0.05377571880687518,0.007823476742538476,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.01043162125,240,80,60.0,6.24637,1,0
geom_medium,1507089,40,0.0756557114,0.06794107950052575,0.007714631942274899,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.01043162125,240,80,60.0,6.24637,1,0
geom_medium,1507089,50,0.0755162104,0.06789454579309313,0.0076216645814380325,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.01043162125,240,80,60.0,6.24637,1,0
geom_medium,1507089,60,0.0743184725,0.0667800405665546,0.007538431943378602,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.01043162125,240,80,60.0,6.24637,1,0
geom_medium,1507089,70,0.0736116264,0.06614967164428796,0.007461954749684975,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.01043162125,240,80,60.0,6.24637,1,0
geom_medium,1507089,80,0.072992247,0.0656040545209173,0.0073881924048853935,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.01043162125,240,80,60.0,6.24637,1,0
geom_medium,1507089,90,0.0723722051,0.06505446876025357,0.007317736386869314,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.01043162125,240,80,60.0,6.24637,1,0
geom_medium,1507089,100,0.0716922497,0.0644395312261148,0.007252718476999507,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.01043162125,240,80,60.0,6.24637,1,0
geom_medium,1507089,110,0.0710643275,0.06386833281414256,0.0071959947433150335,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.01043162125,240,80,60.0,6.24637,1,0
geom_medium,1507089,120,0.0704899115,0.06333896482136199,0.0071509467040583585,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.01043162125,240,80,60.0,6.24637,1,0
geom_medium,1507089,130,0.0700311842,0.06291256052356503,0.007118623685621222,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.01043162125,240,80,60.0,6.24637,1,0
geom_medium,1507089,140,0.0696912072,0.062593771556038,0.00709743570206088,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.01043162125,240,80,60.0,6.24637,1,0
geom_medium,1507089,150,0.0694790556,0.06239418221037373,0.007084873425409298,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.01043162125,240,80,60.0,6.24637,1,0
geom_medium,1507089,160,0.069331589,0.06225290482572638,0.007078684227922453,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.01043162125,240,80,60.0,6.24637,1,0
geom_medium,1507089,170,0.0692832225,0.062206121581009466,0.007077100933627307,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.01043162125,240,80,60.0,6.24637,1,0
geom_medium,1507089,180,0.0692823005,0.06220429122826783,0.007078009249527561,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.01043162125,240,80,60.0,6.24637,1,0
geom_medium,1507089,190,0.0693101284,0.062229864540922476,0.007080263880653379,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.01043162125,240,80,60.0,6.24637,1,0
geom_medium,1507089,200,0.0693761538,0.06229284418629044,0.007083309608872215,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.01043162125,240,80,60.0,6.24637,1,0
geom_medium,1507089,210,0.0694650666,0.062378586351936334,0.007086480266864948,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.01043162125,240,80,60.0,6.24637,1,0
geom_medium,1507089,220,0.0695386129,0.06244895319740783,0.007089659692985061,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.01043162125,240,80,60.0,6.24637,1,0
geom_medium,1507089,230,0.0696487935,0.06255615228466538,0.007092641289638153,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.01043162125,240,80,60.0,6.24637,1,0
geom_medium,1507089,240,0.0697331887,0.06263828896230271,0.0070948997020200385,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.01043162125,240,80,60.0,6.24637,1,0
geom_fine,6426797,0,0.000367126165,0.0,0.0003671261646558471,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.00861742625,240,80,60.0,12.7891,1,0
geom_fine,6426797,10,-0.173442655,-0.18166934116237318,0.008226686105196244,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.00861742625,240,80,60.0,12.7891,1,0
geom_fine,6426797,20,-0.0172421885,-0.025493419755002286,0.008251231286693313,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.00861742625,240,80,60.0,12.7891,1,0
geom_fine,6426797,30,0.0579785784,0.04982910756089481,0.00814947083731738,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.00861742625,240,80,60.0,12.7891,1,0
geom_fine,6426797,40,0.0751409284,0.06709104484809322,0.008049883620204413,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.00861742625,240,80,60.0,12.7891,1,0
geom_fine,6426797,50,0.0749838142,0.06701533609901027,0.007968478156022394,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.00861742625,240,80,60.0,12.7891,1,0
geom_fine,6426797,60,0.0732640979,0.06536508405556672,0.007899013749810281,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.00861742625,240,80,60.0,12.7891,1,0
geom_fine,6426797,70,0.0725553493,0.06472053362850741,0.007834815752991433,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.00861742625,240,80,60.0,12.7891,1,0
geom_fine,6426797,80,0.0725724651,0.06479935249547193,0.007773112581744474,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.00861742625,240,80,60.0,12.7891,1,0
geom_fine,6426797,90,0.072874747,0.06516228496011647,0.007712462039303495,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.00861742625,240,80,60.0,12.7891,1,0
geom_fine,6426797,100,0.0730095596,0.06535671855525518,0.007652841064491345,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.00861742625,240,80,60.0,12.7891,1,0
geom_fine,6426797,110,0.072831716,0.06523615133079266,0.007595564556803174,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.00861742625,240,80,60.0,12.7891,1,0
geom_fine,6426797,120,0.0723410865,0.0647983659510129,0.007542720553836946,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.00861742625,240,80,60.0,12.7891,1,0
geom_fine,6426797,130,0.0717038033,0.06420720145588332,0.0074966017750844206,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.00861742625,240,80,60.0,12.7891,1,0
geom_fine,6426797,140,0.0710049445,0.06354648254661896,0.007458462032811599,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.00861742625,240,80,60.0,12.7891,1,0
geom_fine,6426797,150,0.0703257055,0.06289718604006782,0.007428519516332516,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.00861742625,240,80,60.0,12.7891,1,0
geom_fine,6426797,160,0.0697226496,0.06231656602259708,0.00740608351159475,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.00861742625,240,80,60.0,12.7891,1,0
geom_fine,6426797,170,0.0692444736,0.06185461926387801,0.007389853944172545,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.00861742625,240,80,60.0,12.7891,1,0
geom_fine,6426797,180,0.0689325788,0.06155424022300129,0.00737833850255191,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.00861742625,240,80,60.0,12.7891,1,0
geom_fine,6426797,190,0.0687994803,0.061429103269099845,0.0073703771496477,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.00861742625,240,80,60.0,12.7891,1,0
geom_fine,6426797,200,0.0688063447,0.06144127875659639,0.007365065747998003,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.00861742625,240,80,60.0,12.7891,1,0
geom_fine,6426797,210,0.0689205508,0.06155882462338245,0.007361726581184144,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.00861742625,240,80,60.0,12.7891,1,0
geom_fine,6426797,220,0.0691084093,0.06174843036696919,0.0073599786679298404,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.00861742625,240,80,60.0,12.7891,1,0
geom_fine,6426797,230,0.0693184605,0.061959046103133415,0.007359414347407274,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.00861742625,240,80,60.0,12.7891,1,0
geom_fine,6426797,240,0.0695211899,0.06216143515618125,0.007359754321484944,7,0.29,98.6847632,1.22501227,2.32245987,5965.002770619109,0.00861742625,240,80,60.0,12.7891,1,0
