Case,Origin,Role,Semispan_m,RootDiameter_mm,TipDiameter_mm,SkinMassTwoWing_kg,LatticeMassTwoWing_kg,TotalMassTwoWing_kg
4,initial_corner,low_compliance,1.8664645206378825,9.09351513385772,4.54675756692886,32.8369866017944,72.5489492567016,105.38593585849608
37,adaptive,lightest_feasible,1.9703904710431037,1.1370646757515719,0.17056139657838107,32.7268257211984,2.89618439543396,35.62301011663232
64,adaptive,intermediate_compromise,2.08491882424243,1.3793668495516382,0.20693953960955438,32.6245221826474,3.81101968160384,36.435541864251284
99,adaptive,low_induced_drag,2.512469758327456,2.3688819845006255,0.5988351231761996,32.3602293728362,8.18478114546704,40.54501051830333
