"case_id","a_m","t1_over_a","mass_kg","compliance_Nm","constraint","feasible","pareto_case071","feasibility_result","selection_source","archive_verified","flutter_screen"
"52","0.01319654437097808","0.3801323706670447","50.905800599226026","47.258492753298924","-1.0","1","0","pass","primary","1","revised_strict_18_point_mkaero1_any_positive_damping"
"53","0.019530778130431324","0.3046212460520837","46.924365269563346","49.376863154211314","-1.0","1","1","pass","challenger","1","revised_strict_18_point_mkaero1_any_positive_damping"
"54","0.012874676750283077","0.3946435632385684","51.6476906324464","46.9816678164466","-1.0","1","0","pass","challenger","1","revised_strict_18_point_mkaero1_any_positive_damping"
"55","0.020998081309738105","0.3082490881637956","47.273185427847245","49.36411655841056","1.0","0","0","fail_skin_stress","primary","1","revised_strict_18_point_mkaero1_any_positive_damping"
"56","0.013399866759618111","0.3320193649849263","48.372914295960356","48.4652117709337","-1.0","1","0","pass","primary","1","revised_strict_18_point_mkaero1_any_positive_damping"
"57","0.012023051566824336","0.3149206988789769","47.69154121284163","48.30532324468539","1.0","0","0","fail_skin_stress","primary","1","revised_strict_18_point_mkaero1_any_positive_damping"
"58","0.0114612722532381","0.3642851618638186","50.267864979608774","47.129077574605724","1.0","0","0","fail_skin_stress","primary","1","revised_strict_18_point_mkaero1_any_positive_damping"
"59","0.012262327518633273","0.3437651208305445","49.19471433504728","47.85909159461246","-1.0","1","0","pass","primary","1","revised_strict_18_point_mkaero1_any_positive_damping"
"60","0.012019035692990038","0.3463117110069458","49.29971643277102","47.738461032733916","-1.0","1","0","pass","primary","1","revised_strict_18_point_mkaero1_any_positive_damping"
"61","0.010967011873316595","0.3417819737718063","49.19334746121973","47.431068528276754","-1.0","1","1","pass","primary","1","revised_strict_18_point_mkaero1_any_positive_damping"
"62","0.011218633565990324","0.33054134145634495","48.6127669280889","47.76024432675583","-1.0","1","1","pass","challenger","1","revised_strict_18_point_mkaero1_any_positive_damping"
"63","0.010639317353619962","0.31860396020251797","48.0044020501626","48.09632419221467","-1.0","1","1","pass","challenger","1","revised_strict_18_point_mkaero1_any_positive_damping"
"64","0.010240494257217498","0.30658545191657416","47.318880929484195","48.68359966841454","1.0","0","0","fail_skin_stress","challenger","1","revised_strict_18_point_mkaero1_any_positive_damping"
"65","0.01087011732443564","0.31240905892584797","47.69070986977008","48.26058628199823","-1.0","1","1","pass","primary","1","revised_strict_18_point_mkaero1_any_positive_damping"
"66","0.01118746026525971","0.3074779392805776","47.37513059897462","48.35586289774874","1.0","0","0","fail_skin_stress","primary","1","revised_strict_18_point_mkaero1_any_positive_damping"
"67","0.01005176035473526","0.34488766613140887","49.38314932784509","47.50669137418804","-1.0","1","0","pass","challenger","1","revised_strict_18_point_mkaero1_any_positive_damping"
"68","0.01070669044429462","0.35229199045917126","49.88924851329273","47.18869708267899","-1.0","1","1","pass","primary","1","revised_strict_18_point_mkaero1_any_positive_damping"
"69","0.01057269516285083","0.3585108910704536","50.20793215066375","47.01905686315298","-1.0","1","1","pass","challenger","1","revised_strict_18_point_mkaero1_any_positive_damping"
"70","0.010393573031551811","0.38467406823037453","51.506454369279595","46.368237802788364","-1.0","1","1","pass","challenger","1","revised_strict_18_point_mkaero1_any_positive_damping"
"71","0.010278306485948432","0.37083900654732543","50.79905860046105","46.71410343484154","1.0","0","0","fail_skin_stress","primary","1","revised_strict_18_point_mkaero1_any_positive_damping"
