group,case,mass_kg,compliance_Nm,skin_mass_single_kg,lattice_mass_single_kg,max_vm_MPa
FCC,40,40.9379289155463,49.7482706083592,16.17577607795,4.29318837982313,218.2662
BCC,17,41.8848565172985,50.23086577072,16.17577607795,4.76665218069922,217.3177
SC,12,47.5891122933085,49.441246078214,16.17577607795,7.61878006870422,208.5124
