"figure","record_type","case_id","view","source_png","x_px","y_px","width_px","height_px","x2_px","y2_px","text","font","font_px","font_weight","color","line_width_px","horizontal_alignment","vertical_alignment","isotropic_scale_factor","source_crop_sha256"
"ntop_multiinput_solid_detail_grid.png","text","","","","2776","993","1320","95","","","100 mm","Arial","78","regular","#1e1e1e","","center","center","",""
"ntop_multiinput_solid_detail_grid.png","image","4","tip_solid_close","multiinput_4_tip_solid_close_native.png","40","1210","1320","720","","","","","","","","","","","1","46d8cb50059cbcdf82a71d26c4cb2f8f7d8fc5123a6506876a02628cce6faf6f"
"ntop_multiinput_solid_detail_grid.png","line","4","tip_solid_close","","622.088235294118","1965","","","777.911764705882","1965","","","","","#000000","7","","","",""
"ntop_multiinput_solid_detail_grid.png","line","4","tip_solid_close","","622.088235294118","1952","","","622.088235294118","1978","","","","","#000000","7","","","",""
"ntop_multiinput_solid_detail_grid.png","line","4","tip_solid_close","","777.911764705882","1952","","","777.911764705882","1978","","","","","#000000","7","","","",""
"ntop_multiinput_solid_detail_grid.png","text","","","","40","1983","1320","95","","","20 mm","Arial","78","regular","#1e1e1e","","center","center","",""
"ntop_multiinput_solid_detail_grid.png","image","37","tip_solid_close","multiinput_37_tip_solid_close_native.png","1408","1210","1320","720","","","","","","","","","","","1","b21137f21db415bbc209c0ef359203a01b3f0879aad5f90395fe50ddb804f8c2"
"ntop_multiinput_solid_detail_grid.png","line","37","tip_solid_close","","1989.20238095238","1965","","","2146.79761904762","1965","","","","","#000000","7","","","",""
"ntop_multiinput_solid_detail_grid.png","line","37","tip_solid_close","","1989.20238095238","1952","","","1989.20238095238","1978","","","","","#000000","7","","","",""
"ntop_multiinput_solid_detail_grid.png","line","37","tip_solid_close","","2146.79761904762","1952","","","2146.79761904762","1978","","","","","#000000","7","","","",""
"ntop_multiinput_solid_detail_grid.png","text","","","","1408","1983","1320","95","","","5 mm","Arial","78","regular","#1e1e1e","","center","center","",""
"ntop_multiinput_solid_detail_grid.png","image","99","tip_solid_close","multiinput_99_tip_solid_close_native.png","2776","1210","1320","720","","","","","","","","","","","1","8a14269a4c02886c91f623928d226d617f0dd351ea11e679331dd011db2bdc94"
"ntop_multiinput_solid_detail_grid.png","line","99","tip_solid_close","","3353.36617647059","1965","","","3518.63382352941","1965","","","","","#000000","7","","","",""
"ntop_multiinput_solid_detail_grid.png","line","99","tip_solid_close","","3353.36617647059","1952","","","3353.36617647059","1978","","","","","#000000","7","","","",""
"ntop_multiinput_solid_detail_grid.png","line","99","tip_solid_close","","3518.63382352941","1952","","","3518.63382352941","1978","","","","","#000000","7","","","",""
"ntop_multiinput_solid_detail_grid.png","text","","","","2776","1983","1320","95","","","20 mm","Arial","78","regular","#1e1e1e","","center","center","",""
