record_type,case_id,phase,source,x1_ar,x2_taper_ratio,x3_primary_member_ratio,x4_secondary_member_ratio,y1_cditrim,y2_ctrim_nm,c_feasible_label,c_failure_reason,final_pareto,normalized_x1_ar,normalized_x2_taper_ratio,normalized_x3_primary_member_ratio,normalized_x4_secondary_member_ratio
evaluation,1,initial_design,corner,6.0,0.2,0.05,0.15,0.010537843603557452,10.953141766601407,true,feasible,true,0.0,0.0,0.0,0.0
evaluation,2,initial_design,corner,6.0,0.2,0.05,0.5,0.010566434068262815,10.80771945298735,true,feasible,true,0.0,0.0,0.0,1.0
evaluation,3,initial_design,corner,6.0,0.2,0.4,0.15,0.012580989612239302,9.769402147107584,true,feasible,false,0.0,0.0,1.0000000000000002,0.0
evaluation,4,initial_design,corner,6.0,0.2,0.4,0.5,0.013097431856977027,9.3272810223876,true,feasible,true,0.0,0.0,1.0000000000000002,1.0
evaluation,5,initial_design,corner,6.0,0.8,0.05,0.15,0.010687584353453305,30.25066730678607,false,lattice stress,false,0.0,1.0000000000000002,0.0,0.0
evaluation,6,initial_design,corner,6.0,0.8,0.05,0.5,0.010712620946390243,29.87650941757736,false,lattice stress,false,0.0,1.0000000000000002,0.0,1.0
evaluation,7,initial_design,corner,6.0,0.8,0.4,0.15,0.011905061419245216,26.94741692712225,true,feasible,false,0.0,1.0000000000000002,1.0000000000000002,0.0
evaluation,8,initial_design,corner,6.0,0.8,0.4,0.5,0.012397069079397381,25.884065670867656,true,feasible,false,0.0,1.0000000000000002,1.0000000000000002,1.0
evaluation,9,initial_design,corner,12.0,0.2,0.05,0.15,0.005399311787796914,79.82404880112628,false,skin+lattice stress,false,1.0,0.0,0.0,0.0
evaluation,10,initial_design,corner,12.0,0.2,0.05,0.5,0.005407695751789858,79.51250922357943,false,skin+lattice stress,false,1.0,0.0,0.0,1.0
evaluation,11,initial_design,corner,12.0,0.2,0.4,0.15,0.005981173409376953,77.3272538872847,false,skin stress,false,1.0,0.0,1.0000000000000002,0.0
evaluation,12,initial_design,corner,12.0,0.2,0.4,0.5,0.006138873068373683,74.56078913576043,false,skin stress,false,1.0,0.0,1.0000000000000002,1.0
evaluation,13,initial_design,corner,12.0,0.8,0.05,0.15,0.005602894012336751,246.23466447719449,false,skin+lattice stress,false,1.0,1.0000000000000002,0.0,0.0
evaluation,14,initial_design,corner,12.0,0.8,0.05,0.5,0.005611556435273702,245.24499367835745,false,skin+lattice stress,false,1.0,1.0000000000000002,0.0,1.0
evaluation,15,initial_design,corner,12.0,0.8,0.4,0.15,0.006017925290249504,235.2773319490137,false,skin stress,false,1.0,1.0000000000000002,1.0000000000000002,0.0
