Role,Case,Source,Pareto,AR,lambda,r1,r2,WingMassTotal,CDitrim,Ctrim,NormalizedCDitrim,NormalizedCtrim,GeometricKneeScore
low_drag_endpoint,99,adaptive,True,10.872100508239818,0.20006706595792395,0.10420093658526437,0.2527922991074786,40.54501051830333,0.006018267636853877,57.59844160185831,0.0,1.0,0.0
low_compliance_endpoint,4,corner,True,6.0,0.2,0.4,0.5,105.38593585849608,0.013097431856977027,9.3272810223876,1.0,0.0,0.0
normalized_geometric_knee,64,adaptive,True,7.4866938414473925,0.200010195282354,0.06067474807034154,0.1500250203032064,36.435541864251284,0.008382788694924672,19.582807292172536,0.3340113302287062,0.2124565920245663,0.32069560766033545
lightest_feasible,37,adaptive,True,6.6867697591199855,0.2000609402952201,0.050016507764657894,0.1500014908700283,35.62301011663232,0.009408487020013451,14.658171321975804,0.4789010789610694,0.11043633995109252,0.29038229586678066
half_arc_intermediate,93,adaptive,True,7.840386240712551,0.20006451053732138,0.05794014865954038,0.1500346269804008,36.00675724356101,0.00803085237603759,22.296046720874884,0.28429694192751775,0.26866488277480494,0.31610372520224816
