Case,DeltaHV,StressUtilization,Feasible,ParetoNow
31,0.011701352525688852,0.42599654545454546,True,True
32,0.0,1.0156554545454546,False,False
33,0.022857346278064627,0.7260636363636364,True,True
34,0.005280752645512948,0.570285,True,True
35,0.0,0.9110754545454546,True,False
36,0.00103332382200097,0.4413605909090909,True,True
37,0.0014063522777229553,0.8812640909090909,True,True
38,0.0,1.0225981818181817,False,False
39,0.00044426077717096835,0.4143120454545455,True,True
40,0.0,1.1980109090909092,False,False
41,0.002617364096215713,0.4786331818181818,True,True
42,0.0,0.4475755,True,False
43,0.0,0.3589468181818182,True,False
44,0.0006607463179980344,0.33737372727272724,True,True
45,0.0033262853531144665,0.8066286363636364,True,True
46,0.003779650955106184,0.6438100000000001,True,True
47,0.0026669398773896402,0.7106372727272727,True,True
48,0.0009605254176082711,0.8979981818181818,True,True
49,0.0,1.3213854545454544,False,False
50,0.0,0.4962190909090909,True,False
51,0.0,0.42590031818181817,True,False
52,2.3183383348557296e-05,0.5829240909090909,True,True
53,0.0,0.9732809090909091,True,True
54,0.0010983907769538392,0.8274931818181818,True,True
55,0.00035132009254199015,0.3569898181818182,True,True
56,0.0009399341955366181,0.8477609090909091,True,True
57,0.0010526338166413907,0.9583795454545455,True,True
58,0.0,0.3834345,True,False
59,0.0,0.6123554545454545,True,False
60,0.0,0.6303704545454546,True,False
61,0.0007416978664939733,0.7689218181818182,True,True
62,0.00015631351336395372,0.4016604090909091,True,True
63,0.0,1.0999986363636363,False,False
64,0.0007640849958677753,0.783065,True,True
65,0.0,0.9990845454545454,True,True
66,0.0,0.8473386363636364,True,False
67,0.0,1.2188700000000001,False,False
68,0.0,0.9897122727272728,True,False
69,0.0,0.6709395454545454,True,False
70,0.0,1.0372131818181818,False,False
71,0.0,0.5221463636363637,True,False
72,0.0003637786259843012,0.6625777272727272,True,True
73,0.0,1.1455704545454546,False,False
74,0.00012061745922131717,0.3732421818181818,True,True
75,0.0,0.7360218181818182,True,False
76,3.8644120278763516e-05,0.4280757727272727,True,True
77,0.0,0.3966009545454546,True,False
78,0.00028922183459823003,0.8319518181818182,True,True
79,0.0,0.8344759090909091,True,False
80,0.0002207495213665256,0.9895649999999999,True,True
81,0.0,0.9871290909090908,True,False
82,0.00011510409567258573,0.4454611363636364,True,True
83,0.0,1.1873081818181819,False,False
84,0.0,0.38965263636363634,True,False
85,0.0002682017912016832,0.7891027272727272,True,True
86,0.00020715655983211123,0.6032381818181818,True,True
87,0.0,0.548225,True,False
88,0.00016699052576837903,0.724135,True,True
89,0.0001669173210439856,0.7484895454545455,True,True
90,0.00022047507722755544,0.8147777272727273,True,True
91,0.0,0.530089090909091,True,False
92,0.0,0.43266709090909095,True,False
93,0.00015586578785467542,0.8705731818181819,True,True
94,0.0,1.0976777272727274,False,False
95,0.0,0.7536218181818182,True,False
96,0.000135770014182357,0.9372859090909091,True,True
97,0.0002559597490421339,0.7888977272727273,True,True
98,0.0,0.5299409090909091,True,False
99,0.0,0.9564740909090909,True,True
100,0.00012934278970966329,0.5311131818181818,True,True
