case_id,role,point_order,spanwise_m,chordwise_m,aspect_ratio,taper_ratio,CDitrim,Ctrim_Nm,constraint,full_wing_area_m2,semispan_m,root_chord_m,tip_chord_m,feasible,final_pareto,evaluation_period
45,minimum_compliance,1,-1.9459900644086641,0.15441131946817838,6.52218344478104,0.2084714953336133,0.009958791733476639,13.023569374114015,-1.0,2.3224598712,1.9459900644086641,0.98757750531522559,0.20588175929090452,1,1,continuation
45,minimum_compliance,2,0,0.74068312898641919,6.52218344478104,0.2084714953336133,0.009958791733476639,13.023569374114015,-1.0,2.3224598712,1.9459900644086641,0.98757750531522559,0.20588175929090452,1,1,continuation
45,minimum_compliance,3,1.9459900644086641,0.15441131946817838,6.52218344478104,0.2084714953336133,0.009958791733476639,13.023569374114015,-1.0,2.3224598712,1.9459900644086641,0.98757750531522559,0.20588175929090452,1,1,continuation
45,minimum_compliance,4,1.9459900644086641,-0.05147043982272613,6.52218344478104,0.2084714953336133,0.009958791733476639,13.023569374114015,-1.0,2.3224598712,1.9459900644086641,0.98757750531522559,0.20588175929090452,1,1,continuation
45,minimum_compliance,5,0,-0.2468943763288064,6.52218344478104,0.2084714953336133,0.009958791733476639,13.023569374114015,-1.0,2.3224598712,1.9459900644086641,0.98757750531522559,0.20588175929090452,1,1,continuation
45,minimum_compliance,6,-1.9459900644086641,-0.05147043982272613,6.52218344478104,0.2084714953336133,0.009958791733476639,13.023569374114015,-1.0,2.3224598712,1.9459900644086641,0.98757750531522559,0.20588175929090452,1,1,continuation
47,normalized_distance_knee,1,-2.1958996044033712,0.13437820935645947,8.304944481348388,0.20395937972383518,0.007757728825140677,25.456119356968323,-1.0,2.3224598712,2.1958996044033712,0.87846386889003802,0.17917094580861262,1,1,continuation
47,normalized_distance_knee,2,0,0.65884790166752849,8.304944481348388,0.20395937972383518,0.007757728825140677,25.456119356968323,-1.0,2.3224598712,2.1958996044033712,0.87846386889003802,0.17917094580861262,1,1,continuation
47,normalized_distance_knee,3,2.1958996044033712,0.13437820935645947,8.304944481348388,0.20395937972383518,0.007757728825140677,25.456119356968323,-1.0,2.3224598712,2.1958996044033712,0.87846386889003802,0.17917094580861262,1,1,continuation
47,normalized_distance_knee,4,2.1958996044033712,-0.044792736452153155,8.304944481348388,0.20395937972383518,0.007757728825140677,25.456119356968323,-1.0,2.3224598712,2.1958996044033712,0.87846386889003802,0.17917094580861262,1,1,continuation
47,normalized_distance_knee,5,0,-0.21961596722250951,8.304944481348388,0.20395937972383518,0.007757728825140677,25.456119356968323,-1.0,2.3224598712,2.1958996044033712,0.87846386889003802,0.17917094580861262,1,1,continuation
47,normalized_distance_knee,6,-2.1958996044033712,-0.044792736452153155,8.304944481348388,0.20395937972383518,0.007757728825140677,25.456119356968323,-1.0,2.3224598712,2.1958996044033712,0.87846386889003802,0.17917094580861262,1,1,continuation
20,minimum_induced_drag,1,-2.4249112196136275,0.12370699855476013,10.127528136742,0.20804873855872114,0.00644157565853256,47.103563783089434,-1.0,2.3224598712,2.4249112196136275,0.79280780975812359,0.16494266473968017,1,1,initial campaign
20,minimum_induced_drag,2,0,0.59460585731859272,10.127528136742,0.20804873855872114,0.00644157565853256,47.103563783089434,-1.0,2.3224598712,2.4249112196136275,0.79280780975812359,0.16494266473968017,1,1,initial campaign
20,minimum_induced_drag,3,2.4249112196136275,0.12370699855476013,10.127528136742,0.20804873855872114,0.00644157565853256,47.103563783089434,-1.0,2.3224598712,2.4249112196136275,0.79280780975812359,0.16494266473968017,1,1,initial campaign
20,minimum_induced_drag,4,2.4249112196136275,-0.041235666184920042,10.127528136742,0.20804873855872114,0.00644157565853256,47.103563783089434,-1.0,2.3224598712,2.4249112196136275,0.79280780975812359,0.16494266473968017,1,1,initial campaign
20,minimum_induced_drag,5,0,-0.1982019524395309,10.127528136742,0.20804873855872114,0.00644157565853256,47.103563783089434,-1.0,2.3224598712,2.4249112196136275,0.79280780975812359,0.16494266473968017,1,1,initial campaign
20,minimum_induced_drag,6,-2.4249112196136275,-0.041235666184920042,10.127528136742,0.20804873855872114,0.00644157565853256,47.103563783089434,-1.0,2.3224598712,2.4249112196136275,0.79280780975812359,0.16494266473968017,1,1,initial campaign
