alpha_deg,CL_W2GJ_on,CL_W2GJ_off,CL_Sivells_tabulated_linear_reference,delta_CL_on_minus_off,CL_on_independent_force_sum,CL_off_independent_force_sum,reference_slope_per_deg,reference_zero_lift_deg,Mach,dihedral_deg,washout_deg,nspan,nchord,half_reference_area_m2
-4,-0.2077395,-0.3453927,-0.22950000000000004,0.1376532,-0.20773948284374283,-0.34539268355943764,0.085,-1.3,0.17,3,0,110,50,1.1585009088000002
-2,-0.03510731,-0.1730126,-0.0595,0.13790528999999999,-0.035107312627500276,-0.17301258947949952,0.085,-1.3,0.17,3,0,110,50,1.1585009088000002
0,0.1379893,0.0,0.11050000000000001,0.1379893,0.1379893380688115,0.0,0.085,-1.3,0.17,3,0,110,50,1.1585009088000002
2,0.3109179,0.1730126,0.2805,0.13790530000000004,0.31091786848874065,0.17301258947949952,0.085,-1.3,0.17,3,0,110,50,1.1585009088000002
4,0.4830459,0.3453927,0.4505,0.13765319999999998,0.48304588673185445,0.34539268355943764,0.085,-1.3,0.17,3,0,110,50,1.1585009088000002
6,0.6537425,0.5165091,0.6205,0.13723339999999995,0.6537424870510478,0.5165090696209337,0.085,-1.3,0.17,3,0,110,50,1.1585009088000002
8,0.8223795,0.6857331,0.7905000000000001,0.13664640000000006,0.8223795401333635,0.6857331067007686,0.085,-1.3,0.17,3,0,110,50,1.1585009088000002
10,0.988333,0.85244,0.9605000000000001,0.13589300000000004,0.9883329523654749,0.8524399880412283,0.085,-1.3,0.17,3,0,110,50,1.1585009088000002
12,1.150984,1.01601,1.1305,0.13497399999999993,1.1509839727157487,1.0160100254111377,0.085,-1.3,0.17,3,0,110,50,1.1585009088000002
