shell_element_id,local_vertex,grid_id,x_m,y_m,z_m,receiving_for_visible_node,projection_for_rejected_visible_node
449488,3,225207,0.25114226341,0.98405921459,0.032232504338,0,0
449489,1,225211,0.2536509633,0.98752892017,0.032269373536,0,0
449489,2,225213,0.25364390015,0.99034583568,0.032239038497,0,0
449489,3,224997,0.25131955742,0.98919332027,0.032182976603,0,0
449490,1,225208,0.2512102127,0.98660624027,0.032207351177,0,0
449490,2,225211,0.2536509633,0.98752892017,0.032269373536,0,0
449490,3,224997,0.25131955742,0.98919332027,0.032182976603,0,0
449491,1,225197,0.25516879558,0.98019987344,0.032390873879,0,0
449491,2,225209,0.25326526165,0.98238074779,0.03231305629,0,0
449491,3,225190,0.25282526016,0.98018234968,0.032323565334,0,0
449492,1,225208,0.2512102127,0.98660624027,0.032207351177,0,0
449492,2,225210,0.25357329845,0.98488420248,0.032295368611,0,0
449492,3,225211,0.2536509633,0.98752892017,0.032269373536,0,0
449493,1,225215,0.25829520821,0.98368442058,0.032437872141,0,0
449493,2,225212,0.25574335455,0.98293155431,0.032377790659,0,0
449493,3,225218,0.25800794363,0.98097771406,0.032459694892,0,0
449494,1,225214,0.2559607625,0.98565173149,0.03235470876,0,0
449494,2,225210,0.25357329845,0.98488420248,0.032295368611,0,0
449494,3,225212,0.25574335455,0.98293155431,0.032377790659,0,0
449495,1,225209,0.25326526165,0.98238074779,0.03231305629,0,1
449495,2,225212,0.25574335455,0.98293155431,0.032377790659,0,1
449495,3,225210,0.25357329845,0.98488420248,0.032295368611,0,1
449496,1,225211,0.2536509633,0.98752892017,0.032269373536,0,0
449496,2,225210,0.25357329845,0.98488420248,0.032295368611,0,0
449496,3,225214,0.2559607625,0.98565173149,0.03235470876,0,0
449497,1,225213,0.25364390015,0.99034583568,0.032239038497,0,0
449497,2,225211,0.2536509633,0.98752892017,0.032269373536,0,0
449497,3,225216,0.25593036413,0.98862993717,0.032321874052,0,0
449498,1,225209,0.25326526165,0.98238074779,0.03231305629,0,0
449498,2,225197,0.25516879558,0.98019987344,0.032390873879,0,0
449498,3,225212,0.25574335455,0.98293155431,0.032377790659,0,0
449499,1,225214,0.2559607625,0.98565173149,0.03235470876,0,0
449499,2,225212,0.25574335455,0.98293155431,0.032377790659,0,0
449499,3,225215,0.25829520821,0.98368442058,0.032437872141,0,0
449500,1,225214,0.2559607625,0.98565173149,0.03235470876,0,0
449500,2,225216,0.25593036413,0.98862993717,0.032321874052,0,0
449500,3,225211,0.2536509633,0.98752892017,0.032269373536,0,0
449501,1,225197,0.25516879558,0.98019987344,0.032390873879,0,0
449501,2,225218,0.25800794363,0.98097771406,0.032459694892,0,0
449501,3,225212,0.25574335455,0.98293155431,0.032377790659,0,0
449502,1,225216,0.25593036413,0.98862993717,0.032321874052,0,1
449502,2,225214,0.2559607625,0.98565173149,0.03235470876,0,1
449502,3,225219,0.25819346308,0.98663932085,0.032403428107,0,1
449503,1,225216,0.25593036413,0.98862993717,0.032321874052,0,0
449503,2,225217,0.2559249103,0.99167197942,0.032289288938,0,0
449503,3,225213,0.25364390015,0.99034583568,0.032239038497,0,0
449504,1,225219,0.25819346308,0.98663932085,0.032403428107,1,0
449504,2,225215,0.25829520821,0.98368442058,0.032437872141,1,0
449504,3,225221,0.26056140661,0.9847599864,0.032481834292,1,0
449505,1,225220,0.25820493698,0.98981153964,0.032369680702,0,0
449505,2,225216,0.25593036413,0.98862993717,0.032321874052,0,0
449505,3,225219,0.25819346308,0.98663932085,0.032403428107,0,0
449506,1,225215,0.25829520821,0.98368442058,0.032437872141,0,0
449506,2,225219,0.25819346308,0.98663932085,0.032403428107,0,0
449506,3,225214,0.2559607625,0.98565173149,0.03235470876,0,0
449507,1,225217,0.2559249103,0.99167197942,0.032289288938,1,1
449507,2,225220,0.25820493698,0.98981153964,0.032369680702,1,1
449507,3,225231,0.2582347393,0.99295926094,0.03233647719,1,1
449508,1,225216,0.25593036413,0.98862993717,0.032321874052,0,0
449508,2,225220,0.25820493698,0.98981153964,0.032369680702,0,0
449508,3,225217,0.2559249103,0.99167197942,0.032289288938,0,0
449509,1,225218,0.25800794363,0.98097771406,0.032459694892,0,1
449509,2,225435,0.2608513236,0.98161405324,0.032522447407,0,1
449509,3,225215,0.25829520821,0.98368442058,0.032437872141,0,1
449510,1,225221,0.26056140661,0.9847599864,0.032481834292,1,0
449510,2,225215,0.25829520821,0.98368442058,0.032437872141,1,0
449510,3,225435,0.2608513236,0.98161405324,0.032522447407,1,0
449511,1,225220,0.25820493698,0.98981153964,0.032369680702,0,0
449511,2,225219,0.25819346308,0.98663932085,0.032403428107,0,0
449511,3,225222,0.26042607426,0.98791718482,0.032444458454,0,0
449512,1,225221,0.26056140661,0.9847599864,0.032481834292,0,1
449512,2,225222,0.26042607426,0.98791718482,0.032444458454,0,1
449512,3,225219,0.25819346308,0.98663932085,0.032403428107,0,1
449513,1,225438,0.26274016499,0.98606926202,0.032515335828,0,0
449513,2,225437,0.26281747221,0.98916208744,0.032482940703,0,0
449513,3,225222,0.26042607426,0.98791718482,0.032444458454,0,0
449517,1,225213,0.25364390015,0.99034583568,0.032239038497,0,0
449517,2,225226,0.25356632471,0.99331396818,0.032205011695,0,0
449517,3,225223,0.25124183297,0.99184018373,0.032152436673,0,0
449518,1,225227,0.25320094823,0.99665796756,0.032158538699,0,0
449518,2,225224,0.25078663229,0.99459505081,0.032109424471,0,0
449518,3,225226,0.25356632471,0.99331396818,0.032205011695,0,0
449520,1,225228,0.25449961423,0.99932909011,0.032167084515,0,0
449520,2,225225,0.25160560011,0.99976438283,0.032078500837,0,0
449520,3,225227,0.25320094823,0.99665796756,0.032158538699,0,0
449522,1,225226,0.25356632471,0.99331396818,0.032205011695,0,1
449522,2,225213,0.25364390015,0.99034583568,0.032239038497,0,1
449522,3,225217,0.2559249103,0.99167197942,0.032289288938,0,1
449523,1,225227,0.25320094823,0.99665796756,0.032158538699,0,0
449523,2,225226,0.25356632471,0.99331396818,0.032205011695,0,0
449523,3,225230,0.25588330626,0.99471348524,0.032255455851,0,0
449524,1,225217,0.2559249103,0.99167197942,0.032289288938,0,0
449524,2,225230,0.25588330626,0.99471348524,0.032255455851,0,0
449524,3,225226,0.25356632471,0.99331396818,0.032205011695,0,0
449525,1,225228,0.25449961423,0.99932909011,0.032167084515,0,0
449525,2,225227,0.25320094823,0.99665796756,0.032158538699,0,0
449525,3,225229,0.25611108541,0.99741005897,0.032232906669,0,0
449526,1,225230,0.25588330626,0.99471348524,0.032255455851,0,0
449526,2,225229,0.25611108541,0.99741005897,0.032232906669,0,0
449526,3,225227,0.25320094823,0.99665796756,0.032158538699,0,0
449527,1,225240,0.25355488061,1.0018399953,0.032113503664,0,1
449527,2,225228,0.25449961423,0.99932909011,0.032167084515,0,1
449527,3,225244,0.25572228431,1.0012755393,0.032180491834,0,1
449528,1,225233,0.25688686966,0.9997678399,0.032228063791,0,0
449528,2,225229,0.25611108541,0.99741005897,0.032232906669,0,0
449528,3,225232,0.25813549757,0.99816662073,0.032277714461,0,0
449529,1,225228,0.25449961423,0.99932909011,0.032167084515,0,0
449529,2,225233,0.25688686966,0.9997678399,0.032228063791,0,0
449529,3,225244,0.25572228431,1.0012755393,0.032180491834,0,0
449530,1,225229,0.25611108541,0.99741005897,0.032232906669,0,0
449530,2,225233,0.25688686966,0.9997678399,0.032228063791,0,0
449530,3,225228,0.25449961423,0.99932909011,0.032167084515,0,0
449531,1,225235,0.26045748591,0.99112308025,0.032410278916,0,1
449531,2,225231,0.2582347393,0.99295926094,0.03233647719,0,1
449531,3,225220,0.25820493698,0.98981153964,0.032369680702,0,1
449532,1,225230,0.25588330626,0.99471348524,0.032255455851,0,1
449532,2,225234,0.25824287533,0.99578815698,0.032306175678,0,1
449532,3,225229,0.25611108541,0.99741005897,0.032232906669,0,1
449533,1,225217,0.2559249103,0.99167197942,0.032289288938,0,0
449533,2,225231,0.2582347393,0.99295926094,0.03233647719,0,0
449533,3,225230,0.25588330626,0.99471348524,0.032255455851,0,0
449534,1,225232,0.25813549757,0.99816662073,0.032277714461,0,0
449534,2,225229,0.25611108541,0.99741005897,0.032232906669,0,0
449534,3,225234,0.25824287533,0.99578815698,0.032306175678,0,0
449535,1,225445,0.26064425706,0.99436312913,0.032379310578,0,0
449535,2,225231,0.2582347393,0.99295926094,0.03233647719,0,0
449535,3,225235,0.26045748591,0.99112308025,0.032410278916,0,0
449536,1,225231,0.2582347393,0.99295926094,0.03233647719,0,0
449536,2,225234,0.25824287533,0.99578815698,0.032306175678,0,0
449536,3,225230,0.25588330626,0.99471348524,0.032255455851,0,0
449537,1,225445,0.26064425706,0.99436312913,0.032379310578,0,0
449537,2,225234,0.25824287533,0.99578815698,0.032306175678,0,0
449537,3,225231,0.2582347393,0.99295926094,0.03233647719,0,0
449538,1,225236,0.26050084829,0.99741798639,0.032342966645,1,0
449538,2,225250,0.25931704044,1.0000734329,0.032286603003,1,0
449538,3,225232,0.25813549757,0.99816662073,0.032277714461,1,0
449539,1,225448,0.26231864094,0.99985337257,0.032356314361,0,0
449539,2,225236,0.26050084829,0.99741798639,0.032342966645,0,0
449539,3,225447,0.26324245333,0.99604558944,0.032415412366,0,0
449540,1,225233,0.25688686966,0.9997678399,0.032228063791,0,0
449540,2,225232,0.25813549757,0.99816662073,0.032277714461,0,0
449540,3,225250,0.25931704044,1.0000734329,0.032286603003,0,0
449541,1,225234,0.25824287533,0.99578815698,0.032306175678,1,0
449541,2,225236,0.26050084829,0.99741798639,0.032342966645,1,0
449541,3,225232,0.25813549757,0.99816662073,0.032277714461,1,0
449545,1,225228,0.25449961423,0.99932909011,0.032167084515,0,0
449545,2,225240,0.25355488061,1.0018399953,0.032113503664,0,0
449545,3,225225,0.25160560011,0.99976438283,0.032078500837,0,0
449547,1,225240,0.25355488061,1.0018399953,0.032113503664,0,0
449547,2,225241,0.25350582599,1.0044451951,0.032084207981,0,0
449547,3,225237,0.25054880976,1.0031368732,0.032011207193,0,0
449548,1,225241,0.25350582599,1.0044451951,0.032084207981,0,0
449548,2,225242,0.253323704,1.0071716308,0.032049734145,0,0
449548,3,225238,0.25126516819,1.0057179927,0.032004941254,0,0
449549,1,225242,0.253323704,1.0071716308,0.032049734145,0,0
449549,2,225243,0.25260701775,1.0098365545,0.032000467181,0,0
449549,3,225017,0.25034132599,1.008198142,0.031951025128,0,0
449552,1,225244,0.25572228431,1.0012755393,0.032180491834,0,0
449552,2,225245,0.25579872727,1.0034773349,0.032158993184,0,0
449552,3,225240,0.25355488061,1.0018399953,0.032113503664,0,0
449553,1,225241,0.25350582599,1.0044451951,0.032084207981,0,0
449553,2,225240,0.25355488061,1.0018399953,0.032113503664,0,0
449553,3,225245,0.25579872727,1.0034773349,0.032158993184,0,0
449554,1,225242,0.253323704,1.0071716308,0.032049734145,0,0
449554,2,225241,0.25350582599,1.0044451951,0.032084207981,0,0
449554,3,225246,0.25600761175,1.0060528516,0.032137170433,0,0
449555,1,225245,0.25579872727,1.0034773349,0.032158993184,0,0
449555,2,225246,0.25600761175,1.0060528516,0.032137170433,0,0
449555,3,225241,0.25350582599,1.0044451951,0.032084207981,0,0
449556,1,225242,0.253323704,1.0071716308,0.032049734145,0,0
449556,2,225247,0.2558722794,1.0086154937,0.03210588172,0,0
449556,3,225243,0.25260701775,1.0098365545,0.032000467181,0,0
449557,1,225258,0.25539654493,1.0113070011,0.032063763588,1,0
449557,2,225243,0.25260701775,1.0098365545,0.032000467181,1,0
449557,3,225247,0.2558722794,1.0086154937,0.03210588172,1,0
449558,1,225246,0.25600761175,1.0060528516,0.032137170433,0,0
449558,2,225247,0.2558722794,1.0086154937,0.03210588172,0,0
449558,3,225242,0.253323704,1.0071716308,0.032049734145,0,0
449559,1,225245,0.25579872727,1.0034773349,0.032158993184,0,0
449559,2,225244,0.25572228431,1.0012755393,0.032180491834,0,0
449559,3,225248,0.25766584277,1.0019999742,0.032224237918,0,0
449560,1,225233,0.25688686966,0.9997678399,0.032228063791,0,0
449560,2,225248,0.25766584277,1.0019999742,0.032224237918,0,0
449560,3,225244,0.25572228431,1.0012755393,0.032180491834,0,0
449561,1,225248,0.25766584277,1.0019999742,0.032224237918,0,0
449561,2,225249,0.2580525875,1.0045365095,0.032206986099,0,0
449561,3,225245,0.25579872727,1.0034773349,0.032158993184,0,0
449562,1,225245,0.25579872727,1.0034773349,0.032158993184,0,0
449562,2,225249,0.2580525875,1.0045365095,0.032206986099,0,0
449562,3,225246,0.25600761175,1.0060528516,0.032137170433,0,0
449563,1,225247,0.2558722794,1.0086154937,0.03210588172,0,0
449563,2,225246,0.25600761175,1.0060528516,0.032137170433,0,0
449563,3,225251,0.25914826989,1.0072028636,0.032205481082,0,0
449564,1,225249,0.2580525875,1.0045365095,0.032206986099,0,1
449564,2,225251,0.25914826989,1.0072028636,0.032205481082,0,1
449564,3,225246,0.25600761175,1.0060528516,0.032137170433,0,1
449565,1,225251,0.25914826989,1.0072028636,0.032205481082,0,0
449565,2,225252,0.25875258445,1.0099967718,0.032166093587,0,0
449565,3,225247,0.2558722794,1.0086154937,0.03210588172,0,0
449566,1,225254,0.26042586565,1.0047448873,0.032261606305,1,0
449566,2,225249,0.2580525875,1.0045365095,0.032206986099,1,0
449566,3,225253,0.26008811593,1.0023524761,0.032280262559,1,0
449567,1,225233,0.25688686966,0.9997678399,0.032228063791,0,0
449567,2,225250,0.25931704044,1.0000734329,0.032286603003,0,0
449567,3,225248,0.25766584277,1.0019999742,0.032224237918,0,0
449568,1,225251,0.25914826989,1.0072028636,0.032205481082,0,1
449568,2,225249,0.2580525875,1.0045365095,0.032206986099,0,1
449568,3,225254,0.26042586565,1.0047448873,0.032261606305,0,1
449569,1,225457,0.26262462139,1.003304243,0.03232429549,0,0
449569,2,225253,0.26008811593,1.0023524761,0.032280262559,0,0
449569,3,225448,0.26231864094,0.99985337257,0.032356314361,0,0
449570,1,225250,0.25931704044,1.0000734329,0.032286603003,1,1
449570,2,225253,0.26008811593,1.0023524761,0.032280262559,1,1
449570,3,225248,0.25766584277,1.0019999742,0.032224237918,1,1
449571,1,225248,0.25766584277,1.0019999742,0.032224237918,0,0
449571,2,225253,0.26008811593,1.0023524761,0.032280262559,0,0
449571,3,225249,0.2580525875,1.0045365095,0.032206986099,0,0
449572,1,225251,0.25914826989,1.0072028636,0.032205481082,0,0
449572,2,225459,0.26194891333,1.0090498924,0.032247897237,0,0
449572,3,225252,0.25875258445,1.0099967718,0.032166093587,0,0
449573,1,225264,0.26152908802,1.0116873979,0.032210469245,0,1
449573,2,225252,0.25875258445,1.0099967718,0.032166093587,0,1
449573,3,225459,0.26194891333,1.0090498924,0.032247897237,0,1
449579,1,225257,0.25283691287,1.0187634229,0.031911823898,0,0
