grid_id,category,mpc_connected,observed_move_m,original_x_m,original_y_m,original_z_m,final_x_m,final_y_m,final_z_m,projection_x_m,projection_y_m,projection_z_m,projection_distance_m,selected_shell_element_id,N1,N2,N3,full_lattice_degree
500044,beyond_snap_tolerance,0,0.0,0.254499793,1.020522118,0.01940434799,0.254499793,1.020522118,0.01940434799,0.2541491544155442,1.0206549572856853,0.03192849987281281,0.01252976352835496,449586,0.46219300743631003,0.11744085229446186,0.4203661402692281,4
500065,beyond_snap_tolerance,0,0.0,0.2545527518,1.011042118,0.009702272713,0.2545527518,1.011042118,0.009702272713,0.25391800807700304,1.0112854994804046,0.03202195030971193,0.022330027813687387,449581,0.243677734013181,0.5264096341515325,0.22991263183528649,4
500066,snapped_to_shell_projection,1,0.0029348750369717707,0.2545527518,1.011042118,0.02910641953,0.2544693263,1.011074106,0.03203993422,0.25446932631025554,1.0110741060582695,0.032039934217867355,0.002934875035183689,449581,0.2357159691370554,0.6866624722194998,0.07762155864344476,4
500103,beyond_snap_tolerance,0,0.0,0.2546137571,1.00159061,0.01940434799,0.2546137571,1.00159061,0.01940434799,0.254255997422838,1.0017276523433403,0.03213441691029263,0.012735832415114124,449527,0.6940146826156892,-0.03101662861787408,0.33700194600218497,4
500137,beyond_snap_tolerance,0,0.0,0.2546747923,0.9921443462,0.009702272713,0.2546747923,0.9921443462,0.009702272713,0.2540380845433594,0.9923859445011249,0.032228299516415176,0.02253631846719095,449522,0.6009942705109474,0.20575503819696672,0.19325069129208586,4
500138,beyond_snap_tolerance,0,0.0,0.2546747923,0.9921443462,0.02910641953,0.2546747923,0.9921443462,0.02910641953,0.254586050208311,0.9921780193229779,0.03224601805872767,0.0031410329446915027,449522,0.4262637537929296,0.14619862364650582,0.4275376225605646,4
500181,beyond_snap_tolerance,0,0.0,0.2547438145,0.9827253222,0.01940434799,0.2547438145,0.9827253222,0.01940434799,0.25437552586378664,0.9828620295680623,0.03233958097095951,0.012941196918977355,449495,0.4676338245275201,0.43606054270478106,0.09630563276769886,4
500469,snapped_to_shell_projection,1,0.0014680077201140943,0.2552811503,1.010879517,0.03059636988,0.2552396209,1.010895138,0.03206370691,0.2552396209373342,1.0108951381888547,0.032063706910438264,0.0014680077215055906,449557,0.8128005079589757,0.07533278192153081,0.1118667101194934,2
500542,rejected_snap_beam_length,0,0.0,0.2554551959,0.9919716716,0.03070127778,0.2554551959,0.9919716716,0.03070127778,0.25541081677240574,0.9919885112281032,0.032271362967864585,0.0015708025264788842,449522,0.2042383171919484,0.014195454474173067,0.7815662283338786,2
500810,within_mpc_tolerance,1,0.0,0.2560095787,1.010717034,0.03208632022,0.2560095787,1.010717034,0.03208632022,0.25600957871678,1.0107170339929397,0.032086319579277905,6.40980668087485e-10,449587,0.13992988189298594,0.16283012024258525,0.6972399978644288,1
