Case,RecordedRootLLTAeroMoment_Nm,MaxAbsTrimTwist_deg,MaxAbsTrimVerticalDisplacement_m,MaxTrimSkinVM_MPa,MaxTrimCbeamNormalStress_MPa,Mode1Frequency_Hz
4,2624.5285384372,0.0569091917468957,0.00579897439093787,30.940487990325,13.507793867937,28.54969
37,2491.54340174005,0.0600341790069718,0.0089555437516888,39.4999959779275,71.4998582034653,31.34843
64,2634.16466292847,0.071522210329633,0.0124121947229321,40.8955260734999,65.4188872202663,26.62973
99,3176.12448844009,0.128951880620048,0.0369933441663067,71.9623432557925,59.7450561179848,15.21548
