Case,AR,TaperRatio,CellSize_m,RootRatio,TipRootRatio,FullWingArea_m2,Semispan_m,RootChord_m,TipChord_m,NominalRootDiameter_mm,NominalTipDiameter_mm,AreaCentroid_m,WingMassTotal_kg,Ctrim_Nm,CDitrim,SkinMassTwoWing_kg,LatticeMassTwoWing_kg,SkinMassFraction_pct,ScreenSkinVM_MPa,ScreenBeamNormal_MPa,GoverningComponent,ScreenUtilization,ScreenReserve_pct,ScreenStressMargin_MPa,Feasible,Origin,FlutterBasis,Pareto,MeshControls,MaxAbsTrimTwist_deg,MaxAbsTrimVerticalDisplacement_m,MaxTrimSkinVM_MPa,MaxTrimCbeamNormalStress_MPa,Mode1Frequency_Hz,HalfWingLLTLift_N,RootLLTAeroMoment_Nm,LiftCentroid_m,LiftCentroidOverSemispan,MaxAbsTrimVerticalDisplacementOverSemispan
4,6.0,0.2,0.0227337878346443,0.4,0.5,2.3224598712,1.8664645206378825,1.0369247336877123,0.20738494673754249,9.09351513385772,4.54675756692886,0.7258473135813988,105.38593585849608,9.3272810223876,0.013097431856977027,32.8369866017944,72.5489492567016,31.158793945603275,71.86768,30.82933,skin,0.3266712727272727,67.33287272727273,148.13232,True,corner,accepted_campaign_strict_screen,True,baseline,0.0569091917468957,0.00579897439093787,30.940487990325,13.507793867937,28.54969,3458.545711974189,2624.5285384372023,0.758853216642634,0.40657253767850277,0.0031069298809687598
37,6.6867697591199855,0.2000609402952201,0.0227337878346443,0.050016507764657894,0.1500014908700283,2.3224598712,1.9703904710431037,0.9821834675636123,0.19649654806319608,1.1370646757515719,0.17056139657838107,0.7662907549610717,35.62301011663232,14.658171321975804,0.009408487020013451,32.7268257211984,2.89618439543396,91.86990547415381,99.78529,193.8781,lattice,0.8812640909090909,11.873590909090915,26.12190000000001,True,adaptive,accepted_campaign_strict_screen,True,baseline,0.0600341790069718,0.0089555437516888,39.4999959779275,71.4998582034653,31.34843,3116.4913753365013,2491.54340174005,0.7994706551918588,0.4057422459867193,0.0045450604249764924
64,7.4866938414473925,0.200010195282354,0.0227337878346443,0.06067474807034154,0.1500250203032064,2.3224598712,2.08491882424243,0.9282696095826273,0.18566338588729578,1.3793668495516382,0.20693953960955438,0.8108066853895338,36.435541864251284,19.582807292172536,0.008382788694924672,32.6245221826474,3.81101968160384,89.54037874391263,108.6436,172.2743,lattice,0.783065,21.6935,47.72569999999999,True,adaptive,accepted_campaign_strict_screen,True,baseline,0.071522210329633,0.0124121947229321,40.8955260734999,65.4188872202663,26.62973,3120.471833085998,2634.1646629284733,0.8441558853371895,0.4048866917607306,0.005953322776219913
99,10.872100508239818,0.20006706595792395,0.0227337878346443,0.10420093658526437,0.2527922991074786,2.3224598712,2.512469758327456,0.7702680043632211,0.154105259634215,2.3688819845006255,0.5988351231761996,0.9771105754084501,40.54501051830333,57.59844160185831,0.006018267636853877,32.3602293728362,8.18478114546704,79.81309897114916,210.4243,174.6915,skin,0.9564740909090909,4.352590909090914,9.575700000000012,True,adaptive,accepted_campaign_strict_screen,True,refined,0.128951880620048,0.0369933441663067,71.9623432557925,59.7450561179848,15.21548,3140.606858951187,3176.1244884400858,1.0113091612812564,0.40251595384554284,0.014723896295147079
