Case,AR,TaperRatio,FullWingArea_m2,CellSize_m,RootRatio,TipRootRatio,SkinThickness_m,RecordedSemispan_m,RecordedRootChord_m,SkinMassHalf_kg,LatticeMassHalf_kg,WingMassTotal_kg,TrimStrainEnergyHalf_Nm,CDitrim,Ctrim_Nm,ScreenSkinVM_MPa,ScreenBeamNormal_MPa,StressLimit_MPa,C_signed_recorded,Feasible,Pareto,Origin,SelectionSource,FlutterBasis
45,6.52218344478104,0.2084714953336133,2.3224598712,0.0227337878346443,0.102328569591045,0.5,0.0025,1.945990064408664,0.9875775053152256,16.370178459063784,6.01174837030259,44.76385365873275,3.2558923435285037,0.009958791733476639,13.023569374114015,80.79339,99.03386,220,-1.0,True,True,Adaptive continuation,primary,strict_continuation
47,8.304944481348388,0.20395937972383518,2.3224598712,0.0227337878346443,0.102328569591045,0.5,0.0025,2.195899604403371,0.878463868890038,16.268309093172654,5.3103407759091645,43.15729973816364,6.364029839242081,0.007757728825140677,25.456119356968323,127.9733,126.1914,220,-1.0,True,True,Adaptive continuation,primary,strict_continuation
20,10.127528136742,0.20804873855872114,2.3224598712,0.0227337878346443,0.102328569591045,0.5,0.0025,2.4249112196136275,0.7928078097581236,16.19822292916357,4.774395411909792,41.94523668214673,11.775890945772359,0.00644157565853256,47.103563783089434,192.3471,177.9528,220,-1.0,True,True,Bayesian optimization,epsilon-endpoint challenger,earlier_campaign_label_strict_grid_unverified
