Family,Case,AR,TaperRatio,CellSize_m,RootRatio,TipRootRatio,FullWingArea_m2,Semispan_m,RootChord_m,TipChord_m,NominalRootDiameter_mm,NominalTipDiameter_mm,AreaCentroid_m,WingMassTotal_kg,Ctrim_Nm,SkinMassTwoWing_kg,LatticeMassTwoWing_kg,SkinMassFraction_pct,ScreenSkinVM_MPa,ScreenBeamNormal_MPa,GoverningComponent,ScreenUtilization,ScreenReserve_pct,ScreenStressMargin_MPa,Feasible,Origin,FlutterBasis,C_signed_recorded,FamilyPareto,PooledPareto,SelectionSource
FCC,26,9.000450022501125,0.4,0.01,0.4,0.5,2.3224598712,2.286,0.725678,0.2902712,4.0,2.0,0.9797142857142859,83.14358410092515,43.55329566091167,32.35155215590002,50.79203194502513,38.91046134916385,198.1349,132.5893,skin,0.9006131818181817,9.938681818181827,21.865100000000012,1,inherited_001_051,harmonized_18_point_rerun,-1.0,1,1,Not found in available files.
FCC,40,9.000450022501125,0.4,0.022733787834644317,0.10232856959104539,0.5,2.3224598712,2.286,0.725678,0.2902712,2.3263159905054622,1.1631579952527311,0.9797142857142859,40.93792891554628,49.74827060835925,32.35155215590002,8.586376759646255,79.02586430945323,218.2662,216.9856,skin,0.9921190909090909,0.7880909090909105,1.7338000000000022,1,inherited_001_051,harmonized_18_point_rerun,-1.0,1,1,Not found in available files.
FCC,61,9.000450022501125,0.4,0.01022999196656391,0.38190066809309264,0.5,2.3224598712,2.286,0.725678,0.2902712,3.9068407666177274,1.9534203833088637,0.9797142857142859,80.91764982465605,43.7806238640196,32.35155215590002,48.56609766875602,39.9808351157059,198.0552,131.3967,skin,0.9002509090909091,9.97490909090909,21.944799999999987,1,continuation_052_071,harmonized_18_point_rerun,-1.0,1,1,primary
FCC,70,9.000450022501125,0.4,0.015443574890096233,0.093826622786741,0.5,2.3224598712,2.286,0.725678,0.2902712,1.4490184756918445,0.7245092378459222,0.9797142857142859,39.973074817524164,49.84906427017138,32.35155215590002,7.621522661624144,80.93335902625417,215.4348,208.6087,skin,0.9792490909090908,2.0750909090909153,4.565200000000004,1,continuation_052_071,harmonized_18_point_rerun,-1.0,1,1,challenger
BCC,17,9.000450022501125,0.4,0.01,0.12232000783085824,0.5,2.3224598712,2.286,0.725678,0.2902712,1.2232000783085824,0.6116000391542912,0.9797142857142859,41.884856517298466,50.23086577071996,32.35155215590002,9.533304361398445,77.23925744508355,217.3177,170.1599,skin,0.9878077272727273,1.2192272727272746,2.682299999999998,1,inherited_001_051,harmonized_18_point_rerun,-1.0,1,0,Not found in available files.
BCC,58,9.000450022501125,0.4,0.021385774939881884,0.3298705696337293,0.5,2.3224598712,2.286,0.725678,0.2902712,7.05453776147757,3.527268880738785,0.9797142857142859,66.85486053790196,48.5071039699029,32.35155215590002,34.50330838200193,48.39072566393133,212.8132,94.83742,skin,0.9673327272727272,3.2667272727272767,7.186800000000005,1,continuation_052_071,18_point_continuation_screen,-1.0,1,0,primary
SC,53,9.000450022501125,0.4,0.019530778130431324,0.3046212460520837,0.5,2.3224598712,2.286,0.725678,0.2902712,5.949489970458775,2.9747449852293877,0.9797142857142859,46.924365269563346,49.376863154211314,32.35155215590002,14.572813113663324,68.94403785762933,208.8306,167.0892,skin,0.94923,5.076999999999998,11.169399999999996,1,continuation_052_071,18_point_continuation_screen,-1.0,1,0,challenger
SC,70,9.000450022501125,0.4,0.010393573031551811,0.38467406823037453,0.5,2.3224598712,2.286,0.725678,0.2902712,3.9981380214965423,1.9990690107482711,0.9797142857142859,51.506454369279595,46.368237802788364,32.35155215590002,19.154902213379568,62.810675966846816,195.8853,148.913,skin,0.8903877272727273,10.96122727272727,24.1147,1,continuation_052_071,18_point_continuation_screen,-1.0,1,1,challenger
