Case,SkinMassHalf_kg,LatticeMassHalf_kg,TrimStrainEnergyHalf_Nm,DeckTotalMassHalf_kg,DeckCbeamMassHalf_kg
4,16.4184933008972,36.2744746283508,2.3318202555969,64.6152261428289,48.1967328419317
37,16.3634128605992,1.44809219771698,3.66454283049395,17.9027849057179,1.53937204511885
64,16.3122610913237,1.90550984080192,4.89570182304313,18.3647473437709,2.05248625244731
99,16.1801146864181,4.09239057273352,14.3996104004646,20.756944734947,4.57683004852909
