case_id,a_m,t1_over_a,mass_kg,compliance_Nm,constraint,max_stress_MPa,stress_limit_MPa,stress_ok,max_flutter_damping,flutter_ok,trim_ok,simulation_ok,feasible,pareto_case071,feasibility_result,selection_source,fallback_used,selected_acquisition,primary_acquisition,challenger_acquisition,flutter_screen
52,0.0168006814143651,0.29016119453189,62.7954343479483,48.9948317277969,-1,204.146,220,1,-1.0381292e-06,1,1,1,1,0,pass,primary,0,0.101280793548906,0.101280793548906,0.0992060892954922,revised_strict_any_positive_damping
53,0.0298944146330924,0.216234272752549,53.4297448479172,49.4573626709694,1,224.3425,220,0,-6.3865064e-07,1,1,1,0,0,fail_stress,challenger,0,0.103432346030068,0.0965015147113618,0.103432346030068,revised_strict_any_positive_damping
54,0.0195227527343856,0.345804453136632,68.6985689959999,48.5175818071967,1,224.6625,220,0,-4.7934414e-07,1,1,1,0,0,fail_stress,challenger,0,0.0781599057577668,0.0766951171762033,0.0781599057577668,revised_strict_any_positive_damping
55,0.0229986971560317,0.294936059077526,62.8418300770157,48.7695597846373,-1,214.5859,220,1,-1.230815e-06,1,1,1,1,1,pass,primary,0,0.0810888211954679,0.0810888211954679,0.072627262428222,revised_strict_any_positive_damping
56,0.0225953820998209,0.324987181338706,66.2262183247861,48.5905640127118,-1,219.939,220,1,-1.3804037e-06,1,1,1,1,0,pass,primary,0,0.0673818837949716,0.0673818837949716,0.0593935790949488,revised_strict_any_positive_damping
57,0.011171057382354,0.279885693057488,61.5747483545825,49.0287477592492,1,226.7186,220,0,-1.3667507e-06,1,1,1,0,0,fail_stress,primary,0,0.0995472609435682,0.0995472609435682,0.09402977931687,revised_strict_any_positive_damping
58,0.0213857749398819,0.329870569633729,66.854860537902,48.5071039699029,-1,212.8132,220,1,-1.2755878e-06,1,1,1,1,1,pass,primary,0,0.034083003186547,0.034083003186547,0.0259077721679086,revised_strict_any_positive_damping
59,0.015886655368859,0.190810008021898,50.405259180194,49.5198711552005,-1,195.0539,220,1,-3.9352944e-07,1,1,1,1,1,pass,challenger,0,0.0352321587749615,0.0335111437485354,0.0352321587749615,revised_strict_any_positive_damping
60,0.0140036660564601,0.136487358880234,43.5961541930007,50.0292904945481,1,220.9175,220,0,-5.7961288e-07,1,1,1,0,0,fail_stress,primary,0,0.0210737818132181,0.0210737818132181,0.0202075067610098,revised_strict_any_positive_damping
61,0.0237360245313795,0.255046759976275,58.1871957613824,48.9796952467414,1,222.8187,220,0,-1.1465832e-06,1,1,1,0,0,fail_stress,challenger,0,0.0189327303902988,0.0187686776039167,0.0189327303902988,revised_strict_any_positive_damping
62,0.0109819384876402,0.132404347024418,43.0960326420055,50.1069234264487,-1,218.0961,220,1,-4.9774187e-07,1,1,1,1,1,pass,primary,0,0.0177547915681849,0.0177547915681849,0.0151202520893938,revised_strict_any_positive_damping
63,0.0216864206202996,0.307567099162573,64.3762542668052,48.5835564763988,-1,218.839,220,1,-1.2905038e-06,1,1,1,1,1,pass,primary,0,0.019553064417991,0.019553064417991,0.0159678171181325,revised_strict_any_positive_damping
64,0.0208978099675173,0.322950975718455,66.1812236007926,48.4574165968437,1,238.4347,220,0,-1.2378866e-06,1,1,1,0,0,fail_stress,challenger,0,0.014313452522271,0.0136467494941962,0.014313452522271,revised_strict_any_positive_damping
65,0.01,0.4,75.0334513084686,48.8284525174043,-1,202.7849,220,1,-1.6178669e-06,1,1,1,1,0,pass,primary,0,0.0115097845070578,0.0115097845070578,0.0100713060129582,revised_strict_any_positive_damping
66,0.0161381406184774,0.198501883071491,51.2887547457874,49.4616919730876,-1,211.7474,220,1,-6.0285739e-07,1,1,1,1,1,pass,primary,0,0.010389205567714,0.010389205567714,0.0093736885474686,revised_strict_any_positive_damping
67,0.0105175627148075,0.33126047024823,67.6107753415626,48.834110896102,1,226.1121,220,0,-1.500631e-06,1,1,1,0,0,fail_stress,challenger,0,0.0177033354102067,0.0135873500312785,0.0177033354102067,revised_strict_any_positive_damping
68,0.0158839730787204,0.142445791366047,44.2769456319058,49.9249455531383,-1,215.2725,220,1,-4.1714662e-07,1,1,1,1,1,pass,primary,0,0.00967773343609614,0.00967773343609614,0.00679497872442024,revised_strict_any_positive_damping
69,0.0177373114189495,0.170210694067584,47.7453303763166,49.7220211513281,1,223.3495,220,0,-5.1759692e-07,1,1,1,0,0,fail_stress,challenger,0,0.0110173538091303,0.0108510508521521,0.0110173538091303,revised_strict_any_positive_damping
70,0.0238609434971263,0.267412383417887,59.6146481324048,48.9509155029405,-1,215.0793,220,1,-1.2000104e-06,1,1,1,1,1,pass,primary,0,0.00760298503326251,0.00760298503326251,0.0044973587702997,revised_strict_any_positive_damping
71,0.0211887646304929,0.335741898951087,67.6082580031185,48.5370217456197,-1,208.4091,220,1,-1.2786842e-06,1,1,1,1,0,pass,challenger,0,0.0185318243531015,0.0130565852829737,0.0185318243531015,revised_strict_any_positive_damping
