case_id,phase,feasible,final_pareto,failure_mechanism,shell_vm_utilization,cbeam_normal_utilization
1,initial_design,true,true,feasible,0.3732033636363637,0.9114336363636364
2,initial_design,true,true,feasible,0.3758730454545455,0.6969213636363636
3,initial_design,true,false,feasible,0.3308731818181818,0.1625131818181818
4,initial_design,true,true,feasible,0.3266712727272727,0.14013331818181818
5,initial_design,false,false,cbeam_normal_only,0.9053359090909091,1.6548463636363635
6,initial_design,false,false,cbeam_normal_only,0.9092195454545454,1.661258181818182
7,initial_design,true,false,feasible,0.9057209090909091,0.3731776363636364
8,initial_design,true,false,feasible,0.8922300000000001,0.36807354545454546
9,initial_design,false,false,shell_and_cbeam,1.1339863636363636,2.076046363636364
10,initial_design,false,false,shell_and_cbeam,1.1354959090909091,2.0864231818181818
11,initial_design,false,false,shell_von_mises_only,1.2387813636363636,0.5044122727272727
12,initial_design,false,false,shell_von_mises_only,1.2267777272727272,0.5001863636363636
13,initial_design,false,false,shell_and_cbeam,3.039111363636364,6.162013636363636
14,initial_design,false,false,shell_and_cbeam,3.0444618181818184,6.177404545454546
15,initial_design,false,false,shell_von_mises_only,3.456077272727273,0.8822113636363637
16,initial_design,false,false,shell_von_mises_only,3.422095,0.8707522727272726
17,initial_design,true,false,feasible,0.827235909090909,0.5435563636363636
18,initial_design,true,false,feasible,0.8145768181818182,0.3423495909090909
19,initial_design,false,false,shell_and_cbeam,2.161878636363636,1.801995909090909
20,initial_design,true,false,feasible,0.6429063636363637,0.2679123636363636
21,initial_design,false,false,shell_von_mises_only,1.3908595454545456,0.5546977272727273
22,initial_design,false,false,shell_von_mises_only,1.32911,0.4058746363636364
23,initial_design,false,false,shell_and_cbeam,2.0799536363636366,2.639571818181818
24,initial_design,true,false,feasible,0.5960099999999999,0.328731
25,initial_design,false,false,shell_von_mises_only,1.4704231818181819,0.6336113636363636
26,initial_design,false,false,shell_von_mises_only,2.7165136363636364,0.47648999999999997
27,initial_design,false,false,cbeam_normal_only,0.5659690909090909,1.063134090909091
28,initial_design,false,false,shell_von_mises_only,1.3828109090909089,0.7540818181818182
29,initial_design,false,false,shell_von_mises_only,1.0131768181818182,0.557555
30,initial_design,false,false,shell_von_mises_only,1.3313086363636364,0.5351704545454545
31,adaptive_phase,true,true,feasible,0.42599654545454546,0.35466081818181816
32,adaptive_phase,false,false,cbeam_normal_only,0.6913609090909091,1.0156554545454546
33,adaptive_phase,true,true,feasible,0.7260636363636364,0.5567331818181819
34,adaptive_phase,true,false,feasible,0.570285,0.3789918181818182
35,adaptive_phase,true,false,feasible,0.9110754545454546,0.23114922727272727
36,adaptive_phase,true,true,feasible,0.35935395454545455,0.4413605909090909
37,adaptive_phase,true,true,feasible,0.4535695,0.8812640909090909
38,adaptive_phase,false,false,cbeam_normal_only,0.5745572727272727,1.0225981818181817
39,adaptive_phase,true,false,feasible,0.4143120454545455,0.22815195454545453
40,adaptive_phase,false,false,cbeam_normal_only,0.4482355454545454,1.1980109090909092
41,adaptive_phase,true,true,feasible,0.4786331818181818,0.3782856363636364
42,adaptive_phase,true,false,feasible,0.4475755,0.2787184545454546
43,adaptive_phase,true,false,feasible,0.3589468181818182,0.18170722727272726
44,adaptive_phase,true,true,feasible,0.33737372727272724,0.27139931818181817
45,adaptive_phase,true,true,feasible,0.8066286363636364,0.4840590909090909
46,adaptive_phase,true,true,feasible,0.590205,0.6438100000000001
47,adaptive_phase,true,true,feasible,0.6224118181818181,0.7106372727272727
48,adaptive_phase,true,true,feasible,0.8979981818181818,0.7924309090909091
49,adaptive_phase,false,false,cbeam_normal_only,0.8090504545454545,1.3213854545454544
50,adaptive_phase,true,false,feasible,0.4962190909090909,0.21564954545454545
51,adaptive_phase,true,false,feasible,0.42590031818181817,0.23262268181818183
52,adaptive_phase,true,true,feasible,0.42528704545454543,0.5829240909090909
53,adaptive_phase,true,true,feasible,0.9732809090909091,0.5308554545454546
54,adaptive_phase,true,true,feasible,0.8274931818181818,0.6749945454545454
55,adaptive_phase,true,true,feasible,0.3569898181818182,0.21282213636363637
56,adaptive_phase,true,true,feasible,0.553395,0.8477609090909091
57,adaptive_phase,true,true,feasible,0.6119013636363636,0.9583795454545455
58,adaptive_phase,true,false,feasible,0.3834345,0.1996419090909091
59,adaptive_phase,true,false,feasible,0.6123554545454545,0.2583166818181818
60,adaptive_phase,true,false,feasible,0.6303704545454546,0.18559536363636361
61,adaptive_phase,true,true,feasible,0.4202441363636364,0.7689218181818182
62,adaptive_phase,true,true,feasible,0.4016604090909091,0.1779745909090909
63,adaptive_phase,false,false,cbeam_normal_only,0.8414745454545455,1.0999986363636363
64,adaptive_phase,true,true,feasible,0.49383454545454547,0.783065
65,adaptive_phase,true,true,feasible,0.9990845454545454,0.9266522727272727
66,adaptive_phase,true,false,feasible,0.8473386363636364,0.5981068181818181
67,adaptive_phase,false,false,cbeam_normal_only,0.7347954545454546,1.2188700000000001
68,adaptive_phase,true,false,feasible,0.9897122727272728,0.4760768181818182
69,adaptive_phase,true,false,feasible,0.6709395454545454,0.31024945454545455
70,adaptive_phase,false,false,shell_von_mises_only,1.0372131818181818,0.8033413636363635
71,adaptive_phase,true,false,feasible,0.5221463636363637,0.23990231818181817
72,adaptive_phase,true,true,feasible,0.6625777272727272,0.6592322727272728
73,adaptive_phase,false,false,shell_and_cbeam,1.0713054545454546,1.1455704545454546
74,adaptive_phase,true,true,feasible,0.3732421818181818,0.16131859090909093
75,adaptive_phase,true,false,feasible,0.7360218181818182,0.19398513636363637
76,adaptive_phase,true,false,feasible,0.4280757727272727,0.24191440909090908
77,adaptive_phase,true,false,feasible,0.3966009545454546,0.20207536363636364
