input_variable,input_physical,positive_hvi_fraction,mean_normalized_hvi,median_normalized_hvi,p90_normalized_hvi,p99_normalized_hvi,sampled_profile_maximum_normalized_hvi,selected_input_physical,selected_hvi_normalized,nuisance_sample_count,evaluated_count,selected_case
primary_member_ratio,0.05,0.02001953125,0.0022664264771535417,0.0,0.0,0.07761431949769126,0.564861492480715,0.07159346284481066,0.3562248555302681,2048,99,100
primary_member_ratio,0.05291666666666667,0.0205078125,0.002219214686348891,0.0,0.0,0.06811955057563,0.5492132739808985,0.07159346284481066,0.3562248555302681,2048,99,100
primary_member_ratio,0.05583333333333334,0.01904296875,0.0021479882139072443,0.0,0.0,0.06129422405967621,0.5309442957173283,0.07159346284481066,0.3562248555302681,2048,99,100
primary_member_ratio,0.058750000000000004,0.01806640625,0.0020867427254191713,0.0,0.0,0.048714821353610605,0.5100301475903094,0.07159346284481066,0.3562248555302681,2048,99,100
primary_member_ratio,0.06166666666666667,0.01904296875,0.0020500751119189703,0.0,0.0,0.056617808121279464,0.48645055921689306,0.07159346284481066,0.3562248555302681,2048,99,100
primary_member_ratio,0.06458333333333334,0.01904296875,0.002016011202480536,0.0,0.0,0.050525581769734894,0.46018941267830094,0.07159346284481066,0.3562248555302681,2048,99,100
primary_member_ratio,0.0675,0.01708984375,0.001982483738994491,0.0,0.0,0.046140465932845674,0.43123473673606166,0.07159346284481066,0.3562248555302681,2048,99,100
primary_member_ratio,0.07041666666666667,0.01708984375,0.0019243783798464,0.0,0.0,0.04229070000176866,0.3995786831186464,0.07159346284481066,0.3562248555302681,2048,99,100
primary_member_ratio,0.07333333333333333,0.01513671875,0.0018400483713669712,0.0,0.0,0.04049315838783634,0.3969176838666765,0.07159346284481066,0.3562248555302681,2048,99,100
primary_member_ratio,0.07625000000000001,0.015625,0.0017399038440822395,0.0,0.0,0.03825159852352439,0.3922438967330572,0.07159346284481066,0.3562248555302681,2048,99,100
primary_member_ratio,0.07916666666666666,0.0146484375,0.0016293277853848818,0.0,0.0,0.03353687147804463,0.38485951053829903,0.07159346284481066,0.3562248555302681,2048,99,100
primary_member_ratio,0.08208333333333334,0.01513671875,0.0015162228188315807,0.0,0.0,0.0250100996206711,0.37479348539637913,0.07159346284481066,0.3562248555302681,2048,99,100
primary_member_ratio,0.085,0.01416015625,0.0014143682598347204,0.0,0.0,0.02294931545283152,0.36207916149256825,0.07159346284481066,0.3562248555302681,2048,99,100
primary_member_ratio,0.08791666666666667,0.013671875,0.0012915299644744554,0.0,0.0,0.015046845688131244,0.3467542363475038,0.07159346284481066,0.3562248555302681,2048,99,100
primary_member_ratio,0.09083333333333335,0.01318359375,0.0011745862346646276,0.0,0.0,0.014589156571404412,0.3288607175820282,0.07159346284481066,0.3562248555302681,2048,99,100
primary_member_ratio,0.09375,0.01171875,0.0010602628864317316,0.0,0.0,0.0048696400856739225,0.30844484528046384,0.07159346284481066,0.3562248555302681,2048,99,100
primary_member_ratio,0.09666666666666668,0.01123046875,0.0009614170140505593,0.0,0.0,0.001480844206192545,0.2855569776025484,0.07159346284481066,0.3562248555302681,2048,99,100
primary_member_ratio,0.09958333333333333,0.01123046875,0.0008914269447689509,0.0,0.0,0.002682750896313173,0.26025143340542467,0.07159346284481066,0.3562248555302681,2048,99,100
primary_member_ratio,0.10250000000000001,0.01123046875,0.0008292735670203645,0.0,0.0,0.003815923285483686,0.2325862866665714,0.07159346284481066,0.3562248555302681,2048,99,100
primary_member_ratio,0.10541666666666667,0.01171875,0.000753452387840128,0.0,0.0,0.0026488767379517063,0.20262310951027326,0.07159346284481066,0.3562248555302681,2048,99,100
primary_member_ratio,0.10833333333333334,0.01025390625,0.0006639412071776247,0.0,0.0,0.00025351546491605325,0.1995771349359966,0.07159346284481066,0.3562248555302681,2048,99,100
primary_member_ratio,0.11125,0.00927734375,0.0005538751760165118,0.0,0.0,0.0,0.20880685272417612,0.07159346284481066,0.3562248555302681,2048,99,100
primary_member_ratio,0.11416666666666667,0.00830078125,0.000470941616441857,0.0,0.0,0.0,0.2158685528222682,0.07159346284481066,0.3562248555302681,2048,99,100
primary_member_ratio,0.11708333333333334,0.00732421875,0.00042055180122562016,0.0,0.0,0.0,0.2208325818031506,0.07159346284481066,0.3562248555302681,2048,99,100
primary_member_ratio,0.12000000000000001,0.0068359375,0.00037350300147482197,0.0,0.0,0.0,0.2237722680455533,0.07159346284481066,0.3562248555302681,2048,99,100
primary_member_ratio,0.12291666666666667,0.005859375,0.0003272916030293449,0.0,0.0,0.0,0.22476340722778748,0.07159346284481066,0.3562248555302681,2048,99,100
primary_member_ratio,0.12583333333333335,0.00537109375,0.00029563909613414057,0.0,0.0,0.0,0.22388370239766842,0.07159346284481066,0.3562248555302681,2048,99,100
primary_member_ratio,0.12875000000000003,0.00390625,0.0002770720752032321,0.0,0.0,0.0,0.22121216808617952,0.07159346284481066,0.3562248555302681,2048,99,100
primary_member_ratio,0.13166666666666668,0.00390625,0.0002553461894064954,0.0,0.0,0.0,0.2168285107053802,0.07159346284481066,0.3562248555302681,2048,99,100
