case_id,stress_component,normalized_semispan,trim_stress_MPa
4,shell_von_mises,0.00356927633975489,30.940487990325
4,shell_von_mises,0.0107121590400117,28.6127879799537
4,shell_von_mises,0.0178550417402686,29.040760382636
4,shell_von_mises,0.0249979244405254,29.0563016376564
4,shell_von_mises,0.0321408071407822,25.7863921600092
4,shell_von_mises,0.0392836898410391,26.7509819822917
4,shell_von_mises,0.0464265725412959,25.3121008710028
4,shell_von_mises,0.0535694552415527,25.7449455577808
4,shell_von_mises,0.0607123379418096,25.4446231582386
4,shell_von_mises,0.0678552206420664,23.9400234136503
4,shell_von_mises,0.0749981033423232,23.6745809694963
4,shell_von_mises,0.0821409860425801,20.8641731628149
4,shell_von_mises,0.0892838687428369,21.3134872397538
4,shell_von_mises,0.0964267514430937,20.5482845732469
4,shell_von_mises,0.103569634143351,19.9016417881534
4,shell_von_mises,0.110712516843607,23.2709160737027
4,shell_von_mises,0.117855399543864,21.0258455154855
4,shell_von_mises,0.124998282244121,21.4222007355903
4,shell_von_mises,0.132141164944378,19.5865238085752
4,shell_von_mises,0.139284047644635,21.4033521689309
4,shell_von_mises,0.146426930344892,23.3226147846962
4,shell_von_mises,0.153569813045148,20.0195563254988
4,shell_von_mises,0.160712695745405,21.899792917125
4,shell_von_mises,0.167855578445662,19.3034974752464
4,shell_von_mises,0.174998461145919,20.0671785592815
4,shell_von_mises,0.182141343846176,20.6860654192048
4,shell_von_mises,0.189284226546433,18.8731028726169
4,shell_von_mises,0.196427109246689,22.7922048592501
4,shell_von_mises,0.203569991946946,19.7469209642001
4,shell_von_mises,0.210712874647203,19.3565001553685
4,shell_von_mises,0.21785575734746,19.5891455614297
4,shell_von_mises,0.224998640047717,17.9732894848684
4,shell_von_mises,0.232141522747974,20.6373130815052
4,shell_von_mises,0.23928440544823,17.6885973645738
4,shell_von_mises,0.246427288148487,16.3739735072761
4,shell_von_mises,0.253570170848744,19.9521496147068
4,shell_von_mises,0.260713053549001,17.0074402453219
4,shell_von_mises,0.267855936249258,17.4834889804292
4,shell_von_mises,0.274998818949515,18.6168095848919
4,shell_von_mises,0.282141701649771,17.0070594600015
4,shell_von_mises,0.289284584350028,17.3919427544587
4,shell_von_mises,0.296427467050285,19.3192620301005
4,shell_von_mises,0.303570349750542,17.7382298271403
4,shell_von_mises,0.310713232450799,18.391507910786
4,shell_von_mises,0.317856115151056,17.778253022026
4,shell_von_mises,0.324998997851312,16.3579428438331
4,shell_von_mises,0.332141880551569,17.4836451987634
4,shell_von_mises,0.339284763251826,16.9138172024064
4,shell_von_mises,0.346427645952083,16.1346535827339
4,shell_von_mises,0.35357052865234,16.1256961595417
4,shell_von_mises,0.360713411352596,14.9458491998962
4,shell_von_mises,0.367856294052853,17.3980995067224
4,shell_von_mises,0.37499917675311,16.4022625053039
4,shell_von_mises,0.382142059453367,18.1461629777155
4,shell_von_mises,0.389284942153624,18.4618262073406
4,shell_von_mises,0.396427824853881,18.860724877917
4,shell_von_mises,0.403570707554138,15.3096621972961
4,shell_von_mises,0.410713590254394,17.3048422208306
4,shell_von_mises,0.417856472954651,17.6023485005555
4,shell_von_mises,0.424999355654908,16.4758379872749
4,shell_von_mises,0.432142238355165,22.2807693031537
4,shell_von_mises,0.439285121055422,18.6988691921563
4,shell_von_mises,0.446428003755679,13.8740115914775
4,shell_von_mises,0.453570886455935,15.0132866757884
4,shell_von_mises,0.460713769156192,15.6842929640534
4,shell_von_mises,0.467856651856449,13.3850753881143
4,shell_von_mises,0.474999534556706,14.6958051043942
4,shell_von_mises,0.482142417256963,14.3831894690972
4,shell_von_mises,0.48928529995722,13.1988387234406
4,shell_von_mises,0.496428182657476,13.8932827470769
4,shell_von_mises,0.503571065357733,14.5471988023634
4,shell_von_mises,0.51071394805799,14.7171354706291
4,shell_von_mises,0.517856830758247,13.1137517654523
4,shell_von_mises,0.524999713458504,13.7734091625958
4,shell_von_mises,0.532142596158761,13.9853056405599
4,shell_von_mises,0.539285478859017,13.0372862869228
4,shell_von_mises,0.546428361559274,15.0542377659531
4,shell_von_mises,0.553571244259531,14.0340674858017
4,shell_von_mises,0.560714126959788,11.4954149476066
4,shell_von_mises,0.567857009660045,12.669397776254
4,shell_von_mises,0.574999892360301,13.1840217501799
4,shell_von_mises,0.582142775060558,10.2872941880669
4,shell_von_mises,0.589285657760815,11.369937339064
4,shell_von_mises,0.596428540461072,12.4912064111871
