case_id,phase,feasible,final_pareto,normalized_ar,normalized_lambda,normalized_r1,normalized_r2
1,initial_design,true,true,0.0,0.0,0.0,0.0
2,initial_design,true,true,0.0,0.0,0.0,1.0
3,initial_design,true,false,0.0,0.0,1.0,0.0
4,initial_design,true,true,0.0,0.0,1.0,1.0
5,initial_design,false,false,0.0,1.0,0.0,0.0
6,initial_design,false,false,0.0,1.0,0.0,1.0
7,initial_design,true,false,0.0,1.0,1.0,0.0
8,initial_design,true,false,0.0,1.0,1.0,1.0
9,initial_design,false,false,1.0,0.0,0.0,0.0
10,initial_design,false,false,1.0,0.0,0.0,1.0
11,initial_design,false,false,1.0,0.0,1.0,0.0
12,initial_design,false,false,1.0,0.0,1.0,1.0
13,initial_design,false,false,1.0,1.0,0.0,0.0
14,initial_design,false,false,1.0,1.0,0.0,1.0
15,initial_design,false,false,1.0,1.0,1.0,0.0
16,initial_design,false,false,1.0,1.0,1.0,1.0
17,initial_design,true,false,0.7339070767722168,0.039782902112413296,0.4919381940916829,0.11960400182065432
18,initial_design,true,false,0.37204502147901675,0.14650031689035325,0.6459522440416171,0.5845308904017371
19,initial_design,false,false,0.9503829683301666,0.6645478274125399,0.14407653058803427,0.6453461271857057
20,initial_design,true,false,0.0753248641269783,0.399532748779955,0.73493463562356,0.8504406774327343
21,initial_design,false,false,0.35300012096252004,0.8310060575952349,0.5839929868071656,0.45246016129887145
22,initial_design,false,false,0.5552876041731899,0.5886268784116048,0.8801462041568543,0.3397728318471258
23,initial_design,false,false,0.8567805622550667,0.86600500408049,0.10585375742530885,0.011112816782382868
24,initial_design,true,false,0.19967063875883495,0.30800370469254496,0.3954442274409772,0.1654856827767
25,initial_design,false,false,0.67484038499985,0.28440960610352495,0.5605361597622,0.9692196555835458
26,initial_design,false,false,0.4364178506868634,0.9307476038036732,0.98920416482654,0.7695804697997799
27,initial_design,false,false,0.014088421246829963,0.5146804826314566,0.02607969392486628,0.37333962885846855
28,initial_design,false,false,0.5905922848894599,0.47325935900101823,0.3094191296961971,0.27140096618422854
29,initial_design,false,false,0.23125252651568337,0.7390258307622283,0.26853378275391426,0.8729998498801057
30,initial_design,false,false,0.86526221369945,0.14262639271795494,0.8131804455310514,0.5214678846662085
31,adaptive_phase,true,true,0.1832343799817123,5.7237220103395485e-05,0.1375232436038507,0.999998190601278
