input_variable,input_physical,positive_hvi_fraction,mean_normalized_hvi,median_normalized_hvi,p90_normalized_hvi,p99_normalized_hvi,sampled_profile_maximum_normalized_hvi,selected_input_physical,selected_hvi_normalized,nuisance_sample_count,evaluated_count,selected_case
aspect_ratio,6.0,0.01611328125,0.00295297591673724,0.0,0.0,0.023387196362092452,1.0,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,6.05,0.00537109375,0.00025193830727650025,0.0,0.0,0.0,0.12113521404594381,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,6.1,0.00439453125,7.391105262494202e-05,0.0,0.0,0.0,0.05413845639891788,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,6.15,0.00244140625,3.998242074642884e-05,0.0,0.0,0.0,0.05158872035252826,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,6.2,0.00244140625,0.00015277319598722605,0.0,0.0,0.0,0.09375763118817158,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,6.25,0.00390625,0.0001397348740169122,0.0,0.0,0.0,0.07683808449092173,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,6.3,0.00390625,9.57708432169726e-05,0.0,0.0,0.0,0.053948982963601934,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,6.35,0.00244140625,2.8984672854202963e-05,0.0,0.0,0.0,0.028962476208209468,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,6.4,0.00146484375,9.690342740964814e-06,0.0,0.0,0.0,0.010969061324302207,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,6.45,0.001953125,5.247416245219692e-05,0.0,0.0,0.0,0.037953548333380355,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,6.5,0.00439453125,0.00010982576467373828,0.0,0.0,0.0,0.10364320202024525,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,6.55,0.00634765625,0.0002836359683688228,0.0,0.0,0.0,0.18159781849550177,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,6.6,0.005859375,0.00037785294838927605,0.0,0.0,0.0,0.14574990029108703,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,6.65,0.0078125,0.00043137501820634085,0.0,0.0,0.0,0.14557822232214554,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,6.7,0.005859375,0.00048372391804785765,0.0,0.0,0.0,0.2084578441061906,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,6.75,0.005859375,0.00042038582819586584,0.0,0.0,0.0,0.1825081886558222,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,6.8,0.00439453125,0.00023030896279933579,0.0,0.0,0.0,0.1325004221321324,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,6.85,0.00634765625,0.00021964526307997399,0.0,0.0,0.0,0.08077511199702159,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,6.9,0.00537109375,0.00010169776056163056,0.0,0.0,0.0,0.059287462986165336,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,6.95,0.00244140625,3.429135262716043e-05,0.0,0.0,0.0,0.0416333280945056,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,7.0,0.00341796875,5.4364657754834496e-05,0.0,0.0,0.0,0.05150351089615266,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,7.05,0.0029296875,3.393094706359338e-05,0.0,0.0,0.0,0.0473214265632021,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,7.1,0.0029296875,9.03059541203084e-05,0.0,0.0,0.0,0.08033250619056834,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,7.15,0.00146484375,2.4334743982439103e-05,0.0,0.0,0.0,0.037159210152458017,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,7.2,0.00146484375,1.1037865790316916e-05,0.0,0.0,0.0,0.019621929403096244,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,7.25,0.00341796875,9.547294716982549e-05,0.0,0.0,0.0,0.09157811993123637,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,7.3,0.00390625,9.531052860981702e-05,0.0,0.0,0.0,0.0941072181409746,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,7.35,0.00244140625,4.1005771048859856e-05,0.0,0.0,0.0,0.02725725159047891,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,7.4,0.00341796875,0.00011805389107097156,0.0,0.0,0.0,0.12958142517168483,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,7.45,0.00244140625,0.0001878019317483931,0.0,0.0,0.0,0.2112046949033806,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,7.5,0.00244140625,0.00014298399436531406,0.0,0.0,0.0,0.1789431234990641,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,7.550000000000001,0.00341796875,7.989040879731725e-05,0.0,0.0,0.0,0.054685251186518596,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,7.6,0.00146484375,4.322048852989776e-05,0.0,0.0,0.0,0.07265442852626387,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,7.65,0.0029296875,7.558394954137506e-05,0.0,0.0,0.0,0.12803479972849405,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,7.7,0.001953125,0.00012276004081824779,0.0,0.0,0.0,0.18457990737971627,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,7.75,0.0009765625,7.133125486518714e-05,0.0,0.0,0.0,0.13531767051220148,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,7.8,0.0009765625,1.9414847649929642e-05,0.0,0.0,0.0,0.03791494173119576,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,7.85,0.0009765625,3.227741726095328e-05,0.0,0.0,0.0,0.04539780039804602,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,7.9,0.00048828125,5.604082010494073e-06,0.0,0.0,0.0,0.01147715995749186,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,7.95,0.0,0.0,0.0,0.0,0.0,0.0,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,8.0,0.001953125,4.65673788537598e-05,0.0,0.0,0.0,0.048171137268515886,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,8.05,0.001953125,3.708493757128577e-05,0.0,0.0,0.0,0.0530910239787626,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,8.1,0.00048828125,3.649653890610517e-06,0.0,0.0,0.0,0.007474491167970339,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,8.15,0.00146484375,7.071664722175723e-05,0.0,0.0,0.0,0.10614597495551903,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,8.2,0.00146484375,0.0001198492960849344,0.0,0.0,0.0,0.17663208138046085,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,8.25,0.001953125,8.854734215412166e-05,0.0,0.0,0.0,0.14254551039466754,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,8.3,0.00146484375,2.6524853311363825e-05,0.0,0.0,0.0,0.04618880000003585,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,8.35,0.00146484375,4.757213359313189e-05,0.0,0.0,0.0,0.05005650683143225,6.6607104661638,0.3562248555302681,2048,99,100
aspect_ratio,8.4,0.00146484375,8.908993814752385e-05,0.0,0.0,0.0,0.13593275874601207,6.6607104661638,0.3562248555302681,2048,99,100
