case_id,normalized_semispan,lift_per_unit_span_N_per_m,outboard_bending_moment_Nm
4,0,2607.77010258584,2624.5285384372
4,0.0025,2607.74532853338,2608.41879584533
4,0.005,2607.6710131742,2592.36583185234
4,0.0075,2607.54717689658,2576.36964484014
4,0.01,2607.37385366012,2560.43023211245
4,0.0125,2607.15109096445,2544.54758989549
4,0.015,2606.87894980552,2528.72171333903
4,0.0175,2606.55750461936,2512.95259651772
4,0.02,2606.18684321365,2497.24023243273
4,0.0225,2605.76706668688,2481.58461301361
4,0.025,2605.29828933542,2465.98572912055
4,0.0275,2604.78063854844,2450.44357054683
4,0.03,2604.21425469094,2434.95812602161
4,0.0325,2603.59929097492,2419.52938321297
4,0.035,2602.93591331886,2404.15732873128
4,0.0375,2602.22430019569,2388.84194813277
4,0.04,2601.46464246946,2373.58322592344
4,0.0425,2600.65714322072,2358.38114556322
4,0.045,2599.80201756112,2343.23568947038
4,0.0475,2598.89949243706,2328.14683902622
4,0.05,2597.94980642294,2313.11457458001
4,0.0525,2596.95320950409,2298.13887545416
4,0.055,2595.90996284956,2283.21971994971
4,0.0575,2594.82033857523,2268.357085352
4,0.06,2593.68461949731,2253.55094793656
4,0.0625,2592.50309887666,2238.80128297532
4,0.065,2591.27608015404,2224.10806474295
4,0.0675,2590.00387667683,2209.47126652349
4,0.07,2588.68681141732,2194.89086061719
4,0.0725,2587.32521668298,2180.36681834751
4,0.075,2585.91943381903,2165.89911006835
4,0.0775,2584.46981290367,2151.48770517152
4,0.08,2582.97671243622,2137.13257209434
4,0.0825,2581.44049901869,2122.83367832743
4,0.085,2579.86154703094,2108.59099042273
4,0.0875,2578.24023829996,2094.40447400162
4,0.09,2576.57696176358,2080.27409376324
4,0.0925,2574.87211312897,2066.19981349298
4,0.095,2573.12609452636,2052.18159607106
4,0.0975,2571.33931415834,2038.21940348131
4,0.1,2569.51218594514,2024.31319682005
4,0.1025,2567.64512916635,2010.4629363051
4,0.105,2565.73856809936,1996.66858128493
4,0.1075,2563.79293165507,1982.93009024787
4,0.11,2561.80865301116,1969.24742083144
4,0.1125,2559.78616924345,1955.62052983184
4,0.115,2557.72592095563,1942.0493732134
4,0.1175,2555.62835190794,1928.5339061182
4,0.12,2553.49390864504,1915.07408287575
4,0.1225,2551.32304012368,1901.66985701268
4,0.125,2549.1161973404,1888.32118126254
4,0.1275,2546.8738329598,1875.02800757561
4,0.13,2544.59640094384,1861.79028712875
4,0.1325,2542.28435618239,1848.60797033529
4,0.135,2539.93815412564,1835.48100685494
4,0.1375,2537.55825041876,1822.4093456037
4,0.14,2535.14510053904,1809.39293476378
4,0.1425,2532.69915943617,1796.43172179352
4,0.145,2530.22088117588,1783.52565343729
4,0.1475,2527.71071858741,1770.67467573539
4,0.15,2525.16912291519,1757.8787340339
4,0.1525,2522.59654347511,1745.13777299449
4,0.155,2519.99342731578,1732.45173660424
4,0.1575,2517.36021888513,1719.82056818534
4,0.16,2514.69735970274,1707.24421040479
4,0.1625,2512.00528803826,1694.72260528397
4,0.165,2509.28443859622,1682.25569420827
4,0.1675,2506.5352422077,1669.84341793644
4,0.17,2503.75812552902,1657.48571661007
4,0.1725,2500.95351074799,1645.18252976283
4,0.175,2498.12181529776,1632.93379632967
4,0.1775,2495.26345157892,1620.73945465592
4,0.18,2492.37882668983,1608.59944250623
4,0.1825,2489.46834216563,1596.5136970735
4,0.185,2486.53239372623,1584.48215498757
4,0.1875,2483.57137103347,1572.50475232386
4,0.19,2480.58565745765,1560.58142461183
4,0.1925,2477.57562985384,1548.71210684336
4,0.195,2474.54165834805,1536.89673348094
4,0.1975,2471.48410613355,1525.13523846572
4,0.2,2468.40332927746,1513.42755522542
4,0.2025,2465.29967653795,1501.7736166821
4,0.205,2462.17348919203,1490.17335525975
4,0.2075,2459.02510087423,1478.62670289169
4,0.21,2455.85483742629,1467.13359102787
4,0.2125,2452.66301675793,1455.69395064195
4,0.215,2449.44994871891,1444.30771223823
4,0.2175,2446.2159349824,1432.97480585837
4,0.22,2442.96126893977,1421.695161088
4,0.2225,2439.68623560693,1410.46870706307
4,0.225,2436.39111154215,1399.29537247609
4,0.2275,2433.07616477557,1388.17508558211
4,0.23,2429.74165475026,1377.10777420459
4,0.2325,2426.38783227491,1366.09336574105
4,0.235,2423.01493948821,1355.1317871685
4,0.2375,2419.62320983478,1344.22296504874
4,0.24,2416.21286805265,1333.36682553343
4,0.2425,2412.78413017232,1322.56329436899
4,0.245,2409.33720352719,1311.81229690131
4,0.2475,2405.87228677536,1301.11375808023
4,0.25,2402.38956993276,1290.46760246392
4,0.2525,2398.88923441726,1279.87375422296
4,0.255,2395.37145310397,1269.33213714433
4,0.2575,2391.83639039127,1258.84267463517
4,0.26,2388.28420227754,1248.40528972634
4,0.2625,2384.71503644851,1238.01990507583
4,0.265,2381.12903237482,1227.68644297198
4,0.2675,2377.52632141971,1217.40482533649
4,0.27,2373.90702695671,1207.17497372732
4,0.2725,2370.27126449682,1196.99680934135
4,0.275,2366.61914182526,1186.87025301691
4,0.2775,2362.95075914722,1176.79522523609
4,0.28,2359.2662092426,1166.77164612699
4,0.2825,2355.56557762924,1156.79943546566
4,0.285,2351.84894273441,1146.87851267804
4,0.2875,2348.11637607436,1137.00879684159
4,0.29,2344.36794244137,1127.19020668693
4,0.2925,2340.60370009819,1117.42266059916
4,0.295,2336.82370097933,1107.70607661922
4,0.2975,2333.02799089903,1098.04037244496
4,0.3,2329.21660976532,1088.42546543213
4,0.3025,2325.3895918,1078.86127259531
4,0.305,2321.54696576404,1069.34771060861
4,0.3075,2317.68875518793,1059.88469580628
4,0.31,2313.81497860683,1050.47214418328
4,0.3125,2309.92564979976,1041.10997139562
4,0.315,2306.0207780327,1031.79809276072
4,0.3175,2302.10036830502,1022.53642325756
4,0.32,2298.16442159887,1013.32487752682
4,0.3225,2294.21293513103,1004.1633698709
