record_type,Case,AR,TaperRatio,CDitrim,Feasible,Pareto,LLTTrimRequiredCL,TorsionCorrectedE,InterpolatedRigidE,LLTTrimCDiRigid,CDiTorsionDeltaPct,DirectRigidE,OptimumTaperAtSameAR,MaximumEAtSameAR,EfficiencyGap,AbsoluteTaperDistance,TaperOnlyCDiPenaltyPct,RigidSpanEfficiency
observed,1,6.3746277940289,0.679008578577434,0.0101735642943544,1,0,0.4420085137423,0.958922326640777,0.958372090836578,0.0101794053026482,-0.0573806437615065,0.97348644004893,0.365,0.989613242547134,0.0161268024982041,0.314008578577434,1.65660268440857,
observed,2,7.10993161279688,0.295933262901292,0.00896990593626184,1,1,0.443373089532957,0.981150151642645,0.978736555823984,0.00899202601273463,-0.245996580097341,0.986492843135991,0.363,0.988048907026224,0.00155606389023377,0.067066737098708,0.157736966979627,
observed,3,8.7844346636451,0.587455528672493,0.00733493924772248,0,0,0.441321670780092,0.962166643263626,0.966896554460117,0.00729905783816181,0.491589604524978,0.971185765305461,0.358,0.984546004715991,0.0133602394105296,0.229455528672493,1.37566260624995,
observed,4,11.0667479864722,0.4737287796842,0.00587688901207949,0,0,0.440991736440541,0.951795223711363,0.957235081740965,0.0058434913206542,0.571536596747158,0.974516419453428,0.352,0.979996580284131,0.00548016083070224,0.1217287796842,0.562346690246218,
observed,5,9.78164942299678,0.512190459845546,0.00660749654314368,0,0,0.441202822024868,0.958688797151073,0.963634505882681,0.00657358456391504,0.515882604063478,0.97480411677592,0.355,0.982521592489473,0.00771747571355308,0.157190459845546,0.791695026799633,
observed,6,11.8753545273848,0.768360116090147,0.00571042109422764,0,0,0.440014636482774,0.908802795661718,0.918017441077694,0.0056531024603927,1.01393233603191,0.934567328671618,0.35,0.97845957760958,0.0438922489379622,0.418360116090147,4.6965314955264,
observed,7,9.16954176635944,0.342391401755701,0.00697979756664231,1,0,0.44211809414814,0.972156637421167,0.975068274855549,0.00695895529292311,0.299502911599259,0.983674418055664,0.357,0.983757917147409,8.34990917448764e-05,0.014608598244299,0.00848848869221541,
observed,8,10.7996060117371,0.729508456013336,0.00617967540602397,0,0,0.440352419874737,0.924862830762105,0.932446188204719,0.00612941761305316,0.819944016602525,0.945583998143013,0.353,0.980513207496564,0.0349292093535518,0.376508456013336,3.69392982771997,
observed,9,7.80254120831389,0.228510964110416,0.00818742857086035,1,1,0.443453479460131,0.979856924002232,0.976212067486666,0.00821799775082251,-0.371978441574794,0.978823177346999,0.361,0.986587012176254,0.00776383482925547,0.132489035889584,0.793180526262005,
observed,10,7.45751427255456,0.424625003289057,0.00849160728872153,1,0,0.442425696797913,0.98389061965651,0.981435943730694,0.00851284570383793,-0.249486668210386,0.986185381409849,0.362,0.987313393592993,0.00112801218314351,0.062625003289057,0.114381353080995,
observed,11,8.95222532526214,0.298846608964398,0.00715212917199392,1,0,0.442477652536841,0.97334422370378,0.975680908353002,0.00713500034401095,0.240067654619613,0.982730412358426,0.357,0.984201645957656,0.0014712335992304,0.058153391035602,0.149708768623502,
observed,12,8.6408175216767,0.225941674473364,0.00744961340176801,0,0,0.44307788282756,0.97078196987664,0.972201913863722,0.00743873291119801,0.14626806339042,0.97627412789823,0.358,0.984841789465258,0.00856766156702871,0.132058325526636,0.877587689993753,
observed,13,10.8384159534924,0.290505099399162,0.00597768652199274,0,0,0.441815853223474,0.959033476405706,0.961666262988539,0.00596132120537804,0.27452499288132,0.978475265729196,0.352,0.980437841795539,0.00196257606634254,0.061494900600838,0.200574928675379,
observed,14,12,0.219963899850845,0.00547521709867083,0,0,0.441881217318692,0.945972737992335,0.947201804227129,0.00546811258890944,0.129926179204976,0.967434359989736,0.35,0.978226234784985,0.0107918747952491,0.130036100149155,1.11551493740243,
observed,15,9.26184619828317,0.345563184742736,0.00691414823917738,1,0,0.442064811899518,0.971372421813392,0.974349096710086,0.0068930252437694,0.306440128404861,0.983521446439669,0.357,0.983570114440196,4.86680005271634e-05,0.011436815257264,0.00494834156421486,
observed,16,7.30609738875995,0.35967486972642,0.00868159181832629,1,0,0.44285321493352,0.984203513743229,0.981734320890227,0.00870342718051577,-0.25088234481202,0.987631626048286,0.362,0.987633428851247,1.80280296036006e-06,0.00232513027358,0.000182537994208865,
observed,17,7.59168377227489,0.31599977584327,0.00834722675749272,1,0,0.442998847256117,0.985768641384194,0.982740761852897,0.0083729450323656,-0.307159246519151,0.986300755447582,0.361,0.987030473099745,0.000729717652163675,0.04500022415673,0.0739853080445663,
observed,18,7.41182876120306,0.257661616488969,0.00861299337610312,1,1,0.443456704079039,0.98055754718287,0.977601284309478,0.00863903903802605,-0.301487952633228,0.983116482026511,0.362,0.987409895515718,0.00429341348920687,0.104338383511031,0.436714628195101,
observed,19,9.02673938819886,0.345159606409472,0.00708202175531368,1,0,0.442141381939038,0.973384206370827,0.976268109594507,0.00706110141061574,0.296275941689284,0.98399214663103,0.357,0.984049252737799,5.71061067692336e-05,0.011840393590528,0.00580351245329513,
observed,20,10.127528136742,0.208048738558721,0.00644157565853256,1,1,0.442552037411301,0.955615632883221,0.956784247454894,0.00643370792952351,0.122289185260405,0.969408362512544,0.354,0.981832318009288,0.0124239554967442,0.145951261441279,1.2816018488373,
observed,21,6.96496329257454,0.61889095565218,0.0092361157209644,1,0,0.441970669230265,0.966560020681013,0.965309875938869,0.00924807714578166,-0.129339587340238,0.97563084672657,0.363,0.988356618561923,0.0127257718353537,0.25589095565218,1.30436341553275,
observed,22,7.02771570596623,0.562900365385606,0.00910654707456363,1,0,0.442047897688262,0.971898394632364,0.970410126666751,0.00912051331617219,-0.153129995257983,0.97969219825731,0.363,0.988223375389895,0.00853117713258467,0.199900365385606,0.870801783229469,
observed,23,9.63016376500788,0.270639134496506,0.00669262103323749,1,0,0.442324375695447,0.966277722960702,0.968384569578681,0.00667806036546949,0.218037378686842,0.979329115078449,0.356,0.982825575152598,0.00349646007414905,0.085360865503494,0.357026051846621,
observed,24,6.91938987700087,0.673459676346615,0.00934071906584255,1,0,0.441766573373575,0.961142360128776,0.960091192296041,0.00935094586877066,-0.109366507641395,0.971234673570682,0.363,0.988453424153226,0.0172187505825443,0.310459676346615,1.77287230893854,
observed,25,6.44167072780609,0.626548905715014,0.0100215115538145,1,0,0.442106507969708,0.963767306868836,0.963031596178565,0.0100291675156875,-0.0763369627739041,0.977281224728666,0.365,0.98947030554701,0.0121890808183447,0.261548905715014,1.24724393653719,
observed,26,8.97526578653001,0.374669960132128,0.00711812431673343,1,0,0.442025587106524,0.973491266590138,0.976677758180372,0.00709490085015653,0.327326160962338,0.984043648945621,0.357,0.984154497362106,0.000110848416485232,0.017669960132128,0.011264583294035,
observed,27,8.38759548233562,0.267129262027628,0.00761916818785677,0,0,0.442906844463311,0.977079436315176,0.978936675674445,0.00760471309653676,0.190080692545602,0.981706069094381,0.359,0.985365765988057,0.00365969689367596,0.091870737972372,0.3727894742519,
observed,28,8.72429848273285,0.306596114958846,0.00732341533611664,1,1,0.442534269351648,0.975662834145111,0.978034261732148,0.0073056583414602,0.243058104095439,0.983577708088731,0.358,0.984669748901289,0.00109204081255887,0.051403885041154,0.111027405722819,
observed,29,8.37576415644839,0.43022589014228,0.00759541042548259,0,0,0.442002934718824,0.977517962774186,0.980888610722865,0.00756931015855099,0.344816983118479,0.983798338162018,0.359,0.985390319253169,0.00159198109115033,0.07122589014228,0.161819859761558,
observed,30,8.73128610331681,0.354351022400234,0.00730476763216352,1,0,0.442232077283363,0.976036332775571,0.978910607469368,0.00728331939308123,0.294484395434624,0.984650316502064,0.358,0.984655362170442,5.04566837766784e-06,0.00364897759976601,0.000512432514687688,
observed,31,9.04599138574513,0.281014887789985,0.00709134354545484,1,1,0.442523034303793,0.971711170058017,0.973857162360683,0.00707571705601442,0.220846725734125,0.981403893289638,0.357,0.984009920808495,0.00260602751885752,0.075985112210015,0.265540776501516,
observed,32,8.53643282364385,0.332830846492949,0.00746298246966837,1,1,0.442396220003682,0.977876690089946,0.980457247573501,0.00744333994541818,0.263893956130312,0.984803512868605,0.359,0.985057367009891,0.000253854141286314,0.026169153507051,0.0257771360448134,
observed,33,6.64655931597592,0.586609478967796,0.00967443212972251,1,0,0.442193059697416,0.967947057969984,0.966931511309834,0.00968459297061275,-0.104917583228092,0.97939682166754,0.364,0.989033825328996,0.0096370036614557,0.222609478967796,0.983973344435363,
