node_id,x_m,y_m,z_m
34328,0.1142679527,0.5435001254,-0.01685130224
34329,0.1150192246,0.5508609414,-0.01681766845
34330,0.115996629,0.5464103222,-0.01701577753
34331,0.1182979643,0.5486009121,-0.01726031676
34332,0.117289789,0.5426618457,-0.01723908819
34333,0.1199307889,0.5446953773,-0.0175240431
34334,0.1202759743,0.5506281257,-0.0174647253
34335,0.1117601544,0.5515666008,-0.01639145799
34336,0.1095615849,0.5535136461,-0.01606974564
34337,0.1108561903,0.5591041446,-0.01614095829
34338,0.1129335835,0.554218471,-0.01649544388
34339,0.1138475016,0.5575581193,-0.01655385457
34340,0.1159187853,0.5546499491,-0.01686421968
34341,0.11637187,0.5602861643,-0.01682309247
34342,0.1178922132,0.5522503853,-0.01714834012
34343,0.1171992943,0.5576405525,-0.0169709418
34344,0.1208638176,0.5534666777,-0.01748657226
34345,0.1188243404,0.5553862453,-0.01720802113
34346,0.1198361367,0.5579092503,-0.01728797145
34347,0.1192385554,0.5599979162,-0.01717969775
34348,0.1110183895,0.5621326566,-0.01610860974
34349,0.1110537723,0.5649147034,-0.01606363617
34350,0.1122093648,0.5708581805,-0.01610939018
34351,0.1136989891,0.5611160398,-0.01647278294
34352,0.1135002002,0.5642636418,-0.01639215462
34353,0.1126735955,0.5676633119,-0.01622593403
34354,0.1162062511,0.5633462667,-0.01674978435
34355,0.1164147928,0.5667169094,-0.01671731658
34356,0.1186279282,0.5694056153,-0.01694438234
34357,0.1185008585,0.5619953871,-0.01705588959
34358,0.1192405224,0.5644086003,-0.01710458845
34359,0.1103100032,0.5728345513,-0.01582446694
34360,0.113162078,0.5738978982,-0.01617913321
34361,0.1137062237,0.5776783824,-0.01618247852
34362,0.1110068187,0.5792746544,-0.01580179855
34363,0.1153009534,0.5707534552,-0.01650741696
34364,0.1159934476,0.5749158263,-0.01652224734
34365,0.1152068451,0.5804504156,-0.01632648706
34366,0.1183592155,0.5727597475,-0.01685361005
34367,0.1168661415,0.5785174966,-0.01656901836
34368,0.1176822409,0.5821706653,-0.01660791226
34369,0.1190053001,0.5763157606,-0.01687208936
34370,0.1199444383,0.5802048445,-0.01692022569
34371,0.1101670638,0.5825668573,-0.01563082449
34372,0.1108346879,0.5860577226,-0.01565766893
34373,0.1102824733,0.5894548893,-0.01552245207
34374,0.1130578518,0.5812947154,-0.01603509858
34375,0.1129681021,0.5843145251,-0.0159699358
34376,0.115283899,0.5832675099,-0.01628696918
34377,0.115101479,0.5857743025,-0.01621999033
34378,0.1130952314,0.5875725746,-0.0159287788
34379,0.1134163812,0.5906217694,-0.01591690816
34380,0.1159066036,0.588401556,-0.01627628133
34381,0.1174035668,0.5855904817,-0.01651403867
34382,0.1203629151,0.5849072337,-0.01689060964
34383,0.1189267263,0.5887729525,-0.01664777286
34384,0.1106342226,0.596303761,-0.01544652693
34385,0.1135959104,0.59389925,-0.01588250138
34386,0.1143151298,0.5993461013,-0.01587944478
34387,0.1138643771,0.5968593955,-0.01586515084
34388,0.1160731316,0.6009970307,-0.01607748307
34389,0.1163932681,0.5915302038,-0.01628348976
34390,0.1168231293,0.5949664116,-0.01627799124
34391,0.1169199944,0.597987473,-0.0162374042
34392,0.1197495684,0.5925167799,-0.01668518782
34393,0.1205237657,0.596542418,-0.01671084948
34394,0.1112156361,0.6097691059,-0.0152825918
34395,0.1133226082,0.6016340256,-0.01570914499
34396,0.1124125645,0.6042168736,-0.01554309111
34397,0.1142330542,0.6059417128,-0.01575205289
34398,0.1149143428,0.6086997986,-0.01579244621
34399,0.115135476,0.6036453843,-0.01590984873
34400,0.1167407334,0.6057608724,-0.01607898995
34401,0.1191679984,0.599968493,-0.0164849218
34402,0.1178772971,0.6029670835,-0.01627136394
34403,0.1196662187,0.6049554944,-0.01646024361
34404,0.1184578612,0.6078324318,-0.01626025326
34405,0.1208720803,0.6023830771,-0.01665334776
34406,0.1208284423,0.6094778776,-0.01652605832
34407,0.1118831932,0.6142038107,-0.01529237069
34408,0.1119790748,0.6190283298,-0.01521805394
34409,0.1137372702,0.6118229628,-0.01558264624
34410,0.1128431559,0.6166452765,-0.01537723746
34411,0.1154971495,0.6150330901,-0.01575610787
34412,0.1149673834,0.6190322637,-0.01561623905
34413,0.1173816025,0.6113276482,-0.0160635598
34414,0.1179566979,0.6181330085,-0.01601740159
34415,0.1188538149,0.6146213412,-0.01619193144
34416,0.1209031567,0.6171582937,-0.01640317961
34417,0.1204129308,0.6205797791,-0.0162835326
34418,0.1109256819,0.6234705448,-0.01499431115
34419,0.110425666,0.6258464456,-0.01488218736
34420,0.1110126302,0.628323853,-0.01491752919
34421,0.1137669757,0.6223211884,-0.01539934892
34422,0.1129759774,0.6256970167,-0.01523262355
34423,0.1174285188,0.6222574115,-0.01587807946
34424,0.1139665768,0.6286820769,-0.01531164255
34425,0.1158533171,0.6255406737,-0.01561670471
34426,0.1168735102,0.6286318898,-0.01569451392
34427,0.1208404675,0.6240807772,-0.01627580263
34428,0.118757762,0.6260451674,-0.01598108373
34429,0.1193429902,0.6288922429,-0.01600537449
34430,0.1112159639,0.6315408945,-0.01488732547
34431,0.1117083132,0.6368165612,-0.01485893689
34432,0.1130465865,0.6340432763,-0.01509155054
34433,0.1144779697,0.6363968849,-0.01524153817
34434,0.114889577,0.6313006878,-0.01538744103
34435,0.1160811111,0.6383225918,-0.01541939564
34436,0.1160416305,0.6335251331,-0.01549985539
34437,0.1170738861,0.6355968714,-0.01559792552
34438,0.1180971488,0.6397535205,-0.01565657928
34439,0.1179024428,0.6312269568,-0.01578119025
34440,0.1189608797,0.6335771084,-0.01587559283
34441,0.1208968386,0.638677001,-0.01603061147
34442,0.127443701,0.483020395,-0.01940735057
34443,0.127600804,0.4858752787,-0.01937785931
34444,0.1300669759,0.4812198281,-0.01971686818
34445,0.1301611364,0.4843341112,-0.01967659779
34446,0.1301088929,0.4872716367,-0.01962389052
34447,0.1221194789,0.4811830223,-0.01884593256
34448,0.1223833486,0.4840792417,-0.0188281294
34449,0.1229089945,0.4871361852,-0.01883687265
34450,0.1222944185,0.4903769791,-0.01871330477
34451,0.1249084994,0.4849601388,-0.01909749582
34452,0.1248641387,0.4819729328,-0.01914157346
34453,0.1255065352,0.4873207808,-0.01912471652
34454,0.1248544529,0.4895597696,-0.01901575737
34455,0.1274974942,0.4887012243,-0.01932067983
34456,0.1297183782,0.4902865291,-0.01953354292
34457,0.1295114905,0.4953270853,-0.01942992955
34458,0.1212714165,0.4937545657,-0.01853962988
34459,0.121680811,0.4974125922,-0.01852564514
34460,0.1221114993,0.5005705356,-0.01852230541
34461,0.1243608072,0.4925132394,-0.01891165227
34462,0.1242887005,0.4987304509,-0.01880085096
34463,0.1241593882,0.4956411123,-0.01883743331
34464,0.1269444227,0.491418004,-0.01921592839
34465,0.126765877,0.4943014383,-0.01914913766
34466,0.1267912835,0.4970487654,-0.01910706237
34467,0.1268993765,0.4998545945,-0.0190729294
34468,0.1290176213,0.4928640723,-0.01941707171
34469,0.1293625087,0.4980609119,-0.01936979406
34470,0.1202373132,0.5024638772,-0.01827334426
34471,0.121977359,0.5084792376,-0.01837504283
34472,0.1227376759,0.5035535097,-0.01854443177
34473,0.1247552261,0.5016883612,-0.0188042596
34474,0.1253181845,0.5045014024,-0.01882101782
34475,0.123848021,0.506586194,-0.01862131804
34476,0.1274786294,0.502654016,-0.01909055933
34477,0.1255616248,0.5097734928,-0.01876167208
34478,0.1278803051,0.5050556064,-0.01909536682
34479,0.1267965883,0.5071505904,-0.01894215494
34480,0.1290193051,0.5092943907,-0.01915070601
34481,0.1294918358,0.5008581877,-0.01933829673
34482,0.1296698898,0.5066928267,-0.01926275343
34483,0.1200106665,0.5127571821,-0.01807388291
34484,0.1225925758,0.5171127319,-0.01830225997
34485,0.1224477664,0.5112997293,-0.01838242076
34486,0.1225796565,0.5142077207,-0.01834907569
34487,0.1253076792,0.5128068328,-0.01868313365
34488,0.1250816435,0.5157664418,-0.01860890724
34489,0.1250917315,0.5186678171,-0.01856216416
34490,0.1274616122,0.5145401955,-0.0188947469
34491,0.1289392412,0.5121197104,-0.01909595169
34492,0.1277812719,0.51715523,-0.01888709888
34493,0.1277554929,0.5201377869,-0.01883546636
34494,0.130258739,0.5151095986,-0.01918974519
34495,0.1308477074,0.518260479,-0.01920170709
34496,0.1301153004,0.521802783,-0.01906605065
