record_type,solver_id,solver_label,pareto_point_index,retained_evaluations,true_oracle_calls,objective_f1_fabrication_cost,objective_f2_end_deflection
pareto_point,trieste_echvi,Trieste ECHVI,4,150,150,3.58779642509673,0.0102357349037594
pareto_point,trieste_echvi,Trieste ECHVI,5,150,150,3.86688056974991,0.00964356393283094
pareto_point,trieste_echvi,Trieste ECHVI,6,150,150,4.60557295190339,0.00827775371037349
pareto_point,trieste_echvi,Trieste ECHVI,7,150,150,5.23111691715259,0.00527203144029146
pareto_point,trieste_echvi,Trieste ECHVI,8,150,150,6.20145624942819,0.00507175113422111
pareto_point,trieste_echvi,Trieste ECHVI,9,150,150,6.66785040871647,0.00401600022681547
pareto_point,trieste_echvi,Trieste ECHVI,10,150,150,8.23061222310223,0.00372715638681339
pareto_point,trieste_echvi,Trieste ECHVI,11,150,150,9.69610157867985,0.0033448804739852
pareto_point,trieste_echvi,Trieste ECHVI,12,150,150,11.7472267527711,0.00241562355192938
pareto_point,trieste_echvi,Trieste ECHVI,13,150,150,12.206909975635,0.00210620138320312
pareto_point,trieste_echvi,Trieste ECHVI,14,150,150,17.987748300303,0.00144158691685927
pareto_point,trieste_echvi,Trieste ECHVI,15,150,150,22.342037318083,0.00122100245997127
pareto_point,trieste_echvi,Trieste ECHVI,16,150,150,24.4780147867636,0.00112890303635472
pareto_point,trieste_echvi,Trieste ECHVI,17,150,150,27.9601275754448,0.00106979889509872
pareto_point,trieste_echvi,Trieste ECHVI,18,150,150,44.2794340577164,0.00072686611175233
pareto_point,comboo,COMBOO,1,150,150,3.72741458622596,0.00973651601723691
pareto_point,comboo,COMBOO,2,150,150,18.8991876952192,0.00566815614301378
pareto_point,comboo,COMBOO,3,150,150,18.9141007108777,0.00344537307109068
pareto_point,comboo,COMBOO,4,150,150,20.7454763578229,0.00301442018836279
pareto_point,comboo,COMBOO,5,150,150,35.0713495964071,0.0013184835501516
pareto_point,comboo,COMBOO,6,150,150,37.4416618634271,0.00130210377141351
pareto_point,comboo,COMBOO,7,150,150,43.2596147407804,0.000824922427813073
